2D Events by Type ( NPC's present are from NPC database)																		Schedules		Other Exits		Questbit	Enter																																										
#	#	Type	Map	Picture	Name	Proprieter Name	Title	Picture	State	Rep	Per	Val	A	B	C	Notes:	Notes(2):	Open	Closed	Pic	Map	Restrictions	Text																																										
1	1	Weapon Shop	1	57	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
2	2	Weapon Shop	2	57	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
3	3	Weapon Shop	3	57	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
4	4	Weapon Shop	4	62	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
5	5	Weapon Shop	7	60	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
6	6	Weapon Shop	8	58	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	4	2		28			18	6	0	0	0	0																																										
7	7	Weapon Shop	10	61	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	3	1.5		14			18	6	0	0	0	0																																										
8	8	Weapon Shop	13	57	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
9	9	Weapon Shop	14	62	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
10	10	Weapon Shop	39	59	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	2.5	1		14			6	18	0	0	0	0																																										
11	11	Weapon Shop	21	57	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	2.5	1		21			6	18	0	0	0	0																																										
12	12	Weapon Shop	13	57	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
13	13	Weapon Shop	0	57	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
14	14	Weapon Shop	0	57	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
15	1	Armor Shop	1	1	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
16	2	Armor Shop	2	1	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
17	3	Armor Shop	3	1	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
18	4	Armor Shop	4	6	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
19	5	Armor Shop	7	4	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
20	6	Armor Shop	8	2	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	4	2		28			18	6	0	0	0	0																																										
21	7	Armor Shop	10	5	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	3	1.5		14			18	6	0	0	0	0																																										
22	8	Armor Shop	13	1	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
23	9	Armor Shop	14	6	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
24	10	Armor Shop	39	3	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	2.5	1		14			6	18	0	0	0	0																																										
25	11	Armor Shop	21	1	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	2.5	1		21			6	18	0	0	0	0																																										
26	12	Armor Shop	13	1	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
27	13	Armor Shop	0	1	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
28	14	Armor Shop	0	1	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
29	1	Magic Shop	1	21	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
30	2	Magic Shop	2	21	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
31	3	Magic Shop	3	21	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
32	4	Magic Shop	4	26	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
33	5	Magic Shop	5	22	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	3	1.5		28			18	6	0	0	0	0																																										
34	6	Magic Shop	6	24	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	3	1.5		28			6	18	0	0	0	0																																										
35	7	Magic Shop	7	24	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
36	8	Magic Shop	8	22	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	4	2		28			18	6	0	0	0	0																																										
37	9	Magic Shop	10	25	_(TRANS)_	_(TRANS)_	_(TRANS_CONTEXT:'npcprof')_	0	0	0	0	3	1.5		21			18	6	0	0	0	0																																										
