Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Notes
0																
1	item001	_(TRANS)_	50	Weapon	Sword	3d3	0	8	1	_(TRANS)_	1	0	0	5	120	_(TRANS)_
2	item002	_(TRANS)_	200	Weapon	Sword	3d3	3	8	3	_(TRANS)_	1	0	0	6	153	_(TRANS)_
3	item003	_(TRANS)_	350	Weapon	Sword	3d3	6	8	6	_(TRANS)_	1	0	0	-2	118	_(TRANS)_
4	item004	_(TRANS)_	500	Weapon	Sword	3d3	9	8	9	_(TRANS)_	1	0	0	4	138	_(TRANS)_
5	item005	_(TRANS)_	650	Weapon	Sword	3d3	12	8	12	_(TRANS)_	1	0	0	10	142	_(TRANS)_
6	item006	_(TRANS)_	400	Weapon2	Sword	4d5	0	8	1	_(TRANS)_	2	0	0	12	146	_(TRANS)_
7	item007	_(TRANS)_	500	Weapon2	Sword	4d5	2	8	6	_(TRANS)_	2	0	0	16	142	_(TRANS)_
8	item008	_(TRANS)_	800	Weapon2	Sword	4d5	8	8	10	_(TRANS)_	2	0	0	14	139	_(TRANS)_
9	item009	_(TRANS)_	100	Weapon	Sword	3d4	0	8	1	_(TRANS)_	3	0	0	6	128	_(TRANS)_
10	item010	_(TRANS)_	300	Weapon	Sword	3d4	4	8	5	_(TRANS)_	3	0	0	5	113	_(TRANS)_
11	item011	_(TRANS)_	600	Weapon	Sword	3d4	10	8	9	_(TRANS)_	3	0	0	2	123	_(TRANS)_
12	item012	_(TRANS)_	40	Weapon	Sword	2d4	0	7	1	_(TRANS)_	4	0	0	6	98	_(TRANS)_
13	item013	_(TRANS)_	290	Weapon	Sword	2d4	5	7	5	_(TRANS)_	4	0	0	0	109	_(TRANS)_
14	item014	_(TRANS)_	590	Weapon	Sword	2d4	11	7	9	_(TRANS)_	4	0	0	4	118	_(TRANS)_
15	item015	_(TRANS)_	8	Weapon	Dagger	2d2	0	6	1	_(TRANS)_	5	0	0	-3	75	_(TRANS)_
16	item016	_(TRANS)_	100	Weapon	Dagger	2d2	2	6	2	_(TRANS)_	5	0	0	7	71	_(TRANS)_
17	item017	_(TRANS)_	150	Weapon	Dagger	2d2	3	6	4	_(TRANS)_	5	0	0	14	54	_(TRANS)_
18	item018	_(TRANS)_	250	Weapon	Dagger	2d2	5	6	6	_(TRANS)_	5	0	0	14	67	_(TRANS)_
19	item019	_(TRANS)_	300	Weapon	Dagger	2d2	6	6	9	_(TRANS)_	5	0	0	9	75	_(TRANS)_
20	item020	_(TRANS)_	15	Weapon	Dagger	2d3	0	7	1	_(TRANS)_	5	0	0	4	87	_(TRANS)_
21	item021	_(TRANS)_	200	Weapon	Dagger	2d3	4	7	4	_(TRANS)_	5	0	0	4	81	_(TRANS)_
22	item022	_(TRANS)_	350	Weapon	Dagger	2d3	7	7	8	_(TRANS)_	5	0	0	10	84	_(TRANS)_
23	item023	_(TRANS)_	30	Weapon	Axe	4d2	0	5	1	_(TRANS)_	7	0	0	17	82	_(TRANS)_
24	item024	_(TRANS)_	100	Weapon	Axe	4d2	2	5	3	_(TRANS)_	7	0	0	19	86	_(TRANS)_
25	item025	_(TRANS)_	250	Weapon	Axe	4d2	5	5	6	_(TRANS)_	7	0	0	28	100	_(TRANS)_
26	item026	_(TRANS)_	400	Weapon	Axe	4d2	8	5	9	_(TRANS)_	7	0	0	15	120	_(TRANS)_
27	item027	_(TRANS)_	550	Weapon	Axe	4d2	11	5	12	_(TRANS)_	7	0	0	28	100	_(TRANS)_
28	item028	_(TRANS)_	225	Weapon2	Axe	3d7	0	5	1	_(TRANS)_	8	0	0	19	142	_(TRANS)_
29	item029	_(TRANS)_	450	Weapon2	Axe	3d7	3	5	5	_(TRANS)_	8	0	0	22	140	_(TRANS)_
30	item030	_(TRANS)_	900	Weapon2	Axe	3d7	9	5	9	_(TRANS)_	8	0	0	20	170	_(TRANS)_
31	item031	_(TRANS)_	15	Weapon1or2	Spear	1d9	0	6	1	_(TRANS)_	9	0	0	0	141	_(TRANS)_
32	item032	_(TRANS)_	50	Weapon1or2	Spear	1d9	1	6	3	_(TRANS)_	9	0	0	8	118	_(TRANS)_
33	item033	_(TRANS)_	250	Weapon1or2	Spear	1d9	5	6	6	_(TRANS)_	9	0	0	0	133	_(TRANS)_
34	item034	_(TRANS)_	450	Weapon1or2	Spear	1d9	9	6	9	_(TRANS)_	9	0	0	7	135	_(TRANS)_
35	item035	_(TRANS)_	650	Weapon1or2	Spear	1d9	13	6	12	_(TRANS)_	9	0	0	5	126	_(TRANS)_
36	item036	_(TRANS)_	200	Weapon1or2	Spear	3d6	0	6	1	_(TRANS)_	10	0	0	29	141	_(TRANS)_
37	item038	_(TRANS)_	400	Weapon1or2	Spear	3d6	4	6	5	_(TRANS)_	10	0	0	28	141	_(TRANS)_
38	item037	_(TRANS)_	700	Weapon1or2	Spear	3d6	10	6	9	_(TRANS)_	10	0	0	28	140	_(TRANS)_
39	item039	_(TRANS)_	100	Weapon1or2	Spear	2d6	0	6	1	_(TRANS)_	11	0	0	8	146	_(TRANS)_
40	item040	_(TRANS)_	400	Weapon1or2	Spear	2d6	6	6	5	_(TRANS)_	11	0	0	9	142	_(TRANS)_
41	item041	_(TRANS)_	700	Weapon1or2	Spear	2d6	12	6	9	_(TRANS)_	11	0	0	18	139	_(TRANS)_
42	item042	_(TRANS)_	100	Missile	Bow	5d2	0	3	1	_(TRANS)_	12	0	0	12	40	_(TRANS)_
43	item043	_(TRANS)_	200	Missile	Bow	5d2	2	3	3	_(TRANS)_	12	0	0	12	40	_(TRANS)_
44	item044	_(TRANS)_	300	Missile	Bow	5d2	4	3	6	_(TRANS)_	12	0	0	12	40	_(TRANS)_
45	item045	_(TRANS)_	400	Missile	Bow	5d2	6	3	9	_(TRANS)_	12	0	0	12	40	_(TRANS)_
46	item046	_(TRANS)_	500	Missile	Bow	5d2	8	3	12	_(TRANS)_	12	0	0	12	40	_(TRANS)_
47	item047	_(TRANS)_	50	Missile	Bow	4d2	0	4	1	_(TRANS)_	13	0	0	12	10	_(TRANS)_
48	item048	_(TRANS)_	200	Missile	Bow	4d2	3	4	5	_(TRANS)_	13	0	0	12	10	_(TRANS)_
49	item049	_(TRANS)_	400	Missile	Bow	4d2	7	4	9	_(TRANS)_	13	0	0	26	10	_(TRANS)_
50	item050	_(TRANS)_	50	Weapon	Mace	2d4	0	6	1	_(TRANS)_	14	0	0	6	95	_(TRANS)_
51	item051	_(TRANS)_	150	Weapon	Mace	2d4	2	6	3	_(TRANS)_	14	0	0	10	96	_(TRANS)_
52	item052	_(TRANS)_	300	Weapon	Mace	2d4	5	6	6	_(TRANS)_	14	0	0	12	94	_(TRANS)_
53	item053	_(TRANS)_	450	Weapon	Mace	2d4	8	6	9	_(TRANS)_	14	0	0	1	67	_(TRANS)_
54	item054	_(TRANS)_	600	Weapon	Mace	2d4	11	6	12	_(TRANS)_	14	0	0	1	78	_(TRANS)_
55	item055	_(TRANS)_	120	Weapon	Mace	2d5	0	6	1	_(TRANS)_	15	0	0	11	71	_(TRANS)_
56	item056	_(TRANS)_	300	Weapon	Mace	2d5	3	6	5	_(TRANS)_	15	0	0	19	98	_(TRANS)_
57	item057	_(TRANS)_	600	Weapon	Mace	2d5	9	6	9	_(TRANS)_	15	0	0	19	88	_(TRANS)_
58	item058	_(TRANS)_	1	Weapon	Club	1d3	0	3	0	_(TRANS)_	16	0	0	5	121	_(TRANS)_
59	item059	_(TRANS)_	40	Weapon	Club	1d3	3	3	2	_(TRANS)_	16	0	0	3	87	_(TRANS)_
60	item060	_(TRANS)_	100	Weapon	Club	1d3	5	3	4	_(TRANS)_	16	0	0	7	100	_(TRANS)_
61	item061	_(TRANS)_	40	Weapon2	Staff	2d4	0	3	1	_(TRANS)_	17	0	0	1	115	_(TRANS)_
62	item062	_(TRANS)_	250	Weapon2	Staff	2d4	3	3	5	_(TRANS)_	17	0	0	2	101	_(TRANS)_
63	item063	_(TRANS)_	500	Weapon2	Staff	2d4	7	3	9	_(TRANS)_	17	0	0	3	96	_(TRANS)_
64	item064	_(TRANS)_	0	Weapon	Blaster	3d5	8	10	30	_(TRANS)_	18	0	0	-2	12	_(TRANS)_
65	item065	_(TRANS)_	0	Weapon	Blaster	5d5	12	10	30	_(TRANS)_	19	0	0	1	64	_(TRANS)_
66	item066	_(TRANS)_	150	Armor	Leather	4	0	3	1	_(TRANS)_	20	0	0	0	0	_(TRANS)_
67	item067	_(TRANS)_	250	Armor	Leather	4	2	3	4	_(TRANS)_	20	0	0	0	0	_(TRANS)_
68	item068	_(TRANS)_	450	Armor	Leather	4	6	3	8	_(TRANS)_	20	0	0	0	0	_(TRANS)_
69	item069	_(TRANS)_	750	Armor	Leather	4	12	3	10	_(TRANS)_	20	0	0	0	0	_(TRANS)_
70	item070	_(TRANS)_	1150	Armor	Leather	4	20	3	12	_(TRANS)_	20	0	0	0	0	_(TRANS)_
71	item071	_(TRANS)_	400	Armor	Chain	8	0	6	1	_(TRANS)_	21	0	0	0	0	_(TRANS)_
72	item072	_(TRANS)_	600	Armor	Chain	8	4	6	5	_(TRANS)_	21	0	0	0	0	_(TRANS)_
73	item073	_(TRANS)_	900	Armor	Chain	8	10	6	10	_(TRANS)_	21	0	0	0	0	_(TRANS)_
74	item074	_(TRANS)_	1300	Armor	Chain	8	18	6	15	_(TRANS)_	21	0	0	0	0	_(TRANS)_
75	item075	_(TRANS)_	1800	Armor	Chain	8	28	6	20	_(TRANS)_	21	0	0	0	0	_(TRANS)_
76	item076	_(TRANS)_	1000	Armor	Plate	20	0	9	1	_(TRANS)_	22	0	0	0	0	_(TRANS)_
77	item077	_(TRANS)_	1400	Armor	Plate	20	8	9	8	_(TRANS)_	22	0	0	0	0	_(TRANS)_
78	item078	_(TRANS)_	2700	Armor	Plate	20	34	9	20	_(TRANS)_	22	0	0	0	0	_(TRANS)_
79	item079	_(TRANS)_	200	Shield	Shield	6	0	4	1	_(TRANS)_	23	0	0	56	73	_(TRANS)_
80	item080	_(TRANS)_	300	Shield	Shield	6	1	4	4	_(TRANS)_	23	0	0	56	73	_(TRANS)_
81	item081	_(TRANS)_	400	Shield	Shield	6	3	4	8	_(TRANS)_	23	0	0	56	90	_(TRANS)_
