Q Bit	Quest Note Text	Notes	Owner	
1	_(TRANS)_	0	Bryan	
2	_(TRANS)_	0	Bryan	
3	_(TRANS)_	0	Bryan	
4	_(TRANS)_	0	Bryan	
5	_(TRANS)_	0	Bryan	
6	_(TRANS)_	0	Bryan	
7		Finished Scavenger Hunt	Bryan	
8		Brought red potion	Bryan	0
9		Brought seashell	Bryan	0
10		Brought longbow	Bryan	0
11		Brought tile	Bryan	0
12		Brought instrument	Bryan	0
13		Brought hat	Bryan	0
14		Accepted Fireball wand from Malwick	Bryan	0
15		Able to use boat to get off Emerald Island	Bryan	0
16	_(TRANS)_	0	Bryan	0
17		No more docent babble	Bryan	0
18	_(TRANS)_	0	Bryan	0
19	_(TRANS)_	0	Bryan	0
20		Watchtower 6.  Weight in the appropriate box.  Important for Global event 47 (Spy promotion)		0
21	_(TRANS)_	0	Bryan	0
22	_(TRANS)_	0	Bryan	0
23		Killed dragon when on Crusader quest	Bryan	0
24	_(TRANS)_	0	Bryan	0
25		Mini-dungeon Area 5.  Rescued/Captured Alice Hargreaves.	Bryan	0
26	_(TRANS)_	0	Bryan	0
27	_(TRANS)_	0	Bryan	0
28	_(TRANS)_	0	Bryan	0
29	_(TRANS)_	0	Bryan	0
30	_(TRANS)_	0	Bryan	0
31	_(TRANS)_	0	Bryan	0
32	_(TRANS)_	0	Bryan	0
33	_(TRANS)_	0	Bryan	0
34	_(TRANS)_	0	Bryan	0
35	_(TRANS)_	0	Bryan	0
36	_(TRANS)_	0	Bryan	0
37	_(TRANS)_	0	Bryan	0
38	_(TRANS)_	0	Bryan	0
39	_(TRANS)_	0	Bryan	0
40		Talked to the Oldest Tree	Bryan	0
41		Solved Tree quest	Bryan	0
42	_(TRANS)_	0	Bryan	0
43	_(TRANS)_	0	Bryan	0
44	_(TRANS)_	0	Bryan	0
45	_(TRANS)_	0	Bryan	0
46		Player Castle.  Golem should appear in castle bit.	Bryan	0
47	_(TRANS)_	0	Bryan	0
48	_(TRANS)_	0	Bryan	0
49	_(TRANS)_	0	Bryan	0
50		Visited all stonehenges		0
51		Visited stonehenge 1 (area 9)		0
52		Visited stonehenge 2 (area 13)		0
53		Visited stonehenge 3 (area 14)		0
54	_(TRANS)_	0	Bryan	0
55	_(TRANS)_	0	Bryan	0
56		Watchtower 6.  Taken the weight from the upper gatehouse.  Spy promo quest		0
57		Solved the code puzzle.  Ninja promo quest		0
58		Destroyed critter generator in dungeon.  Warrior Mage promo quest.		0
59		Won five arena championships at [something] difficulty level.  Champion promo quest.	Bryan	0
60		Robbed Elven treasury.  Black Knight promo quest.		0
61		Collected 10000 gold in bounties.  Bounty Hunter promo quest.	Bryan	0
62		Purified the Altar of Evil.  Priest of Light promo quest.		0
63		Defaced the Altar of Good.  Priest of Dark promo quest.		0
64		Activate boat to area 9.  Priest promo quest		0
65		Barrow downs.   Returned the bones of the Dwarf King.  Arch Druid promo quest.		0
66		Placed Golem torso	Bryan	0
67		Placed Golem left leg	Bryan	0
68		Placed Golem right leg	Bryan	0
69		Placed Golem left arm	Bryan	0
70		Placed Golem left leg	Bryan	0
71		Placed Golem head	Bryan	0
72		Placed Golem Abbey normal head	Bryan	0
73		Finished constructing Golem with Abbey normal head	Bryan	0
74		Finished constructing Golem with normal head	Bryan	0
75	_(TRANS)_	Given by butler at the door to the player castle.		0
76	_(TRANS)_		Bryan	0
77	_(TRANS)_		Bryan	0
78	_(TRANS)_		Bryan	0
79	_(TRANS)_		Bryan	0
80		Gave plans to elfking	Bryan	0
81		Gave Loren to Catherine	Bryan	0
82		Gave false plans to elfking (betray)	Bryan	0
83		Gave false Loren to Catherine (betray)	Bryan	0
84		Gave artifact to humans	Bryan	0
85		Gave artifact to elves	Bryan	0
86		Gave weapons to humans	Bryan	0
87		Gave weapons to elves	Bryan	0
88		Talked to Catherine	Bryan	0
89		Talked to elfking	Bryan	0
90		Told Catherine about fake prisoner	Bryan	0
91		Told Elfking about fake plans	Bryan	0
92		Fort Riverstride.  Opened chest with plans		0
93		Tularean Caves.  Got Loren		0
94	_(TRANS)_		Bryan	0
95	_(TRANS)_		Bryan	0
96		Built Castle to Level 3 (good)NO LONGER USED(Riki)	Bryan	0
97		Built Castle to Level 3 (evil)NO LONGER USED(Riki)	Bryan	0
98		Built Castle to Level 2 (rescued dwarf guy)	Bryan	0
99		Chose the path of Light	Bryan	0
100		Chose the path of Dark	Bryan	0
101	_(TRANS)_		Bryan	0
102		Completed Proving Grounds without killing a single creature	Bryan	0
103	_(TRANS)_		Bryan	0
104	_(TRANS)_	0	Bryan	0
105		Slayed Xenofex	0	0
106	_(TRANS)_	0	Bryan	0
107		Slayed the vampire	0	0
108	_(TRANS)_	0	Bryan	0
109	_(TRANS)_	0	Bryan	0
110		Finished Necro Proving Grounds	Bryan	0
111		Finished Necro Task 2 - Temple of Light	Bryan	0
112		Finished Necro Task 3 - Soul Jars	Bryan	0
113		Finished Necro Task 4 - Clanker's Lab	Bryan	0
114		Finished Wizard Proving Grounds	Bryan	0
115		Finished Wizard Task 2 - Temple of Dark	Bryan	0
116		Finished Wizard Task 3 - Wine Cellar	Bryan	0
117		Finished Wizard Task 4 - Soul Jars	Bryan	0
118		Killed Good MM3 Person	Bryan	0
119		Killed Evil MM3 Person	Bryan	0
120		Got Hive part	Bryan	0
121		Got the sci-fi part	Bryan	0
122	_(TRANS)_	0	Bryan	0
123	_(TRANS)_	0	Bryan	0
124	_(TRANS)_	0	Bryan	0
125	_(TRANS)_	0	Bryan	0
126		Destroyed the magical defenses in Clanker's Lab	0	0
127	_(TRANS)_	0	Bryan	0
128	_(TRANS)_	0	Bryan	0
129		Completed Breeding Pit.	0	0
130	_(TRANS)_	0	0	0
131	_(TRANS)_	0	0	0
132		Butler only shows up once (area 2)	Pete	0
133		Player castle timer only happens once	Pete	0
134		Arbiter Messenger only happens once	Pete	0
135		Player castle goblins are all dead	Riki	0
136		Party doesn't come back to Out01 temple anymore	Bryan	0
137		Artifact Messenger only happens once	Riki	0
138		Killed specific monster (Armsmaster GM quest) - important for Bob	Bryan	0
139		Completed fountain quest (Water Magic GM) - important for Bob	Bryan	0
140		Cleaned out the haunted mansion (Cavalier promo)	Bryan	0
141		"Only give Markham's vase once (Markham's manor, Thief promo)."	Bryan	0
142		Killed all monsters in Haunted mansion	Bryan	0
143		Killed all monsters in Bandit cave	Bryan	0
144		Alice Hargreaves in building only once	Bryan	0
145		Membership to the School of Sorcery Scroll Shop	Bryan	0
146	_(TRANS)_	0	0	0
147		Gave artifact to arbiter	Bryan	0
148		Got Lich Jar from Walls of Mist	Bryan	0
149		Got Lich Jar from Thunderfist Mountain	Bryan	0
150		Got Lich Jar from Castle Gloaming	Bryan	0
151	_(TRANS)_	0	0	0
152	_(TRANS)_	0	0	0
153	_(TRANS)_	0	0	0
154		Got Scroll of Waves	0	0
155	_(TRANS)_	Barrow Lantern Quest	James	0
156	_(TRANS)_	Haldar's Remains Quest	James	0
157	_(TRANS)_	Davrik's Ring Quest	James	0
158	_(TRANS)_		James	0
159	_(TRANS)_		James	0
160		Got Signet ring out of chest	Tim	0
161		Got magic dust out of chest 	Tim	0
162		Got lantern of light	Tim	0
163		Got perfect bow out of chest	Tim	0
164		Visited Obelisk in Area 2	Riki	0
165		Visited Obelisk in Area 3	Riki	0
166		Visited Obelisk in Area 4	Riki	0
167		Visited Obelisk in Area 5	Riki	0
168		Visited Obelisk in Area 6	Riki	0
169		Visited Obelisk in Area 7	Riki	0
170		Visited Obelisk in Area 8	Riki	0
171		Visited Obelisk in Area 9	Riki	0
172		Visited Obelisk in Area 10	Riki	0
173		Visited Obelisk in Area 11	Riki	0
174		Visited Obelisk in Area 12	Riki	0
175		Visited Obelisk in Area 13	Riki	0
176		Visited Obelisk in Area 14	Riki	0
177		Visited Obelisk in Area 39	Riki	0
178		Open final Obelisk Chest	Riki	0
179	_(TRANS)_		Bryan	0
180	_(TRANS)_		Bryan	0
181	_(TRANS)_	Goto Merc Guild	Bryan	0
182	_(TRANS)_	Do the Merc Guild Quest	Bryan	0
