Table (of Game struct)	Id	Field	New text
MonstersTxt	1	Name	_(TRANS)_
MonstersTxt	2	Name	_(TRANS)_
MonstersTxt	3	Name	_(TRANS)_
MonstersTxt	4	Name	_(TRANS)_
MonstersTxt	5	Name	_(TRANS)_
MonstersTxt	6	Name	_(TRANS)_
MonstersTxt	7	Name	_(TRANS)_
MonstersTxt	8	Name	_(TRANS)_
MonstersTxt	9	Name	_(TRANS)_
MonstersTxt	10	Name	_(TRANS)_
MonstersTxt	11	Name	_(TRANS)_
MonstersTxt	12	Name	_(TRANS)_
MonstersTxt	13	Name	_(TRANS)_
MonstersTxt	14	Name	_(TRANS)_
MonstersTxt	15	Name	_(TRANS)_
MonstersTxt	16	Name	_(TRANS)_
MonstersTxt	17	Name	_(TRANS)_
MonstersTxt	18	Name	_(TRANS)_
MonstersTxt	19	Name	_(TRANS)_
MonstersTxt	20	Name	_(TRANS)_
MonstersTxt	21	Name	_(TRANS)_
MonstersTxt	22	Name	_(TRANS)_
MonstersTxt	23	Name	_(TRANS)_
MonstersTxt	24	Name	_(TRANS)_
MonstersTxt	25	Name	_(TRANS)_
MonstersTxt	26	Name	_(TRANS)_
MonstersTxt	27	Name	_(TRANS)_
MonstersTxt	28	Name	_(TRANS)_
MonstersTxt	29	Name	_(TRANS)_
MonstersTxt	30	Name	_(TRANS)_
MonstersTxt	31	Name	_(TRANS)_
MonstersTxt	32	Name	_(TRANS)_
MonstersTxt	33	Name	_(TRANS)_
MonstersTxt	34	Name	_(TRANS)_
MonstersTxt	35	Name	_(TRANS)_
MonstersTxt	36	Name	_(TRANS)_
MonstersTxt	37	Name	_(TRANS)_
MonstersTxt	38	Name	_(TRANS)_
MonstersTxt	39	Name	_(TRANS)_
MonstersTxt	40	Name	_(TRANS)_
MonstersTxt	41	Name	_(TRANS)_
MonstersTxt	42	Name	_(TRANS)_
MonstersTxt	43	Name	_(TRANS)_
MonstersTxt	44	Name	_(TRANS)_
MonstersTxt	45	Name	_(TRANS)_
MonstersTxt	46	Name	_(TRANS)_
MonstersTxt	47	Name	_(TRANS)_
MonstersTxt	48	Name	_(TRANS)_
MonstersTxt	49	Name	_(TRANS)_
MonstersTxt	50	Name	_(TRANS)_
MonstersTxt	51	Name	_(TRANS)_
MonstersTxt	52	Name	_(TRANS)_
MonstersTxt	53	Name	_(TRANS)_
MonstersTxt	54	Name	_(TRANS)_
MonstersTxt	55	Name	_(TRANS)_
MonstersTxt	56	Name	_(TRANS)_
MonstersTxt	57	Name	_(TRANS)_
MonstersTxt	58	Name	_(TRANS)_
MonstersTxt	59	Name	_(TRANS)_
MonstersTxt	60	Name	_(TRANS)_
MonstersTxt	61	Name	_(TRANS)_
MonstersTxt	62	Name	_(TRANS)_
MonstersTxt	63	Name	_(TRANS)_
MonstersTxt	64	Name	_(TRANS)_
MonstersTxt	65	Name	_(TRANS)_
MonstersTxt	66	Name	_(TRANS)_
MonstersTxt	67	Name	_(TRANS)_
MonstersTxt	68	Name	_(TRANS)_
MonstersTxt	69	Name	_(TRANS)_
MonstersTxt	70	Name	_(TRANS)_
MonstersTxt	71	Name	_(TRANS)_
MonstersTxt	72	Name	_(TRANS)_
MonstersTxt	73	Name	_(TRANS)_
MonstersTxt	74	Name	_(TRANS)_
MonstersTxt	75	Name	_(TRANS)_
MonstersTxt	76	Name	_(TRANS)_
MonstersTxt	77	Name	_(TRANS)_
MonstersTxt	78	Name	_(TRANS)_
MonstersTxt	79	Name	_(TRANS)_
MonstersTxt	80	Name	_(TRANS)_
MonstersTxt	81	Name	_(TRANS)_
MonstersTxt	82	Name	_(TRANS)_
MonstersTxt	83	Name	_(TRANS)_
MonstersTxt	84	Name	_(TRANS)_
MonstersTxt	85	Name	_(TRANS)_
MonstersTxt	86	Name	_(TRANS)_
MonstersTxt	87	Name	_(TRANS)_
MonstersTxt	88	Name	_(TRANS)_
MonstersTxt	89	Name	_(TRANS)_
MonstersTxt	90	Name	_(TRANS)_
MonstersTxt	91	Name	_(TRANS)_
MonstersTxt	92	Name	_(TRANS)_
MonstersTxt	93	Name	_(TRANS)_
MonstersTxt	94	Name	_(TRANS)_
MonstersTxt	95	Name	_(TRANS)_
MonstersTxt	96	Name	_(TRANS)_
MonstersTxt	97	Name	_(TRANS)_
MonstersTxt	98	Name	_(TRANS)_
MonstersTxt	99	Name	_(TRANS)_
MonstersTxt	100	Name	_(TRANS)_
MonstersTxt	101	Name	_(TRANS)_
MonstersTxt	102	Name	_(TRANS)_
MonstersTxt	103	Name	_(TRANS)_
MonstersTxt	104	Name	_(TRANS)_
MonstersTxt	105	Name	_(TRANS)_
MonstersTxt	106	Name	_(TRANS)_
MonstersTxt	107	Name	_(TRANS)_
MonstersTxt	108	Name	_(TRANS)_
MonstersTxt	109	Name	_(TRANS)_
MonstersTxt	110	Name	_(TRANS)_
MonstersTxt	111	Name	_(TRANS)_
