Q Bit	Quest Note Text	Notes	Owner
1		Activate Area 1 teleporters 3 and 4.	Riki
2		Activate Area 1 teleporters 5 and 6.	Riki
3	_(TRANS)_	Given by Dadeross in Dagger Wound. Taken by Fellmoon in Ravenshore.	TomO
4		Letter from Q Bit 3 delivered.	TomO
5	_(TRANS)_	Given by the alliance council at Ravenshore along with quest 31. Starts Pirate Timer.	TomO
6		Pirate Leader in Dagger Wound Pirate Outpost killed (quest given at Q Bit 5). Ends pirate/lizardman war on Dagger Wound. Shuts off pirate timer.	TomO
7	_(TRANS)_	Brekish Onefang asks player to bring a power crystal to Fredrick Talimere	TomO
8		Fredrick Talimere visited by player with crystal in their possesion.	TomO
9	_(TRANS)_	"Given and taken by Elgar Fellmoon (w503, area 2)."	TomO
10		Letter from Q Bit 9 delivered.	TomO
11	_(TRANS)_	"Given By Elgar Fellmoon (w503, area 2). Taken by Bastian Loudrin (area 3)."	TomO
12		Quest 11 is done.	TomO
13	_(TRANS)_	Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Checked as each alliance is formed. Taken when three are formed. 	TomO
14	_(TRANS)_	Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken by Sandro (area 6) or when quest 15 is done.	TomO
15	_(TRANS)_	"Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken by Oskar Tyre (area 7), or when quest 27 is done."	TomO
16	_(TRANS)_	Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken when Dragon Egg (item 605) delivered to Charles Quixote or dragon leader.	TomO
17	_(TRANS)_	Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken when Dragon Egg (item 605) delivered to Charles Quixote or dragon leader.	TomO
18	_(TRANS)_	Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken when minotaurs rescued.	TomO
19		Allied with Necromancers Guild. Steal Nightshade Brazier done.	TomO
20		Allied with Temple of the Sun. Destroy the Skeleton Transformer done.	TomO
21		Allied with Charles Quioxte's Dragon Hunters. Return Dragon Egg to Quixote done.	TomO
22		Allied with Dragons. Return Dragon Egg to Dragons done.	TomO
23		Allied with Minotaurs. Rescue the Minotaurs done.	TomO
24		Received Reward from Elgar Fellmoon for completing quest 9.	TomO
25	_(TRANS)_	Given and taken by Bastian Lourdrin (area 3).	TomO
26	_(TRANS)_	Given and taken by Oskar Tyre (area 7). Taken when Qbit 29 set.	TomO
27		Skeleton Transformer Destroyed.	TomO
28	_(TRANS)_	Given and taken by Sandro (area 6). Taken when Qbit 27 set.	TomO
29		Nightshade Brazier Stolen.	TomO
30	_(TRANS)_	Given by MINOTAUR CLUE GUY (area 8). Turned off when minotaur leader is reached in Minotaur lair dungeon.	TomO
31	_(TRANS)_	Given and taken by Quixote (area 5)	TomO
32		Quest 31 is done.	TomO
33	_(TRANS)_	Given and taken by DRAGON LEADER (area 5)	TomO
34		Alliance Council formed. Quest 13 done.	TomO
35		Quest 33 is done.	TomO
36	_(TRANS)_	Given and taken at Ravenshore council chamber. 	TomO
37		Regnan Pirate Fleet is sunk.	TomO
38		Quest 36 is done.	TomO
39	_(TRANS)_	Dark Elf Promotion to Patriarch	James
40		Found and Rescued Cauri Blackthorne	James
41	_(TRANS)_	Given by XANTHOR. Taken when 41-44 done simultaneously.	TomO
42	_(TRANS)_	Given by XANTHOR. Taken when 41-44 done simultaneously.	TomO
43	_(TRANS)_	Given by XANTHOR. Taken when 41-44 done simultaneously.	TomO
44	_(TRANS)_	Given by XANTHOR. Taken when 41-44 done simultaneously.	TomO
45		Quests 41-44 done. Items from 41-44 given to XANTHOR.	TomO
46	_(TRANS)_	Given by XANTHOR. Taken by Eschaton.	TomO
47		Quest 46 done. Used to allow entrance to elemental lord prisons. Now player needs item 629.	TomO
48	_(TRANS)_	Given by Eschaton. Taken by rescue of Pyrannaste.	TomO
49		Quest 48 done.	TomO
50	_(TRANS)_	Given by Eschaton. Taken by rescue of Gralkor.	TomO
51		Quest 50 done.	TomO
52	_(TRANS)_	Given by Eschaton. Taken by rescue of Acwalander.	TomO
53		Quest 52 done.	TomO
54	_(TRANS)_	Given by Eschaton. Taken by rescue of Shalwend.	TomO
55		Quest 54 done.	TomO
56		"All Lords from quests 48, 50, 52, 54 rescued."	TomO
57		The Pirates invaded Ravenshore	TomO
58		The Pirates that invaded Ravenshore are all dead now )	TomO
59		Returned to the Merchant guild in Alvar with overdune. Quest 25 done.	TomO
60		Party visits Ironsand After QuestBit 25 set.	TomO
61	_(TRANS)_	"Given and taken by Overdune, NPC 7, w177. "	TomO
62		Vilebites Ashes (item603) placed in troll tomb.	TomO
63		Quest 61 done.	TomO
64		On the rescue the wererats quest	TomO
65		Finished the Rescue the wererats quest	TomO
66		On the Quest to kill the Ogres in the Ogre Fort	TomO
67		I have killed all the oges in the ogre fort	TomO
68	_(TRANS)_	Given By ? In area 4	James
69		Ancient Troll Homeland Found	James
70	_(TRANS)_		James
71		Found Blazen Stormlance and recovered Ebonest	James
72	_(TRANS)_		James
73		Received Cure for Blazen Stormlance	James
74	_(TRANS)_	 	James
75		Killed all Dragon Slayers in southwest encampment in Area 5	James
76	_(TRANS)_	 	James
77		Found the Axe of Balthazar.	James
78	_(TRANS)_		James
79		Found the Prophecies of the Sun in the Abandoned Temple and returned them to the Temple of the Sun	James
80	_(TRANS)_	 	James
81		Found the Sarcophagus of Korbu	James
82	_(TRANS)_		James
83		Found the Lost Book of Khel	James
84		Cauri Blackthorne restored	James
85	_(TRANS)_	"Given at the start of the game, taken by dadeross when he gives you the deliver letter quest."	
86		"Rite's of Purity have begun, Mino promo complete"	James
87		0	0
88		Prophecies of the Sun deliverd to the Temple of the Sun	James
89		Dyson Leland talks to you about the Necromancers. For global event 97-100.	TomO
90		Dyson Leland talks to you about the Temple of the Sun. For Global event 97-100.	TomO
91	_(TRANS)_	"Given by NPC 53 (Fellmoon), taken by XANTHOR."	TomO
92		Quest 91 done.	TomO
93		"You have entered out02.odm, this is your new starting place"	TomO
94		"Escaton, riddle one answered correctly."	TomO
95		"Escaton, riddle two answered correctly."	TomO
96		"Escaton, riddle three answered correctly."	TomO
97		"Escaton, all riddles answered correctly."	TomO
98		"Escaton, heard the first message in global event 163"	TomO
99		Masul gave party food.	TomO
100		Arcomage Champion for bob	James
101	_(TRANS)_		James
102		Delivered cure to hut 1	James
103		Delivered cure to hut 2	James
104		Delivered cure to hut 3	James
105		Delivered cure to hut 4	James
106		Delivered cure to hut 5	James
107		Delivered cure to hut 6	James
108		Yellow Fever epidemic cured!	James
109	_(TRANS)_		James
110		Poison removed from water supply!	James
111	_(TRANS)_	 	James
112		Found Idol of the Snake	James
113	_(TRANS)_		James
114		returned ingredients for a potion of Pure Speed	James
115	_(TRANS)_		James
116		returned ingredients for a potion of Pure Luck	James
117	_(TRANS)_	 	James
118		Delivered false report to Stanley	James
119	_(TRANS)_	 	James
120		Rescued Smuggler Leader's Familly 	James
121	_(TRANS)_		James
122		returned ingredients for a potion of Pure Endurance	James
123	_(TRANS)_		James
124		returned ingredients for a potion of Pure Intellect	James
125	_(TRANS)_		James
126		returned ingredients for a potion of Pure Personallity	James
127	_(TRANS)_	 	James
128		"Recovered the the Shield, Eclipse for Lathius"	James
129	_(TRANS)_	 	James
130		Killed all Ogres in Alvar canyon area and in Ogre Fortress	James
131		Ogre Questbit set for Riki	Riki
132	_(TRANS)_		James
133		returned ingredients for a potion of Pure Accuracy	James
134		Gave Gem of Restoration to Blazen Stormlance	James
135	_(TRANS)_	 	James
136		Found Prophiecies of the Snake	James
137	_(TRANS)_	 	 James
138		Found Isthric the Tongue	James
139	_(TRANS)_	 	James
140		Killed all Dire Wolves in Ravenshore	James
141		Dire Wolf Questbit for Riki	Riki
142	_(TRANS)_		James
143		Delivered potion to house 1	James
144		Delivered potion to house 2	James
145		Delivered potion to house 3	James
146		Delivered potion to house 4	James
147		Delivered potion to house 5	James
148		Delivered potion to house 6	James
149		Southern houses of Rust all have Potions of Fire Resistance.	James
150	_(TRANS)_	 	James
151		Found Dragonbane for Dragon Hunters	James
152	_(TRANS)_	 	James
153		Found Dragonbane for Dragons	James
154	_(TRANS)_	 	James
155		Killed all Dragons in Garrote Gorge Area	James
156		Questbit set for Riki	James
157	_(TRANS)_	 	James
158		Killed all Dragon Hunters in Garrote Gorge wilderness area	James
159		Questbit set for Riki	James
160	_(TRANS)_	 	James
161		Found the Drum of Victory	James
162	_(TRANS)_	 	James
163		Found  Iseldir's Puzzle Box	James
164	_(TRANS)_	 	James
165		Found Vial of Grave Dirt	James
166	_(TRANS)_	 	James
167		Found Bone of Doom	James
168		Found the treasure of the Dread Pirate Stanley!	James
169		Named Novice Bounty Hunter by the Guild of Bounty Hunters	James
170		Named Journeyman Bounty Hunter by the Guild of Bounty Hunters	James
171		Named Novice Master Hunter by the Guild of Bounty Hunters	James
172	_(TRANS)_	 	James
173	_(TRANS)_	 	James
174		Won all Arcomage games	James
175		Finished ArcoMage Quest - Get the treasure	James
176	_(TRANS)_		TomO
177	_(TRANS)_		TomO
178	_(TRANS)_		TomO
179		Quests 176-178 done.	TomO
180		Ravenshore Town Portal	Riki
181		Alvar Town Portal	Riki
182		Twiling Town Portal	Riki
183		Hareckburg Town Portal	Riki
184		Balthazar Town Portal	Riki
185		Blood Drop Town Portal	Riki
186		Obelisk Area 1	Riki
187		Obelisk Area 2	Riki
188		Obelisk Area 3	Riki
189		Obelisk Area 4	Riki
190		Obelisk Area 5	Riki
191		Obelisk Area 6	Riki
192		Obelisk Area 7	Riki
193		Obelisk Area 8	Riki
194		Obelisk Area 13	Riki
195		Kill then unicorn King(only happens once)	Riki
196		Met the PC in the Abandoned temple in area one	Riki
197		Door to the passage under regna from the northern watch tower is unlocked	0
198		Door to the passage under regna from the southern watch tower is unlocked	0
199		Ebonest - I lost it	
200		Sword of Whistlebone - I lost it	
201		Axe of Baltahzar - I lost it	
202		Urn of Ashes - I lost it	
203		Nightshade Brazier - I lost it	
204		"Dragon Leader's Egg - I lost it, taken event g49, g64"	
205		Heart of Fire - I lost it	
206		Heart of Water - I lost it	
207		Heart of Air - I lost it	
208		Heart of Earth - I lost it	
209		Conflux Key - I lost it	
210		Lost Book of Kehl - I lost it	
211		Sarcophagus of Korbu - I lost it	
212		Power Stone - I lost it	
213		Power Stone - I lost it	
214		Pirate Leader's Key - I lost it	
215		Prison Key - I lost it	
216		Prison Key - I lost it	
217		Gem of Restoration - I lost it	
218		Prophesies of the Sun - I lost it	
219		Remains of Korbu - I lost it	
