2D#	Transition Description	Note
1	_(TRANS)_	"Vampire Crypt, 32"
2	_(TRANS)_	"The Crypt of Korbu,37"
3	_(TRANS)_	Tomb of Lord Brinnie 39
4	_(TRANS)_	Passage Under Regna 44
5	_(TRANS)_	Uplifted Library 51
6	_(TRANS)_	Dark Dwarf Compound 52
8	_(TRANS)_	Dragon Cave (area 12)
9	_(TRANS)_	Lord Markham's Manor
10	_(TRANS)_	Bandit Caves
11	_(TRANS)_	Haunted Mansion
12	_(TRANS)_	Barrow
13	_(TRANS)_	Barrow
14	_(TRANS)_	Barrow
15	_(TRANS)_	Tower
16	_(TRANS)_	Dragon Cave (area 13)
17	_(TRANS)_	Small House (assassination)
18	_(TRANS)_	Hidden Tomb
22	_(TRANS)_	
23	_(TRANS)_	
44	Placeholder Text	
45	Placeholder Text	
46	Placeholder Text	
48	Placeholder Text	
50	Placeholder Text	
148	_(TRANS)_	
152	_(TRANS)_	
154	_(TRANS)_	
158	_(TRANS)_	
160	_(TRANS)_	
164	_(TRANS)_	
166	_(TRANS)_	
177	Placeholder Text	
178	Placeholder Text	
179	Placeholder Text	
209	_(TRANS)_	
217	Placeholder Text	Placeholder
218	Placeholder Text	Placeholder
219	Placeholder Text	Placeholder
220	Placeholder Text	Placeholder
221	Placeholder Text	
335	_(TRANS)_	
336	_(TRANS)_	
337	_(TRANS)_	
338	_(TRANS)_	
339	_(TRANS)_	
340	_(TRANS)_	
341	_(TRANS)_	Prison of the Lord of Earth
342	_(TRANS)_	Prison of the Lord of Fire
343	_(TRANS)_	Prison of the Lord of Water
344	_(TRANS)_	New Entrance to Balthazar Lair
345	_(TRANS)_	Backdoor to the Abandoned Temple
346	_(TRANS)_	Abandoned Temple
347	_(TRANS)_	Gateway to the Plane of Air
348	_(TRANS)_	Gateway to the Plane of Water
349	_(TRANS)_	Pirate Outpost
350	_(TRANS)_	Gateway to the Plane of Fire
351	_(TRANS)_	Smuggler's Cove
352	_(TRANS)_	Gateway to the Plane of Earth
353	_(TRANS)_	Dire Wolf Lair
354	_(TRANS)_	Merchanthouse of Alvar
355	_(TRANS)_	Inside the Crystal
356	_(TRANS)_	Wasp Nest
357	_(TRANS)_	Ogre Raiding Fort
358	_(TRANS)_	Troll Tomb
359	_(TRANS)_	Cyclops Larder
360	_(TRANS)_	Chain of Fire
361	_(TRANS)_	Dragon Hunter Camp
362	_(TRANS)_	Dragon Cave
363	_(TRANS)_	Naga Vault
364	_(TRANS)_	Temple of the Sun
365	_(TRANS)_	Abandoned Druid Circle
366	_(TRANS)_	Minotaur Lair
367	_(TRANS)_	Barbarian Fortress
368	_(TRANS)_	Pirate Stronghold
369	_(TRANS)_	Abandoned Pirate Keep
370	_(TRANS)_	Hand-Cranked Submarine
371	_(TRANS)_	Necromancers' Guild
372	_(TRANS)_	Mad Necromancer's Lab
373	_(TRANS)_	Castle of Air
374	_(TRANS)_	Castle of Air
375	_(TRANS)_	Tribute Tomb
376	_(TRANS)_	Castle of Fire
377	_(TRANS)_	War Camp
378	_(TRANS)_	Eschaton's Palace
379	_(TRANS)_	Prison of the Lord of Air
382	_(TRANS)_	Castle Harmondale
383	_(TRANS)_	Castle Gryphonheart
384	_(TRANS)_	Castle Navan
385	_(TRANS)_	Castle Gloaming
386	_(TRANS)_	Castle Lambent
387	_(TRANS)_	Temple of the Moon
389	_(TRANS)_	Dragon's Lair
390	_(TRANS)_	Castle Harmondale
391	_(TRANS)_	White Cliff Caves
392	_(TRANS)_	Erathian Sewer
393	_(TRANS)_	Fort Riverstride
394	_(TRANS)_	Tularean Caves
