															
Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	Shape	Equip X	Equip Y	Notes
0															
1	lsword1	Longsword	50	Weapon	Sword	3d3	0	8	1	Longsword	1	4	499	8	"Of simple make and design, this longsword is deadly nonetheless."
2	lsword2	Warrior Sword	200	Weapon	Sword	3d3	3	8	3	Longsword	1	4	501	9	A longsword of superior strength and edge.
3	lsword3	Crusader Sword	350	Weapon	Sword	3d3	6	8	5	Longsword	1	4	506	10	Hammered metal patterns on the blade of this longsword suggest high quality Dwarven manufacture.
4	lsword4	Champion Sword	500	Weapon	Sword	3d3	9	8	7	Longsword	1	4	508	4	"An extremely high quality longsword, this weapon is one of no more than one thousand of its kind forged by master weaponsmith Mekorig the Blind circa 780-800."
5	lsword5	Lionheart Sword	650	Weapon	Sword	3d3	12	8	9	Longsword	1	4	502	8	"A weapon as rare as it is ancient, this longsword was forged during the Time of Wonders.  The process used to forge steel of this quality was lost sometime just after the Silence."
6	2hsword1	Two-Handed Sword	400	Weapon2	Sword	4d5	0	8	1	Two-Handed Sword	2	0	491	4	A basic two-handed sword.  Thousands of these low quality weapons can be found throughout Enroth.
7	2hsword2	Great Sword	500	Weapon2	Sword	4d5	2	8	6	Two-Handed Sword	2	0	492	21	"Yet another simple two-handed sword, this barbarian's weapon sports a wavy blade and an extra cross piece.  Its construction is sturdy and the blade is sharp."
8	2hsword3	Heroic Sword	800	Weapon2	Sword	4d5	8	8	8	Two-Handed Sword	2	0	502	2	"An unusually high quality two-handed sword, this blade is both strong and reliable."
9	brsword1	Broadsword	100	Weapon	Sword	3d4	0	8	1	Broadsword	3	0	505	14	A common broadsword.  These blades can be found throughout the land in the hands of both heroes and villains.
10	brsword2	Steel Broadsword	300	Weapon	Sword	3d4	4	8	4	Broadsword	3	0	503	16	A fine Erathian steel broadsword of excellent quality and edge.
11	brsword3	Mighty Broadsword	600	Weapon	Sword	3d4	10	8	6	Broadsword	3	0	503	1	This broadsword's edge and beauty are enchanted and untouched by time.  The blade looks as though it was forged yesterday.
12	cutlass1	Cutlass	40	Weapon	Sword	2d4	0	7	1	Cutlass	4	0	504	5	"A cutlass of Goblin manufacture, this blade is as deadly as it is ugly."
13	cutlass2	Pirate Cutlass	290	Weapon	Sword	2d4	5	7	3	Cutlass	4	0	507	15	The traditional back-up weapon of the Regnan pirates living on the countless islands east of the island of Mist.  These cutlasses were forged by one of a long line of smiths native to those islands.
14	cutlass3	Master Cutlass	590	Weapon	Sword	2d4	11	7	5	Cutlass	4	0	501	13	"Cleverly concealed initials near the pommel of this cutlass prove this beautiful weapon to be the work of Alec Teling, master smith to Hareck IX, Lord of Regna, and emperor of the Endless Ocean."
15	dagger1	Dagger	8	Weapon	Dagger	2d2	0	6	1	Dagger	5	2	504	81	"A common dagger, favorite of thieves and assassins the world over."
16	dagger2	Blood Dagger	100	Weapon	Dagger	2d2	2	6	2	Dagger	5	2	509	75	"Blood Daggers are ceremonial weapons worn by the nobility of Regna.  Their popularity has spread in recent years to the nobility of Enroth, and now they can be found throughout the land.  Though ceremonial, they are sharp and reliable blades."
17	dagger3	Shadow Dagger	150	Weapon	Dagger	2d2	3	6	3	Dagger	5	2	506	70	"Commissioned by Ethric the Mad while still a human, it is said these daggers have a link to the Land of the Dead.  They are used in certain magical rituals designed to extend life to unnatural lengths."
18	dagger4	Mage Dagger	250	Weapon	Dagger	2d2	5	6	4	Dagger	5	2	511	82	"One of less than a hundred such blades, Mage daggers were carried and forged by members of the Alchemical Alliance roughly 300 years ago in the fires beneath Castle Alamos.  It is no longer possible to make a finer blade than a Mage dagger."
19	dagger5	Jeweled Dagger	300	Weapon	Dagger	2d2	6	6	5	Dagger	5	2	504	79	"A weapon from the Time of Wonders, this blade is of both extreme age and quality."
20	ldagger1	Long Dagger	15	Weapon	Dagger	2d3	0	7	1	Long Dagger	6	0	505	42	"The common long dagger.  Bordering on swords, these long daggers are favored by assassins who want a weapon that is both concealable yet has a longer reach than the traditional dagger."
21	ldagger2	Piercing Dagger	200	Weapon	Dagger	2d3	4	7	3	Long Dagger	6	0	506	48	"Really more of a short sword than a dagger, the narrow blade belies an unusual strength and a possibly enchanted edge."
22	ldagger3	Divine Dagger	350	Weapon	Dagger	2d3	7	7	5	Long Dagger	6	0	504	60	"A 'Weapon of the Gods', this weapon was one of the last created before the great forges fell to the Silence in the year 113 A.S (After the Silence)."
23	axe1	Hand Axe	30	Weapon	Axe	4d2	0	5	1	Axe	7	9	498	89	"More of a tool than a weapon, this simple axe will work in a pinch.  But don't expect much."
24	axe2	Battle Axe	100	Weapon	Axe	4d2	2	5	2	Axe	7	9	491	70	"Made as a weapon of war instead of a tool, the battle axe is usually employed by barbarians and undisciplined armies."
25	axe3	War Axe	250	Weapon	Axe	4d2	5	5	4	Axe	7	9	500	77	This War Axe appears to be one of a large shipment of such axes seized by Roland during the Succession War.  It was manufactured in Karigor by order of Archibald Ironfist to be used against his brother in their struggle for the throne of Enroth.
26	axe4	Dwarven Axe	400	Weapon	Axe	4d2	8	5	5	Axe	7	9	497	66	"An example of the high quality work done by the dwarves of the Red Mountains, the blade is sharp and the balance perfect."
27	axe5	Supreme Axe	550	Weapon	Axe	4d2	11	5	6	Axe	7	9	490	63	"This weapon surely has a dark history.  An axe of this quality is only forged as the personal weapon of a noble Dwarf, and it is never sold or traded away…"
28	2haxe1	Poleax	225	Weapon2	Axe	3d7	0	5	1	Two-Handed Axe	8	0	482	88	This style of long hafted axe is typically used to deadly effect by Eastern tribes and the elite guard of some members of the nobility.
29	2haxe2	Heavy Poleax	450	Weapon2	Axe	3d7	3	5	5	Two-Handed Axe	8	0	496	6	"A stronger version of the basic Poleax, this weapon is frequently used by city guards and other fighters who don't expect to do battle in large, coordinated groups (like armies)."
