NPC Data (Special)	Unter		BTB check			Current	Profession	Join	News	Event	Event	Event	
#	Name	Pic	State	Fame	Rep	2D Location	 1 - 76	Y / N	Y / N	# A	# B	# C	Notes
1	Andover Potbello	81	0	0	0	92	74	0	0	1	296	0	gives money for the sixth letter and retrieve candelabra quest
2	Maria	126	0	0	0	92	48	0	1	8	0	0	gives clue for marketing promotion.
3	Frank Fairchild	187	0	0	0	89	0	0	1	324	326	0	Gives the save the mom quest and takes letter from d6
4	Wilbur Humphrey	553	0	0	0	154	0	0	0	9	13	0	Council Quest and Promotion Quest.
5	Albert Newton	527	0	0	0	156	0	0	0	51	55	0	Council Quest and Promotion Quest.
6	Osric Temper	524	0	0	0	158	0	0	0	61	65	0	Council Quest and Promotion Quest.
7	Chadwick Blackpoole	39	0	0	0	106	0	0	1	0	0	0	Gives nomination for Cavalier Quest - is supposed to be in Free Haven inn
8	Oracle	523	0	0	0	170	0	0	0	73	74	0	Return the crystals and pyramid quests
9	The Seer	522	0	0	0	169	0	0	0	41	45	46	"Seer quest, item return, and hint"
10	Marton Ferris	11	0	0	0	249	42	0	1	0	0	396	Divine Intervention quest
11	Melody Silver	164	0	0	0	-1	0	0	0	31	0	0	The damsel in distress for the paladin quest
12	Archibald Ironfist	554	0	0	0	553	0	0	0	30	0	0	Need picture from heroes 2
13	Nicolai Ironfist	526	0	0	0	154	0	0	0	18	25	0	Need a new picture
14	Loretta Fleise	528	0	0	0	162	0	0	0	79	82	0	
15	Erik Von Stromgard	529	0	0	0	164	0	0	0	87	91	0	
16	Anthony Stone	525	0	0	0	160	0	0	0	32	35	0	
17	The Prince of Thieves	396	0	0	0	-1	0	0	0	98	0	0	
18		0	0	0	0	0	0	0	0	0	0	0	removed
19	The Hermit on the Mountain	225	0	0	0	552	0	0	0	95	0	0	winter quest for Stromgard
20	Aaron Strongmun	1	0	0	0	428	13	0	0	202	261	0	"Sword Expert, door next to weaponshop (D3)"
21	Bernard Jacobs	2	0	0	0	462	13	0	0	246	283	0	Repair expert (E2)
22	Benito Tellman	3	0	0	400	437	13	0	0	222	271	0	"Plate expert, 4 buildings south of Ironfist (D3)"
23	Forrest Suthers	4	0	0	0	299	14	0	0	223	0	0	Plate Master (C2)
24	John Tuck	5	0	800	0	407	14	0	0	259	0	0	Learning master (D1)
25	Kyle Lutvig	6	0	0	0	268	77	0	1	0	0	0	child
26	David Feather	7	0	0	0	335	14	0	0	221	0	0	chain master (C3)
27	Rich Hamburg	8	0	0	400	436	13	0	0	220	270	0	"chain expert, 4 buildings south of Ironfist (D3)"
28	Susan Handlebaum	9	0	0	0	0	77	0	1	0	0	0	child
29	Will Ottoman	10	0	800	0	397	13	0	0	245	289	0	merchant master (D1)
30	Noah White	11	0	0	0	260	14	1	1	0	0	0	instructor
31	Calvin Black	12	0	0	200	460	13	0	0	200	260	0	staff expert (E2)
32	Avinril Smythers 	13	0	0	0	102	15	0	0	290	0	0	"Good dwarf who gives defeat Snergal quest, Master axe (C3)"
33	Harold Hess	14	0	0	0	473	55	0	0	0	0	386	Merc Guild Membership (E3)
34	Jacques Kohl	15	0	0	200	276	14	0	0	255	0	0	diplomacy master (C1)
35	Tim O'Hoolihan	16	0	0	0	319	13	0	0	236	278	0	body expert (C2)
36	Fredrick Piles	17	0	0	400	274	46	0	1	0	0	386	Merc Guild Membership (C1)
37	Charles D'Sorpigal	18	0	0	0	90	15	0	0	292	0	0	Constable in Mist who gives the prove Silver Helms are bad quest
38	Kent Williams	19	0	0	0	301	32	0	1	0	0	0	Person who sells house in Free Haven
39	Gordon Styles	20	0	0	0	441	2	1	1	0	0	0	armorer
40	Dorf	21	0	0	0	480	13	0	0	200	260	0	"staff expert, Bottom middle building (E3)"
41	Twillen	22	0	0	0	0	41	0	1	354	0	0	"Young Twillen, after the statuette quest"
42	Terrance Smith	23	0	0	-300	431	13	0	0	204	262	0	"dagger expert, behind tavern below Ironfist  (D3)"
43	Samson Tess	24	0	0	0	-1	73	0	1	348	0	0	Human guard in Goblinwatch after quest complete
44	Harper Collins	25	0	0	400	459	14	0	0	229	0	392	water master (E2)
45	Arlen Sailor	26	0	0	0	272	13	0	0	219	0	0	leather master (C1)
46	Bertrand Scrivner	27	0	0	0	90	23	0	0	294	0	0	Mayor in Mist Town Hall
47	Peter Ivanovich	28	0	0	0	432	7	1	1	0	0	0	pathfinder
48	Michael Ogilvy	29	0	0	0	321	46	0	0	202	261	0	Sword expert (C2)
49	Bernice Hatter	30	0	0	0	405	3	1	1	0	0	0	alchemist
50	Tess Tucker	31	0	0	-300	258	51	0	1	0	0	385	Thief Guild Membership (B2)
51	Hector Dragged	32	0	0	0	0	0	0	0	0	0	0	
52	Guy Hampton	33	0	0	0	250	14	0	0	203	0	0	sword master (B2)
53	Horace Rose	34	0	0	400	370	46	0	1	0	0	388	Merc Guild Membership (D1)
54	Falagar	35	0	0	0	474	41	0	0	349	0	0	Mage from the intro
55	Gilbert Hammer	36	0	0	0	402	14	0	0	237	0	0	body master (D1)
56	Leon Lazaru	37	0	0	-200	429	13	0	0	242	281	0	"identify expert, 2 houses by gate (D3)"
57	Macro Caligula	38	0	0	0	336	14	0	0	253	0	0	perception master (C3)
58	Orville Corvair	39	0	0	0	476	4	1	1	0	0	0	scholar
59	Lucky Oster	40	0	0	-300	371	51	0	1	0	0	384	Thief Guild Membership (D1)
60	Gonzalo Ramirez	41	0	0	200	461	0	0	0	208	264	387	spear expert (E2)
61	Marcellus Lutvig	42	0	0	-300	268	51	0	1	0	0	384	Thief Guild Membership (C1)
62	Erik Salzburg	43	0	0	0	482	13	0	0	248	284	0	"bodybuilding expert, 2 big houses east (E3)"
63	Ahmed A'sanzi	44	0	0	0	238	5	1	1	0	0	0	guide
64	Sergio Carrington	45	0	0	-300	286	51	0	1	0	0	385	Thief Guild Membership (C2)
65	Saad Shamel	46	0	0	0	0	0	0	0	0	0	0	
66	Ghim Hammond	47	0	0	0	-1	0	0	1	301	0	0	Dwarf prisoner that gives key to d5
67	Walter Hargreaves	48	0	0	0	425	13	0	0	254	287	0	"diplomacy expert, upstairs Ironfist (D3)"
68	Virgil Holiday	49	0	0	0	468	13	0	0	234	277	0	"mind expert, west 5 poor houses (E3)"
69	Warren Holmes	50	0	0	0	278	17	0	1	0	0	381	Elemental Guild Membership (C1)
70	Tyler Tailor	51	0	0	-200	430	13	0	0	256	288	0	"disarm expert, 2 houses by gate (D3)"
71	Sylvester Moor	52	0	0	0	304	13	0	0	254	287	0	diplomacy expert (C2)
72	Victor Hosen	53	0	0	0	481	13	0	0	250	285	0	"meditation expert, 2 big houses east (E3)"
73	Thane Roper	54	0	0	0	401	14	0	0	235	0	0	mind master (D1)
74	Oliver Wendell	55	0	0	0	-1	0	0	0	302	0	0	Monk who gives party info in d7
75	Winston Historian	56	0	0	400	287	46	0	1	0	0	387	Merc Guild Membership (C2)
76	Zoltan Phelps	57	0	0	0	296	21	0	0	322	0	0	Gives quest to retrieve lost artifact
