Day of Week Profession Text															
#		Sunday topic	Sunday text	Monday topic	Monday text	Tuesday topic	Tuesday text	Wednesday topic	Wednesday text	Thursday topic	Thursday text	Friday topic	Friday text	Saturday topic	Saturday text
1	Smith	Rest	"What're ya gallivanting' around here for on a Sunday?  It's a day of rest, kid, REST, I say!"	Monday	I don't like Mondays.	Hiring Smiths	"Not to ruin my business, but to be honest, if you think about it, it really pays to only hire us smiths when you need us, rather than carrying us around wherever you go."	Magic Weapons	"Sometimes you can tell that a weapon is heavily enchanted just by looking at it.  If it's heavy and glitters a lot, it's expensive, and probably very powerful."	Abdul's Discounts	"Don't let the name fool you:  Abdul's discount stores offer really great quality for low, low prices.  He also didn't pay me to say that on Thursdays.  Honest."	Knight's Paradise	"The best all around weapon shop in Enroth is the Knight's Paradise, run by Eric Regent.  You can't buy better weapons anywhere else in the kingdom. "	Arms Smugglers	Word is that the goblins are looking to buy weapons for raids on human towns.  I hear the regent has a sizeable bounty on the heads of any who deliver weapons to those evil little toads.
2	Armorer	Magic Armor	"There are two kinds of magic armor– armor that increases your protection, and armor that is lighter and easier to wear.  A few rare kinds of armor have both of those properties."	The Enchanted Hauberk	"The best armor shop in all of Enroth is the Enchanted Hauberk.  The proprietor's name is Teddy, but he hates to be called that.  Safer to refer to him as Theodore."	Hiring smiths	"Not to ruin my business, but to be honest, if you think about it, it really pays to only hire us smiths when you need us, rather than carrying us around wherever you go."	Shields	"Don't overlook the defensive value of a good shield.  Yeah, I know a two-handed weapon hits a lot harder, but what do you do if you miss, or if that monster just doesn't go down on the first swing?  That's when a good shield comes into play.  It'll save your life one day, mark my words!"	Merchants	"Always have your best merchant do the talking when you buy and sell stuff through merchants.  If they can make a few more gold pieces off an unwary customer, not a one of them will hesitate, believe you me!"	Dwarves	"You know, metal for arms and armor used to be a lot cheaper before Snergle wrested the dwarven throne away from Rocklin, the old King of the Dwarves.  Sure would be nice if someone fixed Snergle's wagon."	Dragons' Gold	Most any dragon that has a lair is absolutely loaded with gold.  They get it from all the paladins who try to kill them to make a name for themselves.
3	Alchemist	Recharging Wands	"When a wand runs out of charges, you've lost the value of the wand.  They can never be recharged, but it's usually possible to find a sucker to buy the wand at full price  just before the charges run out."	Magic Shops	The best magic shop in the kingdom is Mighty Magicks.  It is possible to find there the most unusual and powerful enchanted items for sale anywhere.	Lloyd's Beacon items	"If you ever find an item containing the Lloyd's Beacon spell, remember that the locations you are able to transport to are based per person.  That means that even a non-spell using person could have a location that they can transport to with the use of a Lloyd's Beacon item."	Broken Items	"Statistics show that most items are broken when the wielder or wearer falls unconscious from damage, or where a monster has a particularly bruising blow to deliver.  The single best way to prevent broken items is to just not be knocked unconscious.  Get healed before it's too late."	Equinoxes and Solstices	"Many unusual magical effects occur during annual astrological events, such as the two solstices and equinoxes.  Eclipses, midnight, noon, comets; all these things can be magically significant.  The significant dates this year are:  March 20th, June 21st, September 23rd, and December 21st."	Magic Guilds	"Once you are a member of a particular type of magic guild, you won't need to keep buying membership into different branches of the same guild.  A member of the Guild of Fire, for instance, need not buy membership in another Fire Guild in order to take advantage of their services."	Cursed items	"Some of the magic items you find around the world are cursed.  Almost none are pure curses, but many have side effects you won't like much.  You should carefully weigh the side effects against the benefits an item offers before using it."
4	Scholar	Potions	Combining potions in the right proportions can achieve formulas that do very unusual things.  The Guild of Alchemists closely guards the secrets of which potions have which effects.	Treasures	"Be careful with even ordinary objects.  If something is magical, get an expert like me to identify it before you sell it for pennies on the gold piece of its true worth.  You can be surprised by what there is to find out there, and you might sell off something very useful."	Herbs	"There are three plants that can be used to make the three basic potions.  They are poppysnaps, phirna root, and widoweeps berries.  Just mix the crushed flowers, roots, or berries respectively with water to get the potion."	Magic Abilities	"Most items you find will boost or enhance some basic characteristic about you, but a few will have a more complex effect.  It is these that are truly valuable, and their names are usually in the form of 'item of ' as in wand of lightning bolts."	Black and White	"In the land of Enroth, the shades of black and white have special magical significance.  If an item or a potion is colored white, it usually means that it provides a powerful beneficial effect without any sort of negative side effect.  If it is black, it provides the most powerful of effects, but with some sort of unpleasant side effect.  Be careful!"	The Island of Mist	"Albert Newton is the Lord of Mist, and he is truly the patron of all who hold dear the mystical arts.  If you have a question about magic, Mist is where you should look for an answer."	High Noon	Of course you know that spells cast at high noon draw their power directly from the sun.  It is in this way that the mightiest of magicians can afford the power it takes to enchant the magical items you find throughout the land of Enroth.
5	Guide	Civilization	"I don't have much taste for civilization, but you can rest assured that more goods and services will be available on the east coast of Enroth than anywhere else– particularly Free Haven."	Western Wastes	"The lands to the far west of the continent used to be green and fertile, but have wasted to an unhappy land of cracked earth, bad smells, and barren landscapes."	Castle Kriegspire	"Castle Kriegspire was originally built to study the extinct volcano in which it rests, but recent activity from that mountain has chased all humans from the castle.  It hasn't been destroyed yet, but monsters are the only ones that dare live inside it."	Volcanic Island	"There is an island southwest of Enroth where people say is the headquarters of the Temple of Baa.  Why they would pick such a remote location for such a popular religion is beyond me, though."	Abdul's Discount Island Resort	"Everyone has heard of Abdul's chain of discount stores.  Well, he also has an island resort where the old and tired can be rejuvenated for a hefty fee.  They say that Abdul himself lives on his resort Island and rarely visits the mainland."	Swamps	"Beware travel in the swamps south of Castle Temper.  The undead are said to roam about freely, unafraid of the living or the sun."	Desert	"The desert is a land that should be avoided by all but the mightiest sorcerers and knights.  Filled with giants and dragons, nearly all who visit do not return.  Rumor has it that a strange pyramid in the desert holds untold riches and secrets waiting to be unearthed by some brave souls."
6	Tracker	Horses	Horses provide an excellent means of travelling if you can afford the cost.  All of the towns and castles  on the mainland have stables where you can hire horses.	Eastern Seaboard	"Most civilized areas you'll find are in the east.  While there are some small towns and villages located to the west, don't count on finding many."	Dragons	The dragons from Dragonsand have taken advantage of the devils' attacks and have spread out from the desert into the nearby wastelands. They are even rumored to be as north as Kriegspire.	Frozen Highlands	Rumor has it the westernmost parts of the Frozen Highlands are overrun with powerful creatures.  Maybe even dragons!	Druids 	Druidic orders flourish in the grasslands near Silver Cove.  These druids will often arrange stone circles to perform ceremonies or worship nature.	Magic Portals	"I never seen one, but I've heard stories of magical portals– doorways– that lead instantly from one part of Enroth to another.  That would take all the fun out of travelling, wouldn't it?"	Icewind Pass	The pass leading to White Cap and Caste Stromgard has recently been taken by a group of ogres and greedy humans working together.
7	Pathfinder	Magic Transportation	"Mages are so lazy, they've formulated several spells to transport people instantly from place to place.  These spells are good, but there's nothing like a REAL journey."	Mire of the Damned	This ghastly place is named for all of the undead that prowl it.  Rumor has it that people killed in the mire return as undead guardians of the place.  	Enemies 	"Some monsters can be reasoned with.   If you know the charm spell, for instance, you can make even the most ferocious of beasts temporarily friendly.  Remember– you don't have to kill everything you meet.  Sometimes just getting past them is enough."	Paradise Valley	"Not anymore it isn't!  Since the devils came, Paradise Valley is a barren wasteland infested with hundreds of devils.  No one goes in there and survives!"	Sentinels 	The mountains that make up the gap that leads to Paradise Valley are called the Sentinels.  Folk tales suggest they protected the valley from evil; now they serve as a warning to anyone foolish enough to want to enter.	Dragonsand	"Aptly named, Dragonsand is full of both dragons and sand.  I think the most powerful dragons are more than a match for the devils, or the devils would have long ago taken over the desert."	Blackshire	"I've heard stories of a horrible curse that has possessed the town. Every time I've visited, however, everything seems normal."
8	Sailor	Water Walking Spells	"I've heard there are sorcerers for hire who can cast the Walk on Water spell if you can't do it yourself.  They charge a lot, though."	Travel Seasons	"There are some places you can't get to by boat, during different times of the year.  You should plan your trips carefully to avoid inconvenience."	Loretta Fleise	"Lady Fleise is the Queen of the Merchants, and she has built a huge fortune by controlling shipping prices."	The Royal Yacht	"King Roland keeps his own personal royal yacht, the Queen Catherine, in a lake just west of Castle Ironfist.  She is a mighty ship, capable of going nearly anywhere quickly, but only the king or the regent can give permission for someone to use her."	Islands	"There are many islands that can only be reached with a combination of boat travel and the Walk on Water spell.  Many of them are inhabited by the most horrible of monsters, but often the finest treasures can be found on them."	Buried Treasure	"It is said that one of the islands east of Free Haven hides the buried treasure of Silveka the pirate.  Now, I know these stories are a dime dozen, but I swear this one is true!  If only the map could be found…"	Erathia	"Although no shipping companies are currently offering the service, Erathia, homeland of Queen Catherine Ironfist, can be reached in a voyage of three weeks or so, depending on the season.  Ain't never been there, but they tell me it's nice."
9	Navigator	Travel Seasons	You need to be careful when planning your boat travels.  Certain areas are too dangerous to sail to during parts of the year.	Sea Serpents	"Many areas of the oceans are home to giant sea serpents.  Though not much danger to ships, they can be lethal to people, water walking or even bystanders on the coast."	Pirates	"Occasionally some coastal towns or slow ships are attacked by pirates.  Fortunately, pirates are rare, but their attacks can affect prices in the towns they plunder."	Bootleg Bay	"Many small islands fill Bootleg Bay.  I've heard rumors of temples on the islands, and even pirate hideouts!  I've never seen either, but I can imagine the amount of treasure a pirate would have accumulated."	Boat Travel	Travel by boat isn't instantaneous; it takes time.  Don't forget to factor in your travel times if you're running on a deadline.	Isle of the Hermit	The Isle of the Hermit is a fairly large volcanic isle in the southwest of Enroth. No one goes there and it's more barren than even the wastelands.  It was named when Lord Terrance made a joke about a hermit living there to get away from it all.	Water Walking 	"Water walking is nice and all, but it doesn't beat a good ship and a good crew.  Not only are you slower than a ship, you have to worry about the spell wearing off, and you have to worry about sea serpent attacks.  Boats are the best way to travel by water."
10	Healer	Disease and Poison	"It is important to get treatment for diseases and poisons.  The longer they go untreated, the harder they are to cure.  Getting poisoned or diseased more than once worsens your situation."	Unconscious	"If you are wounded enough, you will fall unconscious.  Taking a wound while unconscious almost always leads to death."	Eradication	"Certain monsters and spells can reduce your body to ashes, making efforts to raise the dead difficult.  We healers call this eradication.  Only special temples and spells can cure eradication."	Death	"It is important to raise someone from the dead as soon as possible, if you intend to do it.  If you take too long, death may require more than one spell to fix.  This can get expensive!"	Free Haven's Temple	"There once was a temple built by Lord Stone in the city of Free Haven, but it was burned down by vandals a few years ago.  The quality of the altar there was so good that it permitted the priests to raise anyone from the dead, even eradicated bodies."	Necromancy	"All of the Necromancers in the Kingdom have been banished, happily, except the ones who took their black art too far and became liches.     The worst of those liches, Archibald's former general Lord Corlagon, has taken up residence in the south eastern portion of the Mire of the Damned."	Resting	"Resting only really works well in a comfortable place like an inn.  There you can regain lost strength and magic, and heal from most of your wounds.  If you must rest in the wilderness, be sure to have enough food!  Hungry people gain no benefit from rest."
