Note bit	Autonote Text	Category
1	5 Hit points cured by the central fountain in New Sorpigal.	Stat
2	5 Spell points restored by the northwest fountain in New Sorpigal.	Stat
3	10 Points of temporary might from the northeast fountain in New Sorpigal.  	Stat
4	Completed Goblin Quest	Award
5	Destroyed alter in Temple of Baa	Award
6	Delivered Sixth Letter to Wilber Humphry	Award
7	Revealed Traitor	Award
8	Allowed to use Yacht	Award
9	20 Spell points restored by the Fountain of Magic in Bootleg Bay.	Stat
10		misc
11	10 Spell points restored by the central fountain in Mist.	Stat
12	20 Points of temporary luck from the fountain west of the Imp Slapper in Mist.	Stat
13	10 Points of temporary intellect and personality from the west fountain at Castle Newton.	Stat
14	"5 Points of temporary fire, electricity, cold, and poison resistance from the east fountain at Castle Newton."	Stat
15		
16		
17	"20 Points of temporary fire, electricity, cold, and poison resistance from the southwest fountain in the Eel Infested Waters."	Stat
18	20 Points of temporary magic resistance from the southeast fountain in the Eel Infested Waters.	Stat
19	10 Points of temporary accuracy from the west fountain at Castle Ironfist.	Stat
20	10 Points of temporary speed from the east fountain at Castle Ironfist.	Stat
21	10 Hit points restored from the fountain in the Arena.	Stat
22	20 Points of temporary might from the well near the Goblin's Tooth in Bootleg Bay.	Stat
23	2 Points of permanent intellect from the north fountain in Bootleg Bay.	Stat
24	2 Points of permanent personality from the south fountain in Bootleg Bay.	Stat
25	20 Points of temporary intellect and personality from the fountain in the north side of Silver Cove.	Stat
26	25 Spell points restored by the fountain outside of Town Hall in Silver Cove.	Stat
27	2 Points of permanent accuracy from the north fountain west of Silver Cove.	Stat
28	2 Points of permanent speed from the south fountain west of Silver Cove.	Stat
29	2 Points of permanent endurance from the fountain in the south of the Mire of the Damned.	Stat
30	2 Points of permanent might from the fountain in the northeast of Free Haven.	Stat
31	25 Hit points restored from the central fountain in Free Haven.	Stat
32	20 Points of temporary speed and accuracy from the west fountain in Icewind Lake.	Stat
33	20 Points of temporary armor class from the east fountain in Icewind Lake.	Stat
34	10 Temporary levels from the fountain northeast of Castle Stone.	Stat
35	30 Points of temporary might from the fountain west of Castle Stromgard.	Stat
36	5 Points of permanent might from the north fountain east of White Cap Temple.	Stat
37	5 Points of permanent endurance from the south fountain east of White Cap Temple.	Stat
