Regional News			
#	Map	Topic	News Text
1	40	Goblinwatch	"I've heard that the abandoned keep on the hill is now home to a pack of goblins.  The keep was built to keep the goblins away, so how could this possibly happen?"
2	40	Baa Temple	A day's travel west of here is a new Temple dedicated to Baa.  I've heard that bad things happen to rich people that travel near there.
3	40	Bandits	"The passes through the hills to the west are filled with bandits, travelling on foot through there can be dangerous."
4	40	Sea Travel	Ocean travel around here can be dangerous because of the sea serpents and water elementals that roam the oceans.
5	40	Oracle	The High Council in Free Haven should really consult the Oracle to find out why the Ironfists have lost the Mandate of Heaven.
6	40	Prince Nicolai	Prince Nicolai isn't even in charge anymore– Regent Humphrey makes all of the decisions.  It's not fair to blame Nicolai for all the problems.
7	40	Solstices	"The two solstices are days of considerable magical importance.  The summer solstice is on June 21st, and the winter solstice is on December 21st."
8	40	Arena	"The stables at Castle Ironfist can take you to the Arena, an ancient place where warriors can test their prowess."
9	40	Goblins	"Goblins are weak creatures, but they tend to attack in large numbers."
10	40	Apprentice Mages	"Though their physical attacks are weak, these mages can cast various elemental attack spells."
11	40	Mordred	"A powerful artifact, Mordred is a dagger that possesses the ability to steal the health of its victim and transfer that vitality to its wielder."
12	40	Wizards	Albert Newton in Mist handles the promotion of Sorcerers to Wizards.
13	40	Abandoned Temple	"The abandoned temple northwest of town used to be occupied by the Temple of Baa, but they moved out in a hurry one day last year.  Now there's nothing but snakes, bats, and huge spiders."
14	40	Temple of Baa	"When the Temple of Baa moved out of that old temple outside of town, all of the little problems we've been having just…went away.  I tell you, there's something unwholesome about those people.  I'm glad they're gone."
15	40	Curses	"A wizard friend of mine told me the Temple of Baa was laying curses on our town from the abandoned temple just outside town.  One day they tried to lay the Curse of Endless Vermin on us, only they did something wrong and it backfired, infesting their own temple instead.  They moved righty-o quick once that happened."
16	40	Treasure	"I heard the Temple of Baa abandoned that old temple so quickly they didn't have time to take all their stuff.  It should all still be down there, if you're brave enough to go look for it.  There's a lot of nasty monsters in the way, though, so be careful if you go."
17	40	Goblinwatch	"It's been quite a while since New Sorpigal was raided by goblins, but with goblins living in the very place meant to protect us from them, it can't be too long before we're attacked again, can it? "
18	40	Magicians	An evil guild of mages has been searching the southeast end of our peninsula for signs of the fabled Fountain of Magic.  They attack anyone who comes near to scare off potential rivals.  Be very careful if you travel in that direction!
19	40	Town Fountains	The three fountains we have here in town are said to draw their water from a spring touched by the gods.  Each one is magical and beneficial to drink from.
20	40	Goblin Raiders	"A raiding party of goblins has staked out the west bridge, hoping to rob and kill travelers.  They aren't very subtle– you can see them from a mile away– but they ARE dangerous.  Watch your step!"
21	40	New Sorpigal	Our town was founded centuries ago as the last major town in Enroth.  We have historically been a point from which colony ships left for the rest of the world.
22	40	Fruit Trees	"The fruit on the trees in the orchards of our fair town is quite tasty, and free for all to take.  You should try it sometime!"
23	40	Islands	"Beware of travelling to the islands just off our north shore.  The waters sometime have dangerous monsters, and the islands are none too hospitable, either.  "
24	40	Regnan Pirates	"It's been decades since we were last attacked by pirates from the islands of Regna, and I guess it's about time for us to be attacked again, what with the king missing and all."
25	40	Buccaneers' Lair	"Buccaneers' Lair in New Sorpigal and Mist can teach you dagger, merchant, identify, perception, and disarm trap."
26	40	Protection Services	"You can learn dagger, merchant, identify, perception, and disarm trap at protection services in Silver Cove and White Cap."
27	40	Smugglers' Guild	"Blackshire and Free Haven are homes to the Smugglers' Guild, where you can learn dagger, merchant, identify, perception, and disarm trap."
28	40	Blades' End	"Sword, axe, spear, staff, and leather are all taught in Blades' End in both White Cap and New Sorpigal."
29	40	Duelists' Edge	"Duelists' Edge in Mist teaches mace, bow, chain, shield, and body building."
30	40	Berserker's Fury	"Berserker's Fury in Castle Ironfist can teach you bow, shield, chain, plate, and repair item."
31	39	Silver Helms	"The Fraternal Order of Silver has recently built a keep just south of Mist.  They used to be such nice people, but now they're so intent on killing evil they destroy anything that isn't perfect, and that's just about everything."
32	39	Taxes	I love living down here!  Lord Newton never remembers to raise taxes.
33	39	Bootleg Bay	The islands of Bootleg Bay are home to a few cannibal tribes.  People that visit those islands don't return. 
34	39	Fountain of Magic	"The Fountain of Magic is supposed to be south of Bootleg Bay, but not many people have ever found it."
35	39	Gharik's Forge	"In the islands south of Mist is the forge of Gharik, one of Archibald's fellow mages.  The place is crawling with elementals– no one ever goes there now."
36	39	Castle Alamos	"On an island north of Mist is Castle Alamos, one of the centers of magical study in Enroth.  All sorts of summoning and alchemy occurs in that castle– it's a dangerous place for the casual visitor."
37	39	Temples	A couple of old temples are said to still stand in the jungle islands of Bootleg Bay.  I wonder if anyone still worships in them?
38	39	Water Elementals	"Water elementals prowl the waters near Mist.  As if their powerful physical attacks aren't enough, they can also fire Ice Bolts from a distance."
39	39	Conan	"This axe is a hero's dream.  It's enchanted to slay dragons and devils, and does so quite well.  Unfortunately, owners of the axe tend to find such creatures more often then they'd like to."
40	39	Arch Mages	"Not many people make it to wizard, and even fewer are promoted to arch mages.  Albert Newton must ask the impossible of those looking to be promoted."
41	39	Mist	"Mist was originally intended to be a customs and trading port for dealings with the Eastern islands and countries.  Piracy has severely cut into that trade, so we're not as prosperous as we should be."
42	39	Regna	"About 200 miles to the east of us lie the Regnan Islands.  They are inhabited with pirates ruled by an 'emperor' who 'taxes' passing ships that pass near their territory.  The Regnans produce almost nothing on their own, with the exception of weapons and mercenaries."
43	39	Recipe	I hear you can make a potion of supreme protection by mixing an orange potion with a green potion.
44	39	Melody Silver	"Melody Silver was recently imprisoned by the Silver Helms in their new outpost south of Mist.  They've been acting awfully strange lately, and it's terrible that they seized such a nice young woman.  Someone's got to do something about those people!"
45	39	Vigilantes	"The Silver Helms, founded by John Silver, were originally organized to fight brigands and murderers, but they've been harassing citizens for even the most petty crimes recently. "
46	39	Trade	"Most of the international trade on our island is with the Kingdom of Erathia, homeland of our good Queen Catherine.  Erathia is the source of most of our precious metals and stone."
47	39	Memory	"Years of practicing high sorcery can erode the memory of the sorcerer severely, and there is no cure for it.  Even if there was, it's unlikely the victim would remember to use it! "
48	39	Succession War	"Albert Newton was promoted to his current position because of his strong support for Roland during the Succession War, even though Archibald offered him much sorcerous knowledge.  Lord Newton must surely be a good man to have refused to support the wicked Archibald, even though it looked like Archibald was going to win."
49	39	Lord of Mist	"Although Lord Newton seems weak and forgetful these days, it's good to remember that he was once one of the greatest sorcerers in the land, perhaps the greatest sorcerer ever!  They say that Lord Newton has forgotten more sorcerous knowledge than Archibald ever knew, excepting the school of dark magic."
50	39	Buccaneers' Lair	"Buccaneers' Lair in New Sorpigal and Mist can teach you dagger, merchant, identify, perception, and disarm trap."
51	39	Protection Services	"You can learn dagger, merchant, identify, perception, and disarm trap at Protection Services in Silver Cove and White Cap."
52	39	Smugglers' Guild	"Blackshire and Free Haven are homes to the Smugglers' Guild, where you can learn dagger, merchant, identify, perception, and disarm trap."
53	39	Blades' End	"Sword, axe, spear, staff, and leather are all taught in Blades' End in both White Cap and New Sorpigal."
54	39	Duelists' Edge	"Duelists' Edge in Free Haven teaches mace, bow, chain, shield, and repair item."
