															
															
#	Fire Spells		Res	Short Name	A	X	M	Spell Description	Normal	Expert	Master				
1	1	Torch Light	none	Torch Light	1	1	1	Torch light increases the radius of light surrounding your party in the dark.  	Duration 1 hour per point of  skill	Brighter light	Brightest light				
2	2	Flame Arrow	Fire	Flame Arrow	2	1	0	"Creates and fires a single flaming arrow.  Unlike most spells, this spell is notoriously inaccurate and has the same chance of hitting as a regular arrow (using your Fire skill as a bonus to hit).  The arrow does 1-8 points of damage when it hits."	Casting cost 2 spell points	Casting cost 1spell point.  Quicker recovery rate	Casting cost 0 spell points.  Quickest recovery rate				
3	3	Protection from Fire	none	Prot Fire	3	3	3	Increases all your characters’ resistance to fire by an amount equal to your skill in Fire Magic and lasts one hour per point of skill in Fire Magic.	1 point resistance per point of skill	2 points resistance per point of skill	3 points resistance per point of skill				
4	4	Fire Bolt	Fire	Fire Bolt	4	4	4	"Launches a burst of fire at a single target.  Damage is 1-4 points of damage per point of skill in Fire Magic, but casting cost is low.  Firebolt is safe and effective—the “Old Reliable” of the Sorcerer’s arsenal."	Moderate recovery rate	Faster recovery rate	Fastest recovery rate				
5	5	Haste	none	Haste	5	5	5	Reduces the time it takes to recover from casting a spell or attacking with a weapon.  Characters will be weak for six hours after this spell wears off.	Duration 1 hour + 1 minute per skill point	Spell affects entire party	Duration 1 hour + 3 minutes per skill point				
6	6	Fireball	Fire	Fireball	8	8	8	"Another Sorcerer’s favorite, fireball targets a single monster, but explodes to hurt anyone else caught in the blast.  If your party is too close to the blast, they will be hurt as well.  Fireball does 1-6 points of damage per point of skill in Fire Magic."	Moderate recovery rate	Faster recovery rate	Fastest recovery rate				
7	7	Ring of Fire	Fire	Ring of Fire	10	10	10	"Generates a ring of fire around the party that damages all monsters it contacts.  Happily, Ring of Fire is safe and will not damage your own characters.  Ring of Fire does six points of damage plus one per point of skill in Fire Magic."	Small radius of effect around party	Larger radius	Quicker recovery rate				
8	8	Fire Blast	Fire	Fire Blast	15	15	15	"Launches streaks of fire in the direction the characters are facing.  The bolts only hit monsters that stand in their way, so a little aiming practice will help you get the most benefit from Fire Blast.  Fire Blast does 4 points of damage plus 1-3 per point of skill in Fire Magic."	Slow rate of recovery and 3 shots	Moderate rate of recovery and 5 shots	Quick rate of recovery and 7 shots				
9	9	Meteor Shower	Fire	Meteor Shwr	20	20	20	Summons flaming rocks from the sky in a large radius surrounding your chosen target.  Try not to be near the victim when you use this spell.  A single meteor does 8 points of damage plus 1 per point of skill in Fire Magic.  This spell only works outdoors.	Slow rate of recovery and 8 meteors	Moderate rate of recovery and 12 meteors	Quick rate of recovery and 16 meteors				
10	10	Inferno	Fire	Inferno	25	25	25	"Inferno burns all monsters in sight when cast, excluding your characters.  Good for cleaning out rooms full of weak or moderate strength monsters in one or two easy castings.  Each monster takes 12 points of damage plus 1 per point of skill in Fire Magic.  This spell only works indoors."	Slow rate of recovery	Faster recovery rate	Fastest recovery rate				
