						
	NPC	Join				
#	Professions	Cost/w	Action Text	In Party Benefit	Join Text	Dismiss Text
						
1	Smith	200		Unlimited weapon repair.  %01 takes %17 percent of all gold you find.	I'll happily join you for 200 gold and %17 percent of all the gold we find.  I'll fix any weapon you ask me to while I work for you.	"Oh, please don't dismiss me!  I'll work harder!"
2	Armorer	200		Unlimited armor repair.  %01 takes %17 percent of all gold you find.	I'm looking for work fixing armor.  All I charge is 200 gold to start and %17 percent of all the gold we find.  You won't regret hiring me!	What's wrong?  Isn't my work good enough?
3	Alchemist	400		Unlimited magic item repair.  %01 takes %17 percent of all gold you find.	"I can mend any broken magic item you have, unless it's a piece of armor or a weapon.  My rate is 400 gold to start plus %17 percent of all the gold we find."	"Have mercy, master!  I'm doing my best!"
4	Scholar	500		Unlimited item Identification and a 5 percent bonus on all experience gained.  %01 takes %17 percent of all gold you find.	"I studied under Thomas Grey in the School of Sorcery for years to learn to tell one magic item from another.  I'll work for you for 500 gold to start, plus a %17 percent share of all the gold we find. "	Why are you dismissing me?  Don't you find my identification services useful?
5	Guide	100		All map crossings one day faster (minimum one day).  %01 takes %17 percent of all gold you find.	I know shortcuts and back roads throughout the land.  I'll be your guide for a mere 100 gold to start and a %17 percent share of all the gold we find.	But I cost so little!  Can't you afford %17 percent?
6	Tracker	200		All map crossings two days faster (minimum one day).  %01 takes %17 percent of all gold you find.	"I know shortcuts and back roads throughout the land.  I'll be your guide for 200 gold to start, plus a %17 percent share of the gold we find."	But I cost so little!  Can't you afford %17 percent?
7	Pathfinder	300		All map crossings three days faster (minimum one day).  %01 takes %17 percent of all gold you find.	"I know shortcuts and back roads throughout the land.  I'll be your guide for a mere 300 gold to start, plus a %17 percent share of the gold we find."	But I cost so little!  Can't you afford %17 percent?
8	Sailor	100		All boat travel 2 days faster (minimum one day).  %01 takes %17 percent of all gold you find.	"Uh, Ya.  I can uh, you know, work.  On a boat.  I'll help get you places quicker.  With me, I can get you across the sea two days faster than normal.  Uh, I uh, want oh, let's see, 100 gold to start, and %17 percent of the gold we find."	"What, you're just going to dump me?  Here?  "
9	Navigator	200		All boat travel 3 days faster (minimum one day).  %01 takes %17 percent of all gold you find.	"I've spent quite some time putting together accurate charts of the waters surrounding our continent.  With my charts and my skill, I can get you across water three days faster than normal.  I charge 200 gold to start, plus %17 percent of the gold we find."	What did I do to deserve this treatment?  I thought we had a deal?
10	Healer	500	Heal Party	Cures all party hit points once a day.  %01 takes %17 percent of all gold you find.	"I can travel with you, my children, for an initial donation of 500 gold to start and %17 percent of the gold we find to my church.  Once per day I'll be able to heal you of all your wounds, short of death."	How can you even think of firing me?  Who will heal your wounds?
11	Expert Healer	2000	Heal Party	"Cures all party hit points and conditions (excepting dead, stoned, or eradicated) once per day.  %01 takes %17 percent of all gold you find."	"As an expert healer, I can heal your wounds and many other conditions (but not death or turned to stone) once per day.  All I require is a donation of 2000 to my church and %17 percent of the gold we find."	How can you even think of firing me?  Who will heal your wounds?
12	Master Healer	5000	Heal Party	Completely heals party of all hit points and conditions once per day.  %01 takes %17 percent of all gold you find.	"As a master healer, my services are in demand by many, but my power to magically heal only works but once per day.  I can heal everything but eradication, and require a modest initial donation of 5000 gold to my temple and %17 percent of the gold we find."	How can you even think of firing me?  Who will heal your wounds?
13	Teacher	300		Ten percent bonus on all experience learned.  %01 takes %17 percent of all gold you find.	"I can help you to interpret and understand what you see as you travel. I think my advice will increase your overall experience.  I must charge 300 gold to start and %17 percent of the gold we find for my services, however."	"Without me around to tell you how to think, you'll learn a lot slower!  Don't fire me!"
14	Instructor	700		Fifteen percent bonus on all experience learned.  %01 takes %17 percent of all gold you find.	"I can help you to interpret and understand what you see as you travel. I think my advice will increase your overall experience.  I must charge 700 gold to start and %17 percent of the gold we find for my  services, however."	"Without me around to tell you how to think, you'll learn a lot slower!  Don't fire me!"
15	Arms Master	300		Two point bonus to Armsmaster skill for all characters.  %01 takes %17 percent of all gold you find.	"Everyone benefits from good advice, and my advice on weapons and combat is amongst the best.  During battle, my direction will improve your skill at arms.  I charge but 300 gold to start and %17 percent of the gold we find."	You would give up the benefit of my good advice just like that?  For shame!
16	Weapons Master	400		Three point bonus to Armsmaster skill for all characters..  %01 takes %17 percent of all gold you find.	"Everyone benefits from good advice, and my advice on weapons and combat is the best.  During battle, my direction will significantly improve your skill at arms.  I charge but 400 gold to start and %17 percent of the gold we find."	You would give up the benefit of my good advice just like that?  For shame!
17	Apprentice	500		"Two point bonus to Elemental (air, earth, fire, water) spell skills for all characters.  %01 takes %17 percent of all gold you find."	I can lend a little magic to boost your Elemental spell skills and ease your magical burden for 500 gold to start and %17 percent of the gold we find..	Why throw away the boundless reserves of magic I have to offer when I am so cheap to keep around?
18	Mystic	1000		"Three point bonus to Elemental (air, earth, fire, water) spell skills for all characters.  %01 takes %17 percent of all gold you find."	I can lend a good deal of magic to magnify your Elemental spell skills for 1000 gold to start and %17 percent of the gold we find.	Why throw away the boundless reserves of magic I have to offer when I am so cheap to keep around?
19	Spell Master	2000		"Four point bonus to Elemental (air, earth, fire, water) spell skills for all characters.  %01 takes %17 percent of all gold you find."	"I can lend my considerable magic reserves to sharply increase your Elemental spell skills and effects for the low, low price of 2000 gold to start and %17 percent of the gold we find."	Why throw away the boundless reserves of magic I have to offer when I am so cheap to keep around?
20	Trader	100		Four point bonus to Merchant skill for all characters.  %01 takes %17 percent of all gold you find.	"Sometimes, people have trouble bargaining in their own behalf.  I'll be happy to give you advice to better the prices you receive while bargaining with Merchants.  All I ask is 100 gold to start and %17 percent of the gold we find."	Fire me?  You must be joking!  You'll lose a lot of money without me around!
