#	Greeting 1	Greeting 2	Notes	Owner
1	"I am Lord Markham, the benefactor providing the castle that is the prize of the this contest."	"Nice to see you again, how are you doing on the hunt?"		Markham
2	"Greetings, my name is Thomas.  I am the judge of the contest."	Have you collected everything on the list yet?		Judge
3	"Welcome to Emerald Island, my name is Margaret and I'll be your docent for your stay here."	What would you like to know?		Docent
4	"Hello, my name is Ailyssa.  I'm the Bard in charge of overseeing the entertainment on Emerald Island for the duration of the Scavenger Hunt."	"Hello again, how are you doing?"		Bard
5	"Hi there!  I'm Sally.  I don't usually see people this far from town, are you lost?"	Still out here?  Town's back a ways to the south.		Sally
6	"Pssst…  Come here, I have an offer for you."	"Ah, you've returned, no doubt to listen to my proposal."		Malwick
7	"Hello there, stranger <wink>.  Fine weather we're having, no?"	"Did you need something, stranger?  <whisper> Get away from me, are you trying to get caught on purpose?!"		Malwick
8	"Hello there, friend.  May I have a word with you?"	Hello again… friend.		Sal
9	I don't believe we have anything to talk about.	I don't believe we have anything to talk about.		Malwick
10	"Hail and well met.  I'm Brent Filiant, a contestant in Lord Markham's scavenger hunt."	"Greetings again, friends."		Brent
11	"Hello, I'm Carolyn.  I handle the guild memberships for the Fire and Air Guilds here on the island."	"Hello, I'm Carolyn.  I handle the guild memberships for the Fire and Air Guilds here on the island."		Elemental Guild Membership
12	I'm Roger and I sell guild memberships for the Body and Spirit Guilds on Emerald Island.	I'm Roger and I sell guild memberships for the Body and Spirit Guilds on Emerald Island.		Self Guild Membership
13	"Ahoy matey!  I be William Darvees, captain of this vessel."	"Aye, good to see you again, mates!"		
14	"Hello, my name is Donna, I live here with my daughter Sally."	"Hello again, what can I do for you?"		Donna
15	"Hi, I'm Grant.  Tor allows me to live in the back of his shop as long as I stay his apprentice."	"Hi again, did you need something?"		Grant
16	"Greetings, I'm Mia.  Do you need something?"	Yes?  What do you want?		Mia
17	Halt!  You do not have authorization to proceed.  We request that you refrain from disturbing the students while they work.	Halt!  You do not have authorization to proceed.  We request that you refrain from disturbing the students while they work.		School of Sorcery Guard
18	"Welcome to Emerald Island.  I will be your guide during your stay here.  From time to time I will appear to tell you about something you're about to see to help you understand your New World.  If you tire of my messages (I won't be offended if you do), just click on my portrait to talk to me then click on 'Tour Off' to silence me.  "	"Welcome to Emerald Island.  I will be your guide during your stay here.  From time to time I will appear to tell you about something you're about to see to help you understand your New World.  If you tire of my messages (I won't be offended if you do), just click on my portrait to talk to me then click on 'Tour Off' to silence me.  "	Welcome Sign	Docent cheat
19	"The shop you are near is the Blacksmith shop.  The blacksmith only sells weapons, but this one sells many different kinds of weapons, and some of them have magical properties.  You can also sell weapons here, but you won't get a good deal until you have a higher merchant skill.  To enter, just click on the front door."	"The shop you are near is the Blacksmith shop.  The blacksmith only sells weapons, but this one sells many different kinds of weapons, and some of them have magical properties.  You can also sell weapons here, but you won't get a good deal until you have a higher merchant skill.  To enter, just click on the front door."	Blacksmith	Docent cheat
20	"The door to the west leads to the local Tavern.  The tavern is a safe place to sleep at night, and to buy food so you can sleep outdoors.  You can often meet interesting people in taverns, or catch the local gossip if you're looking for something to do.  To enter the tavern, just click on the front door."	"The door to the west leads to the local Tavern.  The tavern is a safe place to sleep at night, and to buy food so you can sleep outdoors.  You can often meet interesting people in taverns, or catch the local gossip if you're looking for something to do.  To enter the tavern, just click on the front door."	Tavern	Docent cheat
21	"This shop is the armor shop.  The armorer only sells helms, shields, and armor, but will buy nearly anything you can wear, if you don't want to make a separate stop at the magic shop.  Remember that a character needs skill in leather, chain or plate armor to be able to wear that kind of armor, or shield skill to use a shield."	"This shop is the armor shop.  The armorer only sells helms, shields, and armor, but will buy nearly anything you can wear, if you don't want to make a separate stop at the magic shop.  Remember that a character needs skill in leather, chain or plate armor to be able to wear that kind of armor, or shield skill to use a shield."	Armor Shop	Docent cheat
22	"This building is Carolyn Weather's private residence.  Carolyn makes a living by brokering magic guild memberships to aspiring wizards and other spell casters.  She will be happy to sell membership in the local Air and Fire guilds for a small fee.  You don't have to buy membership in a guild if you don't want to, but remember that you must be a guild member to buy spells and learn skills at a magic guild."	"This building is Carolyn Weather's private residence.  Carolyn makes a living by brokering magic guild memberships to aspiring wizards and other spell casters.  She will be happy to sell membership in the local Air and Fire guilds for a small fee.  You don't have to buy membership in a guild if you don't want to, but remember that you must be a guild member to buy spells and learn skills at a magic guild."	Carolyn's place	Docent cheat
23	"This building is another private residence.  Roger, the owner of the house, sells membership in the Spirit and Body magic guilds here.  The price is low, but you must pay if you intend to take advantage of the guild services, including spell purchases and skill teaching.  By the way, if you're getting tired of my messages, you can stop them by clicking on my portrait to talk to me then clicking on the 'Tour Off' topic."	"This building is another private residence.  Roger, the owner of the house, sells membership in the Spirit and Body magic guilds here.  The price is low, but you must pay if you intend to take advantage of the guild services, including spell purchases and skill teaching.  By the way, if you're getting tired of my messages, you can stop them by clicking on my portrait to talk to me then clicking on the 'Tour Off' topic."	Roger's house	Docent cheat
24	"This door leads to the training center of Emerald Island.  If you have enough experience points (gained from killing monsters and completing quests) you can come here to increase your characters' levels.  When you gain a level, you'll also get some skill points to spend on improving your skills.  You can only spend skill points on skills that your character knows--to learn new skills, try visiting the businesses around town and see if they offer lessons in anything you're interested in."	"This door leads to the training center of Emerald Island.  If you have enough experience points (gained from killing monsters and completing quests) you can come here to increase your characters' levels.  When you gain a level, you'll also get some skill points to spend on improving your skills.  You can only spend skill points on skills that your character knows--to learn new skills, try visiting the businesses around town and see if they offer lessons in anything you're interested in."	Training grounds	Docent cheat
25	"This tent is where the town's healer is located.  You can pay for any healing your characters may need here--even raise them from the dead.  You can tell if your characters are injured by looking at the green bar to the left of their portrait--the lower it is, the more injured they are.  Note that it isn't necessary to get healed at the healer--any ordinary damage and all spell points will be healed merely for resting overnight.  "	"This tent is where the town's healer is located.  You can pay for any healing your characters may need here--even raise them from the dead.  You can tell if your characters are injured by looking at the green bar to the left of their portrait--the lower it is, the more injured they are.  Note that it isn't necessary to get healed at the healer--any ordinary damage and all spell points will be healed merely for resting overnight.  "	Healer's tent	Docent cheat
26	"This well has a magical benefit--it bestows a powerful fire resistance spell on the drinker.  To have a character drink from the well, just select the character you want to have drink, then click on the well. There are many wells like this one in the game--you can look in your autonotes book under the ""Fountains"" tab for a list of all wells you've tried drinking from during the course of the game.The effects of this particular well last until you rest, but remember that different wells may have completely different effects."	"This well has a magical benefit--it bestows a powerful fire resistance spell on the drinker.  To have a character drink from the well, just select the character you want to have drink, then click on the well. There are many wells like this one in the game--you can look in your autonotes book under the ""Fountains"" tab for a list of all wells you've tried drinking from during the course of the game.The effects of this particular well last until you rest, but remember that different wells may have completely different effects."	Well of Fire Resistance	Docent cheat
27	"You are standing in front of the house in which Lord Markham has set up his temporary headquarters on Emerald Island. Lord Markham is the benefactor behind the scavenger hunt you are no doubt eager to win.  The contest judge is also inside, and he is the one you need to talk to in order to turn in hunt items you have found."	"You are standing in front of the house in which Lord Markham has set up his temporary headquarters on Emerald Island. Lord Markham is the benefactor behind the scavenger hunt you are no doubt eager to win.  The contest judge is also inside, and he is the one you need to talk to in order to turn in hunt items you have found."	Markham's headquarters	Docent cheat
28	"The Spirit Guild can be found through the door to the east.  You must have a membership to use the services of the Guild, which include spell purchase and skill teaching.  To become a Spirit Guild member, you must first visit Roger in his house a little way southeast of here and purchase a membership.  Also remember, a character who wishes to learn a Spirit spell must have the Spirit magic skill!"	"The Spirit Guild can be found through the door to the east.  You must have a membership to use the services of the Guild, which include spell purchase and skill teaching.  To become a Spirit Guild member, you must first visit Roger in his house a little way southeast of here and purchase a membership.  Also remember, a character who wishes to learn a Spirit spell must have the Spirit magic skill!"	Spirit Guild	Docent cheat
29	"The Air Guild is on the other side of this door.  You must have a membership to use the services of the Guild, which include spell purchase and skill teaching.  To become an Air Guild member, you must first visit Carolyn in her house a little way southeast of here and purchase a membership.  Also remember, a character who wishes to learn an Air spell must have the Air magic skill!"	"The Air Guild is on the other side of this door.  You must have a membership to use the services of the Guild, which include spell purchase and skill teaching.  To become an Air Guild member, you must first visit Carolyn in her house a little way southeast of here and purchase a membership.  Also remember, a character who wishes to learn an Air spell must have the Air magic skill!"	Air Guild	Docent cheat
30	"This building is where you will find the town Alchemist.  The alchemist sells potions and potions ingredients, and is also a place where your characters may learn the Alchemy skill.  You must have alchemy skill to make even the most basic of potions, and you can do that by opening your character's inventory, picking up a potion ingredient, and right clicking it on an empty potion bottle.  You can use a similar procedure to mix two potions together.  Alchemists know that certain mixtures produce certain results, but it's a trade secret.  You'll have to figure it out for yourself.  Be warned that some mixtures are explosive!"	"This building is where you will find the town Alchemist.  The alchemist sells potions and potions ingredients, and is also a place where your characters may learn the Alchemy skill.  You must have alchemy skill to make even the most basic of potions, and you can do that by opening your character's inventory, picking up a potion ingredient, and right clicking it on an empty potion bottle.  You can use a similar procedure to mix two potions together.  Alchemists know that certain mixtures produce certain results, but it's a trade secret.  You'll have to figure it out for yourself.  Be warned that some mixtures are explosive!"	Alchemist	Docent cheat
31	"This door leads to the Body Guild.  You must have a membership to use the services of the Guild, which include spell purchase and skill teaching.  To become a Body Guild member, you must first visit Roger in his house a little way southeast of here and purchase a membership.  Also remember, a character who wishes to learn a Body spell must have the Body magic skill!"	"This door leads to the Body Guild.  You must have a membership to use the services of the Guild, which include spell purchase and skill teaching.  To become a Body Guild member, you must first visit Roger in his house a little way southeast of here and purchase a membership.  Also remember, a character who wishes to learn a Body spell must have the Body magic skill!"	Body Guild	Docent cheat
32	You have found the Magic shop.  The magic shop is every true adventurer's favorite store.  Here you can buy and sell all magic items except for magic weapons and armor.  	You have found the Magic shop.  The magic shop is every true adventurer's favorite store.  Here you can buy and sell all magic items except for magic weapons and armor.  	Magic Shop	Docent cheat
