2D Events by Type ( NPC's present are from NPC database)																		Schedules		Other Exits		Questbit	Enter																																										
#	#	Type	Map	Picture	Name	Proprieter Name	Title	Picture	State	Rep	Per	Val	A	B	C	Notes:	Notes(2):	Open	Closed	Pic	Map	Restrictions	Text																																										
1	1	Weapon Shop	1	57	The Knight's Blade	Tor	Blacksmith	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
2	2	Weapon Shop	2	57	Tempered Steel	Caldar	Blacksmith	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
3	3	Weapon Shop	3	57	The Queen's Forge	Hammond	Blacksmith	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
4	4	Weapon Shop	4	62	Hunter's Lodge	Jared	Blacksmith	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
5	5	Weapon Shop	7	60	The Hallowed Sword	Charles	Blacksmith	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
6	6	Weapon Shop	8	58	Blades of Spite	Spite	Blacksmith	0	0	0	0	4	2		28			18	6	0	0	0	0																																										
7	7	Weapon Shop	10	61	The Blooded Dagger	Chos	Blacksmith	0	0	0	0	3	1.5		14			18	6	0	0	0	0																																										
8	8	Weapon Shop	13	57	Vander's Blades & Bows	Vander	Blacksmith	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
9	9	Weapon Shop	14	62	The Knocked Bow	Robin	Blacksmith	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
10	10	Weapon Shop	39	59	The Balanced Axe	Ulther	Blacksmith	0	0	0	0	2.5	1		14			6	18	0	0	0	0																																										
11	11	Weapon Shop	21	57	Swords Inc.	Robert	Blacksmith	0	0	0	0	2.5	1		21			6	18	0	0	0	0																																										
12	12	Weapon Shop	13	57	Alloyed Weapons	Tarin	Blacksmith	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
13	13	Weapon Shop	0	57	The Best Defense	Madden	Blacksmith	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
14	14	Weapon Shop	0	57	Ironwood Spears	Smythe	Blacksmith	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
15	1	Armor Shop	1	1	Erik's Armory	Erik	Armorsmith	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
16	2	Armor Shop	2	1	The Peasant's Smithy	Peter	Armorsmith	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
17	3	Armor Shop	3	1	Queen Catherine's Smithy	David	Armorsmith	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
18	4	Armor Shop	4	6	Buckskins and Bucklers	Sable	Armorsmith	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
19	5	Armor Shop	7	4	Armor of Honor	Cuthbert	Armorsmith	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
20	6	Armor Shop	8	2	Shields of Malice	Malice	Armorsmith	0	0	0	0	4	2		28			18	6	0	0	0	0																																										
21	7	Armor Shop	10	5	The Tannery	Case	Armorsmith	0	0	0	0	3	1.5		14			18	6	0	0	0	0																																										
22	8	Armor Shop	13	1	The Missing Link	Brand	Armorsmith	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
23	9	Armor Shop	14	6	Avlee Outpost	Tarence	Armorsmith	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
24	10	Armor Shop	39	3	The Polished Pauldron	Arthur	Armorsmith	0	0	0	0	2.5	1		14			6	18	0	0	0	0																																										
25	11	Armor Shop	21	1	Thel's Armor and Shields	Thel	Armorsmith	0	0	0	0	2.5	1		21			6	18	0	0	0	0																																										
26	12	Armor Shop	13	1	Alloyed Armor and Shields	Elmo	Armorsmith	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
27	13	Armor Shop	0	1	The Greenwood Forge	Laric	Armorsmith	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
28	14	Armor Shop	0	1	The Thrown Gauntlet	Murgen	Armorsmith	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
29	1	Magic Shop	1	21	Emerald Enchantments	Thurston	Magician	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
30	2	Magic Shop	2	21	Otto's Oddities	Otto	Magician	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
31	3	Magic Shop	3	21	Her Majesty's Magics	Nathan	Magician	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
32	4	Magic Shop	4	26	Natural Magic	James	Magician	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
33	5	Magic Shop	5	22	Death's Door	Rigor	Magician	0	0	0	0	3	1.5		28			18	6	0	0	0	0																																										
34	6	Magic Shop	6	24	Artifacts & Antiquities	Sionell	Magician	0	0	0	0	3	1.5		28			6	18	0	0	0	0																																										
35	7	Magic Shop	7	24	Esoteric Indulgences	Bernard	Magician	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
36	8	Magic Shop	8	22	Eldritch Influences	No'mead	Magician	0	0	0	0	4	2		28			18	6	0	0	0	0																																										
37	9	Magic Shop	10	25	Arcane Items	Lazlo	Magician	0	0	0	0	3	1.5		21			18	6	0	0	0	0																																										
38	10	Magic Shop	39	23	Delicate Things	Dozer	Magician	0	0	0	0	2.5	1.5		14			6	18	0	0	0	0																																										
39	11	Magic Shop	0	21	Rings & Relics	Kirby	Magician	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
40	12	Magic Shop	0	21	Mystical Forces	One-Eye	Magician	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
41	13	Magic Shop	0	21	The Scribbled Page	Silent	Magician	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
42	1	Alchemist	1	7	The Blue Bottle	Kethry	Alchemist	0	0	0	0	2	1		7			6	18	0	0	0	0																																										
43	2	Alchemist	2	7	Philters and Elixirs	Jessica	Alchemist	0	0	0	0	2	1		7			6	18	0	0	0	0																																										
44	3	Alchemist	3	7	Lead Transformations	Margaret	Alchemist	0	0	0	0	3	1		7			6	18	0	0	0	0																																										
45	4	Alchemist	4	12	The Bubbling Cauldron	Schmendrick	Alchemist	0	0	0	0	3	1		7			6	18	0	0	0	0																																										
46	5	Alchemist	5	8	The Blackened Vial	Ash	Alchemist	0	0	0	0	4	1.5		14			18	6	0	0	0	0																																										
47	6	Alchemist	6	10	Edmond's Ampules	Edmond	Alchemist	0	0	0	0	4	1.5		14			6	18	0	0	0	0																																										
48	7	Alchemist	7	10	Phials of Faith	Julian	Alchemist	0	0	0	0	5	2		14			6	18	0	0	0	0																																										
49	8	Alchemist	8	8	Infernal Temptations	Nogard	Alchemist	0	0	0	0	5	2		14			18	6	0	0	0	0																																										
50	9	Alchemist	39	9	Potent Potions & Brews	Digger	Alchemist	0	0	0	0	4	1		7			6	18	0	0	0	0																																										
51	10	Alchemist	21	7	Beakers and Bottles	Sioned	Alchemist	0	0	0	0	4	1		7			6	18	0	0	0	0																																										
52	11	Alchemist	0	7	Aromatic Therapies	Kathleen	Alchemist	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
53	12	Alchemist	0	7	Helpful Solutions	Agatha	Alchemist	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
