Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Notes
0																
1	item001	Crude Longsword	50	Weapon	Sword	3d3	0	8	1	Longsword	1	0	0	5	120	"Though notched and dented, this longsword is still an effective weapon."
2	item002	Elven Saber	200	Weapon	Sword	3d3	3	8	3	Saber	1	0	0	6	153	"A common elven weapon, this saber is a deadly, if unremarkable, weapon."
3	item003	Keen Longsword	350	Weapon	Sword	3d3	6	8	6	Longsword	1	0	0	-2	118	"Although this longsword appears quite old, the edge of the blade is unusually sharp.  It was quite probably enchanted to remain that way during its creation."
4	item004	Graceful Sword	500	Weapon	Sword	3d3	9	8	9	Longsword	1	0	0	4	138	"An high quality longsword, monogrammed initials near the base of the pommel indicate it was forged by master weaponsmith Mekorig the Blind circa 780-800."
5	item005	Duelist Blade	650	Weapon	Sword	3d3	12	8	12	Longsword	1	0	0	10	142	"These rare blades were forged sometime before the Silence, and have been used by noble duelists who want to die in style for centuries.  No two are quite alike, but all share bloody histories."
6	item006	Two-Handed Sword	400	Weapon2	Sword	4d5	0	8	1	Two-Handed Sword	2	0	0	12	146	This simple two-handed sword with a leather grip is a common design in Erathia.
7	item007	Great Sword	500	Weapon2	Sword	4d5	2	8	6	Two-Handed Sword	2	0	0	16	142	"An effective, deadly design employed by less well disciplined armies throughout time.  The smith of this particular two-handed sword thoughtfully added a blood groove down the center of the blade."
8	item008	Heroic Sword	800	Weapon2	Sword	4d5	8	8	10	Two-Handed Sword	2	0	0	14	139	"It is thought by some master swordsmen that a wavy blade is a bit stronger than a straight one, and does more damage when it strikes an opponent.  That may or may not be true, but one thing is certain--this particular sword's craftsmanship is amongst the finest you've ever seen."
9	item009	Broadsword	100	Weapon	Sword	3d4	0	8	1	Broadsword	3	0	0	6	128	A polished broadsword commonly used by all forces in Erathia.
10	item010	Steel Broadsword	300	Weapon	Sword	3d4	4	8	5	Broadsword	3	0	0	5	113	A fine Erathian steel broadsword of excellent quality and edge.
11	item011	Champion Sword	600	Weapon	Sword	3d4	10	8	9	Broadsword	3	0	0	2	123	"More a falchion than a broadsword, this magnificent weapon retains a keen edge in spite of its age."
12	item012	Cutlass	40	Weapon	Sword	2d4	0	7	1	Cutlass	4	0	0	6	98	The swept-back style of the cutlass helps opponents underestimate the weapon's true reach.  Many unexperienced swordsmen have lost their lives to this deceptive design.
