Skill	Description	Normal	Expert	Master	GrandMaster
Staff	A staff is a two-handed pole equally good on offense and defense.  Expert ranking in the staff will increase your armor class and master ranking will allow you to occasionally stun your opponents.	Skill added to Attack Bonus	Skill added to Armor Class	Chance to stun equal to skill	Staff usable with the Unarmed skill.
Sword	The sword skill covers most types of blades longer than a knife.  Expert swordsmen gain a quicker attack while master swordsmen may use any one-handed sword in their left hand and another weapon in their right.	Skill added to Attack Bonus	Skill reduces recovery time	Permits use of sword in left hand	Skill added to Armor Class
Dagger	"While daggers don’t do the kind of damage that a sword or an axe can deliver, they are very quick—sometimes letting you get two attacks for every one of your slower opponents'.  Expert dagger fighters can wield a dagger in their left hand while using another weapon in their right.  Master dagger fighters have a chance of doing a triple damage attack."	Skill added to Attack Bonus	Permits use of dagger in left hand	Chance to cause triple damage equal to skill	Skill added to Attack Damage
Axe	"While rather slow on the attack, axes do a lot of damage when they hit.  Expert axe fighters gain a little more speed on their attacks while master axe fighters can deliver extra damage."	Skill added to Attack Bonus	Skill reduces recovery time	Skill added to Attack Damage	Chance to halve the Armor Class of the target.
Spear	Spear covers all kinds of pole weapons with blades attached to the business end.  Spears are versatile and can be used one or two handed (they work better with two hands).	Skill added to Attack Bonus	Skill added to damage.	Ability to use a spear in one hand.	Skill added to Armor Class
Bow	"Bow skill covers both bow and crossbow usage.  Expert archers gain a speed increase with their weapon, while master archers can fire two arrows with every attack."	Skill added to Attack Bonus	Skill reduces recovery time	Bow fires two arrows on every attack	Skill added to damage.
Mace	Mace skill covers all kinds of blunt trauma weapons ranging from batons to flails.  Expert mace swingers do extra damage with their weapons while master ranking gives a chance to stun opponents.	Skill added to Attack Bonus	Skill added to Attack Damage	Chance to stun equal to skill	Chance to paralyze equal to skill.
Blaster	"A weapon from before the Silence, their making has long since been lost.  Expert and Master Blasters gain double and triple accuracy with these awesome weapons."	Skill added to Attack Bonus	Skill added to Attack Bonus (double effect)	Skill added to Attack Bonus (triple effect)	Skill added to Attack Bonus (quintuple effect)
Shield	Shield skill directly improves a character’s armor class while a shield is employed.  Expert and master ranking in the shield increase this defensive bonus.	Skill added to Armor Class	Recovery penalty eliminated	Skill added to Armor Class (double effect)	Protection as per Shield spell.
Leather	"Leather armor is the lightest armor a character can wear.  While leather provides less protection than chain or plate armor, it also slows your character down the least.  Leather armor skill increases the protection offered by leather armor.  As with all armors, Expert and master ranking both reduce the amount the armor slows you down."	Skill added to Armor Class	Recovery penalty eliminated	Skill added to Armor Class (double effect)	Skill added to Elemental (Fire/Earth/Air/Water) Resistances.
