										
#	Lvl	Fire Spells	Res	Short Name	Spell Description	Normal	Expert	Master	Grand Master	Stats
1	1	Torch Light	none	Torch Light	Torch light increases the radius of light surrounding your party in the dark.  	Duration 1 hour per point of  skill	Brighter light	Brightest Light	Faster recovery	P
2	2	Fire Bolt	Fire	Fire Bolt	"Launches a burst of fire at a single target.  Damage is 1-3 points of damage per point of skill in Fire Magic, but casting cost is low.  Firebolt is safe and effective—the “Old Reliable” of the Sorcerer’s arsenal."	Slow rate of recovery	Faster recovery rate	Faster recovery rate	Fastest recovery rate	PMEC
3	3	Fire Resistance	none	Prot Fire	Increases all your characters’ resistance to fire magic by an amount equal to your skill in Fire and lasts one hour per point of skill.	1 point resistance per point of skill	2 points resistance per point of skill	3 points resistance per point of skill	4 points resistance per point of skill	P
4	4	Fire Aura	none	Fire Aura	"Causes a weapon that has no special abilities to burn with a magical fire, giving the weapon the 'of fire' ability.  This spell lasts for one hour per point of skill in Fire Magic."	Of Fire	Of Flame	Of Infernoes	Permanent	P
5	5	Haste	none	Haste	Reduces the time it takes to recover from casting a spell or attacking with a weapon.  Characters will become weak after this spell wears off.  This spell affects the entire party at once.	n/a	Duration 1 hour + 1 minute per skill point	Duration 1 hour + 3 minutes per skill point	Duration 1 hour + 4 minutes per skill point	PM
6	6	Fireball	Fire	Fireball	"Another Sorcerer’s favorite, fireball targets a single monster, but explodes to hurt anyone else caught in the blast.  If your party is too close to the blast, they will be hurt as well.  Fireball does 1-6 points of damage per point of skill in Fire Magic."	n/a	Moderate recovery rate	Faster recovery rate	Fastest recovery rate	PMEC
7	7	Fire Spike	Fire	Fire Spike	Drops a Fire Spike on the ground that waits for a creature to get near it before exploding.  Fire Spikes last until you leave the map or they are triggered.	n/a	"Causes 1-6 points of damage per point of skill, 5 spikes maximum"	"Causes 1-8 points of damage per point of skill, 7 spikes maximum"	"Causes 1-10 points of damage per point of skill, 9 spikes maximum"	PC
8	8	Immolation	Fire	Immolation	Surrounds your characters with a very hot fire that is only harmful to others.  The spell will deliver 1-6 points of damage per point of skill to all nearby monsters for as long as they remain in the area of effect. 	n/a	n/a	Duration 1 minute per point of skill	Duration 10 minutes per point of skill	PC
9	9	Meteor Shower	Fire	Meteor Shwr	Summons flaming rocks from the sky in a large radius surrounding your chosen target.  Try not to be near the victim when you use this spell.  A single meteor does 8 points of damage plus 1 per point of skill in Fire Magic.  This spell only works outdoors.	n/a	n/a	Moderate rate of recovery and 16 meteors	Fast rate of recovery and 20 rocks	PMEC
10	10	Inferno	Fire	Inferno	"Inferno burns all monsters in sight when cast, excluding your characters.  Good for cleaning out rooms full of weak or moderate strength monsters in one or two easy castings.  Each monster takes 12 points of damage plus 1 per point of skill in Fire Magic.  This spell only works indoors."	n/a	n/a	Moderate rate of recovery	Fast rate of recovery	PC
11	11	Incinerate	Fire	Incinerate	"Amongst the strongest direct damage spells available, Incinerate inflicts massive damage on a single target.  Only the strongest of monsters can expect to survive this spell.  Damage is 15 points plus 1-15 per point of skill in Fire Magic."	n/a	n/a	n/a	This spell is as good as it will ever get!	PMC
	Lvl	Air Spells	Res		Spell Description					
12	1	Wizard Eye	none	Wizard Eye	Wizard Eye causes the automap located in the upper right corner of the main gaming screen to show the locations of monsters and other points of interest while outdoors.  The spell lasts 1 hour per point of skill in Air Magic.	Only shows terrain and monsters	Shows treasure	Shows 'points of interest'	Casting cost is free	P
13	2	Feather Fall	Air	Feather Fall	Feather Fall prevents your characters from being hurt when falling more than ten feet by slowing the speed of the fall.  Feather Fall affects your entire party with one casting and has a duration based on your skill in Air Magic. 	Duration 5 minutes per point of skill	Duration 10 minutes per point of skill	Duration 1 hour per point of skill	Faster recovery	P
14	3	Air Resistance	none	Air Resist	Increases all your characters’ resistance to air magic by an amount equal to your skill in Air and lasts one hour per point of skill.	1 point resistance per point of skill	2 points resistance per point of skill	3 points resistance per point of skill	4 points resistance per point of skill	P
15	4	Sparks	Air	Sparks	"Sparks fires small balls of lightning into the world that bounce around until they hit something or dissipate.  It is hard to tell where they will go, so this spell is best used in a room crowded with small monsters.  Each spark does 2 points plus 1 per point of skill in Air Magic."	"Moderate recovery rate, 3 sparks"	"Faster recovery rate, 5 sparks"	"Faster recovery rate, 7 sparks"	"Fastest recovery rate, 9 sparks"	PMEC
