	Placed Monster Names
1	Blackwell Cooper
2	Jeric Whistlebone
3	Dragon Hunter Pet
4	Admiral Nelson
5	Captain Zyrain
6	Admiral Clausewitz
7	Unicorn King
8	Lizardman Lookout
9	Lizardman Lookout
10	Guard
11	Pack Master
12	Zog
13	gamegurl
14	DaveO
15	Steve Jaqvaar
16	HodgePodge
17	Elara
18	Ribannah
19	TenErnieFord
20	Cool Jerk
21	Chlala
22	kyberkisu
23	Just_A_Brain
24	Lord Kilburn
25	King Louise
26	Guthwulf
27	Adam McCarthy
28	Alex Sherman
29	Andrew Grumm
30	Anna Wooll
31	April Lee
32	Benjamin Bent
33	Bill Nesemeier
34	Bill Stoneham
35	Bob Young
36	Bonnie Long-Hemsath
37	Brian DeMetz
38	Brian Kemper
39	Bryan Farina
40	Carl Pinder
41	Charles Zilm
42	Chris Bates
43	Chris Miller
44	Christian Vanover
45	Chuck Russom
46	Dave Botan
47	David Mullich
48	David Richey
49	David Vela
50	Dean Gibson
51	Devin Chapman
52	Edward Hudson
53	Ernie Gallardo
54	Eric Williamson
55	Fernando Castillo
56	George Almond
57	George Ruof
58	Gus Smedstad 
59	Ian Bullard
60	Jack Russell
61	James Dickinson
62	Jeff Bigman
63	Jeff Blattner
64	Jeff Leggett
65	Jennifer Bullard
66	Joe McGuffin
67	Joel Kelly
68	John Gibson
69	John Krause
70	John Machin (Mac)
71	John Slowsky
72	Jon Van Caneghem
73	Joseph Buron
74	Julia Ulano
75	Karl Drown
76	Kate Vanover
77	Keith Francart
78	Keith Talanay
79	Ken Spencer
80	Ken Thomson
81	Kurt McKeever
82	Lisa Whitman
83	Lou Henderson
84	Marcus Pregent
85	Mary Ellen Babson
86	Mark Caldwell
87	Mark Miller
88	Michael Wolf
89	Nicco Wargon
90	Nowa Morisaku
91	Paul Rattner
92	Pete Ryu
93	Phelan Sykes
94	Rebecca Christel
95	Riki Corredera
96	Ryan Den
97	Scott White
98	Steve Jasper
99	Steve Wasaff
100	Tim Lang
101	Todd Smailes
102	Tom Ono
103	Tom Zeliff
104	Tony Evans
105	Tracy Iwata
106	Walter Johnson
107	Yaardrake
108	Old Loeb
109	Ilsingore
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0														
129	0														
130	0														
