Item#	message text	Location	Item Name
700	"
A Black Potion of Rejuvenation can be valuable in correcting the effects of aging.  To mix such a potion you need to find the correct combination of three of each of the base reagents. "	Rejuvenation	Empty Message Scroll
701	"
A Black Potion of Pure Might is any adventurer's dream.  The addition to permanent might can turn ANYONE into a fighting machine.  To mix this potion you need the correct combination of four of any red reagent type, plus two of any blue reagent type and one of the yellow reagents.  "	Pure Might	Empty Message Scroll
702	"
A Black Potion of Pure Accuracy is any archer's dream.  The addition to permanent accuracy can turn ANYONE into a fighting machine.  To mix this potion you need the correct combination of four of any yellow reagent type, plus two of any red reagent type and one of the blue reagents.  "	Pure Accuracy	Empty Message Scroll
703	"
The Black Potion of Pure Personality will add to a character's permanent personality. This will increase the total spell points based off Personality. To mix this potion you need the correct combination of one of any red reagent type, plus four of any blue reagent type and two of the yellow reagents.  "	Pure Personality	Empty Message Scroll
704	"
A Black Potion of Pure Endurance is any adventurer's dream.  The addition to permanent endurance can turn ANYONE into a fighting machine, increasing their hit points far beyond normal.  To mix this potion you need the correct combination of two of any red reagent type, plus four of any blue reagent type and one of the yellow reagents.  "	Pure Endurance	Empty Message Scroll
705	"
The Black Potion of Pure Intellect will add to a character's permanent intellect, increasing the total spell points based off of intellect. To mix this potion you need the correct combination of one of any red reagent type, plus two of any blue reagent type and four of the yellow reagents.  "	Pure Intellect	Empty Message Scroll
706	"
The Black Potion of Pure Speed could be the answer for a party who just doesn't get the jump on the monsters.  The addition to permanent speed could be just what is needed to allow you to recover and act before the monsters do.  You can never be too quick. To mix this potion you need the correct combination of four of any red reagent type, plus one of any blue reagent type and two of the yellow reagents.  "	Pure Speed	Empty Message Scroll
707	"
The Black Potion of Pure Luck could be the answer for a party who is disarm trap skill challenged.  The addition to permanent luck could be just what is needed to allow you to duck before a trap goes off.  You can never have too much luck. To mix this potion you need the correct combination of two of any red reagent type, plus three of any blue reagent type and three of the yellow reagents."	Pure Luck	Empty Message Scroll
708	"
The Black Potion of Slaying can turn any normal weapon into a weapon of dragon slaying.  To mix this potion you need the correct combination of three of any red reagent type, plus three of any blue reagent type and two of the yellow reagents."	Slaying Potion	Empty Message Scroll
709	"
The Black Potion of Stone to Flesh allows you to remove the stoned condition on a character. To mix this potion you need the correct combination of three of any red reagent type, plus two of any blue reagent type and three of the yellow reagents."	Stone To Flesh	Empty Message Scroll
710	"
The White Potion of Might Boost temporarily boosts your strength just when you need it. To mix this potion you need the correct combination of three of any red reagent type and two of any blue reagents."	Might Boost	Empty Message Scroll
711	"
The White Potion of Intellect Boost temporarily boosts your intellect just when you need it. To mix this potion you need the correct combination of two of any blue reagent type and three of any yellow reagents."	Intellect Boost	Empty Message Scroll
712	"
The White Potion of Personality Boost temporarily boosts your personality just when you need it. To mix this potion you need the correct combination of three of any blue reagent type and two of any yellow reagents."	Personality Boost	Empty Message Scroll
713	"
The White Potion of Endurance Boost temporarily boosts your endurance just when you need it. To mix this potion you need the correct combination of two of any red reagent type and three of any blue reagents."	Endurance Boost	Empty Message Scroll
714	"
The White Potion of Speed Boost temporarily boosts your speed just when you need it. To mix this potion you need the correct combination of three of any red reagent type and two of any yellow reagents."	Speed Boost	Empty Message Scroll
715	"
The White Potion of Accuracy Boost temporarily boosts your accuracy just when you need it. To mix this potion you need the correct combination of two of any red reagent type and three of any yellow reagents."	Accuracy Boost	Empty Message Scroll
716	"
The White Flaming Potion turns any normal weapon into a weapon of Flame. To mix this potion you need the correct combination of two of any red reagent type, plus one of any blue reagent type and two of the yellow reagents."	Flaming Potion	Empty Message Scroll
717	"
The White Freezing Potion turns any normal weapon into a weapon of Frost. To mix this potion you need the correct combination of two of any red reagent type, plus two of any blue reagent type and one of the yellow reagents."	Freezing Potion	Empty Message Scroll
718	"
The White Noxious Potion turns any normal weapon into a weapon of Poison. To mix this potion you need the correct combination of one of any red reagent type, plus two of any blue reagent type and two of the yellow reagents."	Noxious Potion	Empty Message Scroll
719	"
The White Shocking Potion turns any normal weapon into a weapon of Sparks. To mix this potion you need the correct combination of three of any red reagent type, plus one of any blue reagent type and one of the yellow reagents."	Shocking Potion	Empty Message Scroll
720	"
The White Swift Potion turns any normal weapon into a weapon of Swiftness. To mix this potion you need the correct combination of one of any red reagent type, plus three of any blue reagent type and one of the yellow reagents."	Swift Potion	Empty Message Scroll
721	"
The White Potion of Cure Paralysis eliminates the Paralysis condition. To mix this potion you need the correct combination of one of any red reagent type, plus one of any blue reagent type and three of the yellow reagents."	Cure Paralysis	Empty Message Scroll
722	"
The White Potion of Divine Restoration eliminates all conditions except stoned, dead or eradicated. To mix this potion you need the correct combination of two of any red reagent type, plus two of any blue reagent type and two of the yellow reagents."	Divine Restoration	Empty Message Scroll
723	"
The White Potion of Divine Cure is more powerful than the Potion of Cure Wounds. To mix this potion you need the correct combination of three of any red reagent type and any three of the yellow reagents."	Divine Cure	Empty Message Scroll
