Knight/Cleric Male	Knight/Cleric Female	Dark Elf Pesant Male	Dark Elf Pesant Female	Troll/Minotaur	Vampire/Necro Female	Vampire/Necro Male	Dragon	To make excel work right
Aaron	Alemada	Aleton	Alemada	Alton	Abellona	Aleton	Aleton	*end
Abe	Amadrea	Beren	Amadrea	Ashburn	Abigail	Beren	Beren	*end
Abel	Angeama	Blajake	Angeama	Aylin	Acacia	Blajake	Blajake	*end
Adam	Angebria	Blajuan	Angebria	Basher	Adalgisa	Blajuan	Blajuan	*end
Adrian	Annaju	Brale	Annaju	Bishop	Aisilinn	Brale	Brale	*end
Adrienne	Ariasti	Breed	Ariasti	Blaine	Alethea	Breed	Breed	*end
Ahmed	Baimaria	Chaseleon	Baimaria	Brook	Alexandra	Chaseleon	Chaseleon	*end
Akio	Brida	Coreywyn	Brida	Bruce	Basilia	Coreywyn	Coreywyn	*end
Akira	Brierly	Daale	Brierly	Bruno	Benedicta	Daale	Daale	*end
Al	Byire	Daet	Byire	Cavein	Bronwynn	Daet	Daet	*end
Alain	Cewe	Dalo	Cewe	Carrion	Calandra	Dalo	Dalo	*end
Alaine	Cheyelerie	Deed	Cheyelerie	Dunerider	Callista	Deed	Deed	*end
Alan	Couisa	Gaivan	Couisa	Dust	Carissa	Gaivan	Gaivan	*end
Albert	Daiyve	Gobra	Daiyve	Elmwater	Cassandraree	Gobra	Gobra	*end
Alec	Darina	Hued	Darina	Eton	Celeste	Hued	Hued	*end
Alejandro	Debrie	Joren	Debrie	Aleton	Dalilia	Joren	Joren	*end
Alexander	Dialia	Judan	Dialia	Beren	Damaris	Judan	Judan	*end
Alfred	Diari	Juevan	Diari	Blajake	Damitia	Juevan	Juevan	*end
Alton	Domade	Juphi	Domade	Blajuan	Danelis	Juphi	Juphi	*end
Altred	Donie	Kegar	Donie	Brale	Delphine	Kegar	Kegar	*end
Alvin	Dseyria	Kesel	Dseyria	Brent	Demetria	Kesel	Kesel	*end
Ambrose	Fiosama	Kosto	Fiosama	Chaseleon	Deolinda	Kosto	Kosto	*end
Amos	Flonah	Loric	Flonah	Coreywyn	Dextra	Loric	Loric	*end
Andrew	Fralie	Maje	Fralie	Daale	Dimona	Maje	Maje	*end
Andy	Ganah	Maul	Ganah	Daet	Dylanna	Maul	Maul	*end
Anthony	Gemah	Moven	Gemah	Dalo	Ebony	Moven	Moven	*end
Anton	Geme	Mylix	Geme	Deed	Edelmira	Mylix	Mylix	*end
Arby	Haleyther	Nahen	Haleyther	Gaivan	Egelinna	Nahen	Nahen	*end
Arda	Hana	Navin	Hana	Gobra	Electra	Navin	Navin	*end
Arden	Hara	Nelix	Hara	Hued	Emeline	Nelix	Nelix	*end
Ariel	Irelerie	Nichoisaiah	Irelerie	Joren	Eudocia	Nichoisaiah	Nichoisaiah	*end
Aristeo	Irewa	Pago	Irewa	Judan	Felicia	Pago	Pago	*end
Aristidis	Isaeli	Rahu	Isaeli	Juevan	Fiammetta	Rahu	Rahu	*end
Arlen	Isafe	Rilix	Isafe	Juphi	Forsythia	Rilix	Rilix	*end
Arlo	Jaerin	Stogan	Jaerin	Kegar	Freya	Stogan	Stogan	*end
Armand 	Javane	Stoken	Javane	Kesel	Gelsominia	Stoken	Stoken	*end
Arnie	Jeisa	Tadal	Jeisa	Kosto	Gillian	Tadal	Tadal	*end
Arnold	Jeuna	Tajos	Jeuna	Loric	Glynis	Tajos	Tajos	*end
Arthur	Jotha	Tanat	Jotha	Maje	Gwenda	Tanat	Tanat	*end
Aryeh	Kade	Tayrod	Kade	Maul	Hannah	Tayrod	Tayrod	*end
Ash	Kariad	Thrax	Kariad	Moven	Heather	Thrax	Thrax	*end
Ashton	Kariti	Triian	Kariti	Mylix	Heladia	Triian	Triian	*end
Austin	Kearia	Trimark	Kearia	Nahen	Hibernia	Trimark	Trimark	*end
Barett	Kieri	Vaune	Kieri	Navin	Hildereth	Vaune	Vaune	*end
Barney	Kira	Veron	Kira	Nelix	Idona	Veron	Veron	*end
Bart	Kiir	Waler	Kiir	Nichoisaiah	Imelda	Waler	Waler	*end
Beauregard	Kile	Waluke	Kile	Pago	Inocencia	Waluke	Waluke	*end
Ben	Krira	Wanic	Krira	Rahu	Isadora	Wanic	Wanic	*end
Benedict	Laueli	Zaje	Laueli	Rilix	Ivy	Zaje	Zaje	*end
Benito	Lauuna	*end	Lauuna	Stogan	Jacobina	*end	*end	*end
Benjamin	Leriedan		Leriedan	Stoken	Jacquline			*end
Bennett	Lewe		Lewe	Tadal	Jade			*end
Benny	Liabra		Liabra	Tajos	Jasmine			*end
Benoit	Lyra		Lyra	Tanat	Jennilee			*end
Bernadette	Maaly		Maaly	Tayrod	Justice			*end
Bernard	Mariline		Mariline	Thrax	Kaitlin			*end
Bert	Marinie		Marinie	Triian	Kassandra			*end
Bertrand	Maryli		Maryli	Trimark	Kayley			*end
Billy	Mina		Mina	Vaune	Kezia			*end
Bishop	Miraan		Miraan	Veron	Kynthia			*end
Blaine	Nicoire		Nicoire	Waler	Lainey			*end
Blake	Nicosi		Nicosi	Waluke	Lakeshia			*end
Blondeau	Niqueale		Niqueale	Wanic	Latanya			*end
Bo	Norene		Norene	Zaje	Liana			*end
Bob	Odethe		Odethe	*end	Lilith			*end
Bobby	Odeva		Odeva		Lorelie			*end
Bodo	Pherebe		Pherebe		Lysandra			*end
Boris	Rama		Rama		Maggie			*end
Brad	Rare		Rare		Mallcora			*end
Braden	Ratha		Ratha		Mercedes			*end
Bradford	Redrea		Redrea		Nedra			*end
Bradley	Riakari		Riakari		Nerys			*end
Brain	Riara		Riara		Nilsine			*end
Brandon	Rierina		Rierina		Odelia			*end
Brendon	Rija		Rija		Olesia			*end
Brent	Ronimira		Ronimira		Ophira			*end
Brett	Rore		Rore		Pacifica			*end
Bronwyn	Rulilian		Rulilian		Pandora			*end
Brook	Saemi		Saemi		Parthenia			*end
Bruce	Sanina		Sanina		Payne			*end
Bruno	Savale		Savale		Perfecta			*end
Bryce	Savasarah		Savasarah		Quirina			*end
Bud	Shene		Shene		Rachel			*end
Buford	Siealy		Siealy		Raign			*end
Burton	Sieemi		Sieemi		Raven			*end
Butch	Sija		Sija		Rook			*end
Byron	Suju		Suju		Rose			*end
Caao	Sumanu		Sumanu		Ruthina			*end
Cal	Syfe		Syfe		Sabrina			*end
Caleb	Syke		Syke		Sammantha			*end
Callo	Tayfra		Tayfra		Sapphire			*end
Calvin	Thaaly		Thaaly		Scarlet			*end
Cameron	Thade		Thade		Selby			*end
Carl	Uname		Uname		Sophia			*end
Carlo	Viaas		Viaas		Tabitha			*end
Carlos	Viain		Viain		Tamara			*end
Carter	Viarene		Viarene		Tanisha			*end
Cary	Wela		Wela		Tempest			*end
Casey	Xafra		Xafra		Tivian			*end
Cecil	Xasi		Xasi		Topaz			*end
Cedric	Yvedsey		Yvedsey		Ulminia			*end
Cesar	Yveral		Yveral		Ultima			*end
Chad	Yvomine		Yvomine		Ursula			*end
Charles	Yvoire		Yvoire		Valentia			*end
Charlie	Yvovia		Yvovia		Veronica			*end
Chester	Zoele		Zoele		Vivian			*end
Chet	*end		*end		Wanda			*end
Chip					Weslia			*end
Chris					Winona			*end
Christopher					Wysandra			*end
Chuck					Xylia			*end
Cian					Yessica			*end
Clarence					Zephyr			*end
Clark					*end			*end
Clay								*end
Clifford								*end
Clyde								*end
Cody								*end
Colin								*end
Connor								*end
Conrad								*end
Constantin								*end
Corbet								*end
Cord								*end
Corey								*end
Cornelius								*end
Cory								*end
Craig								*end
Cyrus								*end
Dal								*end
Dale								*end
Dallas								*end
Damien								*end
Dan								*end
Daniel								*end
Danny								*end
Dante								*end
Daron								*end
Dave								*end
Davey								*end
David								*end
Deane								*end
Del								*end
Dennis								*end
Denny								*end
Derek								*end
Desmond								*end
Devon								*end
Dieter								*end
Doc								*end
Dodridge								*end
Dolph								*end
Dominic								*end
Don								*end
Donald								*end
Douglas								*end
Drew								*end
Duke								*end
Duncan								*end
Dustin								*end
Dwane								*end
Dwight								*end
Dylan								*end
Earl								*end
Ed								*end
Eddie								*end
Edgar								*end
Edison								*end
Edmond								*end
Elijah								*end
Elliott								*end
Elton								*end
Emil								*end
Emmanuel								*end
Emmett								*end
Enoch								*end
Eric								*end
Ernest								*end
Ernie								*end
Errol								*end
Ervin								*end
Ethan								*end
Eugene								*end
Evan								*end
Fabian								*end
Farrell								*end
Felix								*end
Ferdinand								*end
Fletcher								*end
Floyd								*end
Forrest								*end
Francisco								*end
Frank								*end
Franklin								*end
Franz								*end
Fred								*end
Frederick								*end
Gabe								*end
Gabriel								*end
Gaetano								*end
Garett								*end
Gary 								*end
Ged								*end
Geoffrey								*end
George								*end
Gerald								*end
Gerry								*end
Gilbert								*end
Gilmore								*end
Gino								*end
Glenn								*end
Gonzalo								*end
Gordon								*end
Graham								*end
Grant								*end
Greg								*end
Gregory								*end
Grey								*end
Guillerno								*end
Gus								*end
Guy								*end
Hal								*end
Hampton								*end
Han								*end
