NPC Data (Special)			Group			Current	Profession	Greet	Join	Event	Event	Event	Event	Event	Event	
#	Name	Pic	A	B	C	2D Location	 1 - 76	#	Y / N	# A	# B	# C	# D	# E	# F	Notes
1	Brekish Onefang	1465	0	0	0	212	0	3	0	7	8	9	0	0	0	"(1) Lizardman Throne Room, Lizardman Leader pre Qbit 6 after, NPC 35"
2	Dadeross	1325	0	0	0	212	0	2	0	20	5	6	72	0	0	"(1) Lizardman Throne Room, Minotaur, Caravan Leader pre Qbit 6, cut after bit set becomes 36"
3	Elgar Fellmoon	1438	0	0	0	354	0	10	0	28	0	0	0	0	0	"(2) Merchanthouse, door"
4	Arion Hunter	1070	0	0	0	772	0	12	0	32	188	187	0	0	0	"(2) Smuggler's Cove, wererat smuggler leader"
5	Bastian Loudrin	1132	0	0	0	773	0	14	0	41	0	0	0	0	0	"(3) Merchant Guild, dark elf merchant one"
6	Alliane Frelsig	1133	0	0	0	0	0	0	0	0	0	0	0	0	0	Dark Elf Merchant Two
7	Overdune Snapfinger	1042	0	0	0	0	0	16	0	45	701	0	0	0	0	"(4) 2DLoc initially ""0"". Set to 177 in Event 42"
8	Aori Derrisai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"(3) Drk Elf Rch House, pc"
9	Sandro	1038	0	0	0	213	0	31	0	94	96	0	0	0	0	"(6) Necromancers' Guild ,w 180"
10	Thant	1223	0	0	0	213	0	0	0	158	0	0	0	0	0	"(6) Necromancers' Guild, w 180"
11	Dyson Leland	1058	0	0	0	754	0	0	0	97	98	99	0	0	0	"(6) Necromancers' Guild, pc w 181"
12	Icarus Dire	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"(6) Necromancer Rich House, pc"
13	Masul	1043	0	0	0	755	0	29	0	744	0	0	0	0	0	"(8) Minotaur Lair, (2) Merchant House of Alvar"
14	Helius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"(8) Minotaur Lair, pc"
15	Sir Charles Quixote	1089	0	0	0	753	0	21	0	63	56	58	57	0	0	"(5) Dragon Hunters' Camp, (2) Merchant House of Alvar"
16	Reginald Dorray	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(5) Dragon Hunters' Camp
17	Deftclaw Redreaver	1088	0	0	0	774	0	19	0	48	60	62	0	0	0	"(5) Dragon's Cave, (2) Merchant House of Alvar"
18	Zog the Jackal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(8) Barbarian Fortress
19	Xanthor	1106	0	0	0	0	0	45	0	152	0	0	0	0	0	(2) Rich Dark Elf House
20	Queen Catherine	1067	0	0	0	0	0	0	0	590	591	592	0	0	0	(2) Merchant House of Alvar
21	King Roland	1068	0	0	0	0	0	55	0	587	588	589	0	0	0	(2) Merchant House of Alvar
22	Escaton	1066	0	0	0	775	0	48	0	159	0	0	0	0	0	(14) Eschaton's Palace
23	Pyrannaste	1086	0	0	0	664	0	53	0	170	0	0	0	0	0	(14) Prison of the Lord of Fire
24	Acwalander	1085	0	0	0	662	0	51	0	168	0	0	0	0	0	(14) Prison of the Lord of Water
25	Gralkor the Cruel	1087	0	0	0	663	0	52	0	169	0	0	0	0	0	(14) Prison of the Lord of Earth
26	Shalwend	1090	0	0	0	661	0	50	0	167	0	0	0	0	0	(14) Prison of the Lord of Air
27	S'ton	1477	0	0	0	0	0	1	0	1	2	3	0	0	0	"(1) Outside, Lizardman Journeyman Merchant of Alvar"
28	Fredrick Talimere	1060	0	0	0	866	0	5	0	10	11	0	0	0	0	"(1) Cleric House, Cleric PC that joins party"
29	Rohtnax	1466	0	0	0	776	0	6	0	14	15	16	17	0	0	"(1) Peasant House, Find Brother Secondary Quest"
30	Pascella Tisk	1463	0	0	0	784	0	7	0	18	19	584	0	0	0	"(1) Peasant House, Prophecies of the Snake Secondary Quest"
31	Brekish Onefang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	STILL USED?
32	Dadeross	1325	0	0	0	0	0	0	0	0	0	0	0	0	0	"(3) Drk Elf Medium House, After Qbit 6 set"
33	Oskar Tyre	1156	0	0	0	214	0	37	0	102	0	0	0	0	0	(7) w 182 - door inside the Sun Temple
34	Guard	1213	0	0	0	0	0	107	0	0	0	0	0	0	0	Necromancer Guard
35	Guard	1039	0	0	0	0	0	108	0	0	0	0	0	0	0	Dragon Guard
36	Guard	1302	0	0	0	0	0	109	0	0	0	0	0	0	0	Dragon Hunter Guard
37	Guard	1167	0	0	0	0	0	110	0	0	0	0	0	0	0	Wererat Guard
38	Jeric Whistlebone	1302	0	0	0	0	0	111	0	0	0	0	0	0	0	Placemon in dh camp area 5
39	Relburn Jeebes	1440	0	0	0	526	0	0	0	22	23	733	0	0	0	(3) Dark Elf Promotion Quest
40	Elgar Fellmoon	1438	0	0	0	751	0	24	0	104	105	731	0	0	0	"(2) Merchanthouse, Council Chamber"
41	Dantillion 	1158	0	0	0	613	0	104	0	27	0	0	0	0	0	(8) Cleric of the Sun
42	Cauri Blackthorne	1389	0	0	0	0	0	0	0	24	25	0	0	0	0	"(8) Dark Elf Hero, Promotion Quest"
43	Volog Sandwind	1041	0	0	0	561	0	0	0	35	36	37	0	0	0	(4)Troll Promo
44	Sahil Ittalle	1441	0	0	0	528	0	54	0	581	582	583	0	0	0	(3) Guy who talks about alliance promo
45	Guard	1262	0	0	0	0	0	13	0	0	0	0	0	0	0	(6) Guard in Necromancers' Guild
46	Dark Elf Pilgrim	1438	0	0	0	0	0	105	0	0	0	0	0	0	0	(7) Statues in Area 7 for Dark Elf Promo
47	Farhill Snapfinger	1365	0	0	0	0	0	17	0	0	0	0	0	0	0	"(4) 2D Loc set in event 42, Event 47 set in event 46 "
48	Zanthora	1240	0	0	0	0	0	0	0	0	0	0	0	0	0	"(6) Mad Necromancer's Lair, Mad Necromancer"
49	Leane Stormlance	1295	0	0	0	538	0	0	0	52	0	51	0	0	0	"(5) House at Dragon Hunter fort, Knight Promo Start"
50	Dervish Chevron	1058	0	0	0	908	0	0	0	50	659	0	0	0	0	"(2) Cleric, Rescue Blazen Stormlance Secondary Quest"
51	Garret Deverro	1301	0	0	0	0	0	0	0	735	0	0	0	0	0	(5) Quixote's Chamber (179) after Quixote goes to w 175
52	Sir Charles Quixote	1089	0	0	0	0	0	23	0	0	0	58	0	0	0	"(2) Merchanthouse, Council Chamber"
53	Deftclaw Redreaver	1088	0	0	0	0	0	25	0	123	60	62	0	0	0	"(2) Merchanthouse, Council Chamber"
54	Oskar Tyre	1156	0	0	0	0	0	26	0	130	0	0	0	0	0	"(2) Merchanthouse, Council Chamber"
55	Masul	1043	0	0	0	0	0	27	0	137	0	0	0	0	0	"(2) Merchanthouse, Council Chamber"
56	Sandro	1038	0	0	0	0	0	28	0	144	0	0	0	0	0	"(2) Merchanthouse, Council Chamber"
57	Thanys	1044	0	0	0	624	0	30	0	66	172	0	0	0	0	"(8) Minotaur Lair, house near entrance"
58	Tessalar	1340	0	0	0	640	0	0	0	69	70	0	0	0	0	"(8) Minotaur Lair, house near entrance, Promo dude"
59	Stephen	1064	0	0	0	612	0	0	0	80	0	78	76	77	0	(2) Cleric Promo dude
60	Cleric of the Sun	1153	0	0	0	0	0	0	0	0	0	0	0	0	0	(7) Cleric in the foyer of the Temple of the Sun
61	Vetrinus Taleshire	1038	0	0	0	577	0	0	0	86	0	0	0	0	0	(2) Necro Promo dude
62	Lathean	1226	0	0	0	582	0	0	0	82	83	738	0	0	0	(6) Vampire Promo Dude
63	Thant	1223	0	0	0	0	0	0	0	0	0	0	0	0	0	"(6) Thant after Sandro leaves, placed here leaving N guild after alliance formed"
64	Derrin Delver	1164	0	0	0	0	0	44	0	151	0	0	0	0	0	(2) Rich Dark Elf House place w276 after fleet sunk
65	Aislen	1473	0	0	0	879	0	0	0	174	0	0	0	0	0	(1)Begin Jungle Fever Secondary Quest
66	Languid	1477	0	0	0	798	0	0	0	177	585	0	0	0	0	(1) Poisoned Water Supply Secondary Quest
67	Hobb Sandwind	1375	0	0	0	561	0	0	0	734	0	0	0	0	0	(4)Secondary Troll promo dude
68	Thistle	1479	0	0	0	804	0	0	0	179	180	181	0	0	0	(1) Potion of Pure Speed Secondary Quest
69	Hiss	1481	0	0	0	761	0	0	0	182	0	586	0	0	0	(1) Idol of the Snake Secondary Quest
70	Isthric the Tongue	1469	0	0	0	823	0	0	0	296	190	584	0	0	0	(1) Brother of Rohtnax
71	Maddigan the Tracker	1400	0	0	0	906	0	0	0	184	185	0	0	0	0	(2) Kill Dire Wolves and Cash for Pelts Secondary Quests
72	Wilburt	1370	0	0	0	508	0	0	0	190	671	0	0	0	0	(2) Hint About Location of Anointed Potion
73	Lathius	1161	0	0	0	894	0	0	0	193	0	0	0	0	0	(2) Recover Shield Eclipse for Cleric Secondary Quest
74	Rihansi	1387	0	0	0	547	0	0	0	201	202	203	0	0	0	(3) Potion of Pure Luck Secondary Quest
75	Reaver	1313	0	0	0	890	0	0	0	191	192	0	0	0	0	(2) Pays for Naga Hides
76	Keldon	1431	0	0	0	549	0	0	0	198	199	0	0	0	0	(3) Kill All Ogres Secondary Quest and Pays bounty on Ogre Ears
77	Galvinus	1154	0	0	0	623	0	0	0	244	245	246	0	0	0	(8) Potion of Pure Accuracy Secondary Quest
78	Talion	1374	0	0	0	555	0	0	0	210	211	0	0	0	0	(4) Potion of Pure Endurance Secondary Quest
79	Veldon	1451	0	0	0	550	0	0	0	204	205	0	0	0	0	(3) Pays for Wasp Stingers
80	Dirthic	1478	0	0	0	852	0	0	0	294	585	0	0	0	0	(1) CureJungle Fever Secondary Quest
81	Husk	1480	0	0	0	860	0	0	0	295	586	0	0	0	0	(1) CureJungle Fever Secondary Quest
82	Hobert	1372	0	0	0	557	0	0	0	575	669	0	0	0	0	(4) Fire Resistance Potion Secondary Quest
83	Kelvin	1269	0	0	0	596	0	0	0	232	233	234	0	0	0	(6) Potion of Pure Intellect Secondary Quest
84	Pole	1373	0	0	0	559	0	0	0	206	207	0	0	0	0	(4) Begin Deliver Fire Resistance Potions Secondary Quest
85	Xevius	1347	0	0	0	619	0	0	0	242	243	0	0	0	0	(8) Buys Wyvern Horns
