Q Bit	Quest Note Text	Notes	Owner
1		Activate Area 1 teleporters 3 and 4.	Riki
2		Activate Area 1 teleporters 5 and 6.	Riki
3	Deliver Dadeross' Letter to Elgar Fellmoon at the Merchant House in Ravenshore.	Given by Dadeross in Dagger Wound. Taken by Fellmoon in Ravenshore.	TomO
4		Letter from Q Bit 3 delivered.	TomO
5	Kill the leader of the Regnan Pirate outpost at Dagger Wound.	Given by the alliance council at Ravenshore along with quest 31. Starts Pirate Timer.	TomO
6		Pirate Leader in Dagger Wound Pirate Outpost killed (quest given at Q Bit 5). Ends pirate/lizardman war on Dagger Wound. Shuts off pirate timer.	TomO
7	Bring Brekish Onefang's portal crystal to Fredrick Talimere.	Brekish Onefang asks player to bring a power crystal to Fredrick Talimere	TomO
8		Fredrick Talimere visited by player with crystal in their possesion.	TomO
9	"Deliver Fellmoon's blackmail letter to Arion Hunter, leader of the wererat smugglers. Report back to Fellmoon."	"Given and taken by Elgar Fellmoon (w503, area 2)."	TomO
10		Letter from Q Bit 9 delivered.	TomO
11	"Report to Bastian Loudrin, the merchant guildmaster in Alvar."	"Given By Elgar Fellmoon (w503, area 2). Taken by Bastian Loudrin (area 3)."	TomO
12		Quest 11 is done.	TomO
13	Form an alliance among the major factions of Jadame.	Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Checked as each alliance is formed. Taken when three are formed. 	TomO
14	Form an alliance with the Necromancers' Guild in Shadowspire.	Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken by Sandro (area 6) or when quest 15 is done.	TomO
15	Form an alliance with the Temple of the Sun in Murmurwoods.	"Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken by Oskar Tyre (area 7), or when quest 27 is done."	TomO
16	Form an alliance with the Dragon hunters of Garrote Gorge.	Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken when Dragon Egg (item 605) delivered to Charles Quixote or dragon leader.	TomO
17	Form an alliance with the Dragons of Garrote Gorge.	Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken when Dragon Egg (item 605) delivered to Charles Quixote or dragon leader.	TomO
18	Form an alliance with the Minotaurs of Ravage Roaming.	Given by Bastian Lourdrin (area 3). Activates Merchanthouse in Alvar. Taken when minotaurs rescued.	TomO
19		Allied with Necromancers Guild. Steal Nightshade Brazier done.	TomO
20		Allied with Temple of the Sun. Destroy the Skeleton Transformer done.	TomO
21		Allied with Charles Quioxte's Dragon Hunters. Return Dragon Egg to Quixote done.	TomO
22		Allied with Dragons. Return Dragon Egg to Dragons done.	TomO
23		Allied with Minotaurs. Rescue the Minotaurs done.	TomO
24		Received Reward from Elgar Fellmoon for completing quest 9.	TomO
25	Find a witness to the lake of fire's formation. Bring him back to the merchant guild in Alvar.	Given and taken by Bastian Lourdrin (area 3).	TomO
26	Find the skeleton transformer in the Shadowspire Necromancers' Guild. Destroy it and return to Oskar Tyre.	Given and taken by Oskar Tyre (area 7). Taken when Qbit 29 set.	TomO
27		Skeleton Transformer Destroyed.	TomO
28	"Bring the Nightshade Brazier to the Necromancers' Guild leader, Sandro. The Brazier is in the Temple of the Sun."	Given and taken by Sandro (area 6). Taken when Qbit 27 set.	TomO
29		Nightshade Brazier Stolen.	TomO
30	Rescue the Minotaurs trapped in their lair in Ravage Roaming.	Given by MINOTAUR CLUE GUY (area 8). Turned off when minotaur leader is reached in Minotaur lair dungeon.	TomO
31	Recover the Dragon Egg from Zog's fortress in Ravage Roaming and return it to Charles Quixote in Garrote Gorge.	Given and taken by Quixote (area 5)	TomO
32		Quest 31 is done.	TomO
33	"Find the Dragon Egg and return it to the dragon leader, Deftclaw Redreaver."	Given and taken by DRAGON LEADER (area 5)	TomO
34		Alliance Council formed. Quest 13 done.	TomO
35		Quest 33 is done.	TomO
36	Sink the Regnan Fleet. Return to the Ravenshore council chamber.	Given and taken at Ravenshore council chamber. 	TomO
37		Regnan Pirate Fleet is sunk.	TomO
38		Quest 36 is done.	TomO
39	Find Cauri Blackthorne then return to Dantillion in Murmurwoods with information of her location.	Dark Elf Promotion to Patriarch	James
40		Found and Rescued Cauri Blackthorne	James
41	Bring the Heart of Water from the Plane of Water to Xanthor.	Given by XANTHOR. Taken when 41-44 done simultaneously.	TomO
42	Bring the Heart of Air from the Plane of Air to Xanthor.	Given by XANTHOR. Taken when 41-44 done simultaneously.	TomO
43	Bring the Heart of Earth from the Plane of Earth to Xanthor.	Given by XANTHOR. Taken when 41-44 done simultaneously.	TomO
44	Bring the Heart of Fire from the Plane of Fire to Xanthor.	Given by XANTHOR. Taken when 41-44 done simultaneously.	TomO
45		Quests 41-44 done. Items from 41-44 given to XANTHOR.	TomO
46	Find the cause of the cataclysm through the Crystal Gateway.	Given by XANTHOR. Taken by Eschaton.	TomO
47		Quest 46 done. Used to allow entrance to elemental lord prisons. Now player needs item 629.	TomO
48	"Rescue Pyrannaste, Lord of Fire."	Given by Eschaton. Taken by rescue of Pyrannaste.	TomO
49		Quest 48 done.	TomO
50	"Rescue Gralkor the Cruel, Lord of Earth."	Given by Eschaton. Taken by rescue of Gralkor.	TomO
51		Quest 50 done.	TomO
52	"Rescue Acwalander, Lord of Water."	Given by Eschaton. Taken by rescue of Acwalander.	TomO
53		Quest 52 done.	TomO
54	"Rescue Shalwend, Lord of Air."	Given by Eschaton. Taken by rescue of Shalwend.	TomO
55		Quest 54 done.	TomO
56		"All Lords from quests 48, 50, 52, 54 rescued."	TomO
57		The Pirates invaded Ravenshore	TomO
58		The Pirates that invaded Ravenshore are all dead now )	TomO
59		Returned to the Merchant guild in Alvar with overdune. Quest 25 done.	TomO
60		Party visits Ironsand After QuestBit 25 set.	TomO
61	Put Vilebite's ashes in the Dust village tomb then return to Overdune.	"Given and taken by Overdune, NPC 7, w177. "	TomO
62		Vilebites Ashes (item603) placed in troll tomb.	TomO
63		Quest 61 done.	TomO
64		On the rescue the wererats quest	TomO
65		Finished the Rescue the wererats quest	TomO
66		On the Quest to kill the Ogres in the Ogre Fort	TomO
67		I have killed all the oges in the ogre fort	TomO
68	Find the Ancient Troll Homeland and return to Volog Sandwind in the Ironsand Desert.	Given By ? In area 4	James
69		Ancient Troll Homeland Found	James
70	Find Blazen Stormlance and recover the spear Ebonest. Return to Leane Stormlance in Garrote Gorge and deliver Ebonest to Charles Quixote.		James
71		Found Blazen Stormlance and recovered Ebonest	James
72	Inquire about a cure for Blazen Stormlance from Dervish Chevron in Ravenshore.		James
73		Received Cure for Blazen Stormlance	James
74	Kill all Dragon Slayers and return the Sword of Whistlebone the Slayer to Deftclaw Redreaver in Garrote Gorge.	 	James
75		Killed all Dragon Slayers in southwest encampment in Area 5	James
76	"Find the Axe of Balthazar, in the Dark Dwarf Mines.  Have the Axe authenticated by Dadeross.  Return the axe to Tessalar, heir to the leadership of the Minotaur Herd."	 	James
77		Found the Axe of Balthazar.	James
78	"Find the Prophecies of the Sun in the Abandoned Temple and take them to Stephen."		James
79		Found the Prophecies of the Sun in the Abandoned Temple and returned them to the Temple of the Sun	James
80	Find the Sarcophagus of Korbu and Korbu's Remains and return them to Lathean in Shadowspire.	 	James
81		Found the Sarcophagus of Korbu	James
82	Find the Lost Book of Khel and return it to Vertrinus in Shadowspire.		James
83		Found the Lost Book of Khel	James
84		Cauri Blackthorne restored	James
85	"Find Dadeross, the Minotaur in charge of your merchant caravan. When you saw him last, he was going to talk to the village clan leader."	"Given at the start of the game, taken by dadeross when he gives you the deliver letter quest."	
86		"Rite's of Purity have begun, Mino promo complete"	James
87		0	0
88		Prophecies of the Sun deliverd to the Temple of the Sun	James
89		Dyson Leland talks to you about the Necromancers. For global event 97-100.	TomO
90		Dyson Leland talks to you about the Temple of the Sun. For Global event 97-100.	TomO
91	"Consult the Ironfists' court sage, Xanthor about the Ravenshore crystal."	"Given by NPC 53 (Fellmoon), taken by XANTHOR."	TomO
92		Quest 91 done.	TomO
93		"You have entered out02.odm, this is your new starting place"	TomO
94		"Escaton, riddle one answered correctly."	TomO
95		"Escaton, riddle two answered correctly."	TomO
96		"Escaton, riddle three answered correctly."	TomO
97		"Escaton, all riddles answered correctly."	TomO
98		"Escaton, heard the first message in global event 163"	TomO
99		Masul gave party food.	TomO
100		Arcomage Champion for bob	James
101	Deliver Cure Disease Scrolls to the six huts on the outer Dagger Wound Islands.  Return to Aislen on Dagger Wound Island.		James
102		Delivered cure to hut 1	James
103		Delivered cure to hut 2	James
104		Delivered cure to hut 3	James
105		Delivered cure to hut 4	James
106		Delivered cure to hut 5	James
107		Delivered cure to hut 6	James
108		Yellow Fever epidemic cured!	James
109	Find and return an Anointed Potion to Languid in the Dagger Wound Islands.		James
110		Poison removed from water supply!	James
111	Bring Hiss on the Dagger Wound Islands the Idol of the Snake from the Abandoned Temple.	 	James
112		Found Idol of the Snake	James
113	Bring Thistle on the Dagger Wound Islands the basic ingredients for a potion of Pure Speed.		James
114		returned ingredients for a potion of Pure Speed	James
115	Bring Rihansi in Alvar the basic ingredients for a potion of Pure Luck.		James
116		returned ingredients for a potion of Pure Luck	James
117	Deliver fake report to the Dread Pirate Stanley in the Pirate's Rest Tavern on the Island of Regna.	 	James
118		Delivered false report to Stanley	James
119	Rescue Arion Hunter's daughter from Ogre Fortress in Alvar.	 	James
120		Rescued Smuggler Leader's Familly 	James
121	Bring Talion in the Ironsand Desert the basic ingredients for a potion of Pure Endurance.		James
122		returned ingredients for a potion of Pure Endurance	James
123	Bring Kelvin in Shadowspire the basic ingredients for a potion of Pure Intellect.		James
124		returned ingredients for a potion of Pure Intellect	James
125	Bring Castigeir in Murmurwoods the basic ingredients for a potion of Pure Personality.		James
126		returned ingredients for a potion of Pure Personallity	James
127	"Recover the shield, Eclipse, for Lathius in Ravenshore."	 	James
128		"Recovered the the Shield, Eclipse for Lathius"	James
129	Kill all Ogres in the Alvar canyon area and in Ogre Fortress and return to Keldon in Alvar.	 	James
130		Killed all Ogres in Alvar canyon area and in Ogre Fortress	James
131		Ogre Questbit set for Riki	Riki
132	Bring Galvinus in Ravage Roaming the basic ingredients for a potion of Pure Accuracy.		James
133		returned ingredients for a potion of Pure Accuracy	James
134		Gave Gem of Restoration to Blazen Stormlance	James
135	Find the Prophecies of the Snake for Pascella Tisk.	 	James
136		Found Prophiecies of the Snake	James
137	"Find Isthric the Tongue, brother of Rohtnax.  Return to Rohtnax in the village of Blood Drop on Dagger Wound Island."	 	 James
138		Found Isthric the Tongue	James
139	Kill all Dire Wolves in Ravenshore. Return to Maddigan in Ravenshore.	 	James
