Id	Name	NotIdentifiedName 	Notes
1	Longsword	Longsword	"Produced in great numbers, these slightly overbalanced swords are the arms of militiamen across the land."
2	Trollish War Sword	Longsword	"Though of primitive craftsmanship, the great weight of this weapon's blade gives it excellent striking power."
3	Dark Elven Longsword	Longsword	The weapon of a merchantman from the Dark Elven city of Alvar. It's wavy edged blade holds a good edge.
4	Templar's Sword	Longsword	A sword for a true swordsman. Its lack of ornamentation bespeaks of the singular purpose of its design.
5	Champion's Sword	Longsword	"These are made exclusively for members of the Erathian Order of the Blade. Since by tradition they are buried with their fallen wielders on hallowed and guarded grounds, they are rare articles indeed."
6	Two-Handed Sword	Two-Handed Sword	"This blade's great weight and length give its blows greater reach and damage. Otherwise, it is unexceptional in quality."
7	Dark Elven Bastard Sword	Two-Handed Sword	"Often carried by Elven caravan guards, these slightly under-proportioned blades are nearly, but not quite, light enough to brandish single-handedly."
8	Minotaur Battlesword	Two-Handed Sword	Only those possessed of great strength and balance can gracefully swing these mighty blades let alone control them in the heat of combat.
9	Dragonning Blade	Two-Handed Sword	"A deep biting, perfectly balanced weapon designed for one purpose - the slaying of dragons."
10	Headsman's Reaver	Two-Handed Sword	"Crafted from purified erudine alloy and then tempered in a pool of roiling lava, this sword's practically undullable and perfectly balanced blade backs up its intimidating appearance."
11	Iron Broadsword	Broadsword	Some swordsmen swear that the soft metal of an iron sword gives them certain combat advantages. Those swordsmen never seem to be very old.
12	Trollish Claymore	Broadsword	"Though of primitive design and craftsmanship, these Troll forged weapons are effective in strong hands."
13	Lizardman Broadsword	Broadsword	The Lizardmen produce a weapon capable of giving sturdy service.
14	Knightly Broadsword	Broadsword	The weight of this sword's untapered blade would make it unwieldy if not for its exacting counterbalance.
15	Archangel Broadsword	Broadsword	"This blade of pure erudine steel can cut armor like butter and gleams with a starlight glow. There are finer swords available, but their numbers can be counted on a single hand."
16	Rusty Cutlass	Cutlass	"This weapon may once have been of some quality, though it would be hard to tell through the apparent years of corrosion."
17	Goblin Scimitar	Cutlass	"After the Gowdar Deep Goblins were wiped off the face of Jadame in the Goblin-Ogre Wars, thousands of these weapons appeared on the common market."
18	Regnan Cutlass	Cutlass	"Issued to Regnan seamen as a basic side arm, these blades have gained a sturdy reputation."
19	Regnan Falchion	Cutlass	"The extremely forward balance of this weapon's blade gives it extra striking power, but requires great strength and skill from its wielder."
20	Captain's Cutlass	Cutlass	"Given to Regnan captains upon gaining their first command, these superior weapons help them to dominate their foes and subordinate."
21	Crude Dagger	Dagger	"As much a cutting tool and eating implement as a weapon, this dagger of soft steel will take an edge, but will lose it through very little use."
