Table (of Game struct)	Id	Field	New text
MonstersTxt	1	Name	Lizardman Peasant
MonstersTxt	2	Name	Lizardman Farmer
MonstersTxt	3	Name	Lizardman Villager
MonstersTxt	4	Name	Lizardman Soldier
MonstersTxt	5	Name	Lizardman Sergeant
MonstersTxt	6	Name	Lizardman Captain
MonstersTxt	7	Name	Young Couatl
MonstersTxt	8	Name	Couatl
MonstersTxt	9	Name	Winged Serpent
MonstersTxt	10	Name	Regnan Bandit
MonstersTxt	11	Name	Regnan Pirate
MonstersTxt	12	Name	Regnan Brigadier
MonstersTxt	13	Name	Regnan Crossbowman
MonstersTxt	14	Name	Regnan Arbalester
MonstersTxt	15	Name	Regnan Lieutenant
MonstersTxt	16	Name	Regnan Sorcerer
MonstersTxt	17	Name	Regnan Battlemage
MonstersTxt	18	Name	Regnan Archmage
MonstersTxt	19	Name	Dark Elf Peasant
MonstersTxt	20	Name	Dark Elf Peasant
MonstersTxt	21	Name	Dark Elf Peasant
MonstersTxt	22	Name	Dark Elf Peasant
MonstersTxt	23	Name	Dark Elf Peasant
MonstersTxt	24	Name	Dark Elf Peasant
MonstersTxt	25	Name	Dark Elven Warrior
MonstersTxt	26	Name	Dark Elven Defender
MonstersTxt	27	Name	Dark Elven Crusader
MonstersTxt	28	Name	Ogre Peasant
MonstersTxt	29	Name	Ogre Peasant
MonstersTxt	30	Name	Ogre Peasant
MonstersTxt	31	Name	Ogre Brawler
MonstersTxt	32	Name	Ogre Warrior
MonstersTxt	33	Name	Ogre Warleader
MonstersTxt	34	Name	Animalist
MonstersTxt	35	Name	Shapeshifter
MonstersTxt	36	Name	Lycanthrope
MonstersTxt	37	Name	Ratman
MonstersTxt	38	Name	Wererat
MonstersTxt	39	Name	Greater Wererat
MonstersTxt	40	Name	Bestial Animalist
MonstersTxt	41	Name	Bestial Shapeshifter
MonstersTxt	42	Name	Bestial Lycanthrope
MonstersTxt	43	Name	Dragon Hunter
MonstersTxt	44	Name	Crusader
MonstersTxt	45	Name	Dragonslayer
MonstersTxt	46	Name	Acolyte of the Sun
MonstersTxt	47	Name	Cleric of the Sun
MonstersTxt	48	Name	Priest of the Sun
MonstersTxt	49	Name	Peasant
MonstersTxt	50	Name	Peasant
MonstersTxt	51	Name	Peasant
MonstersTxt	52	Name	Vampire Minion
MonstersTxt	53	Name	Vampire
MonstersTxt	54	Name	Greater Vampire
MonstersTxt	55	Name	Dark Path Journeyman
MonstersTxt	56	Name	Necromancer
MonstersTxt	57	Name	Master Necromancer
MonstersTxt	58	Name	Troll Clubman
MonstersTxt	59	Name	Troll Warrior
MonstersTxt	60	Name	Troll Chieftain
MonstersTxt	61	Name	Troll Peasant
MonstersTxt	62	Name	Troll Peasant
MonstersTxt	63	Name	Troll Peasant
MonstersTxt	64	Name	Minotaur Guard
MonstersTxt	65	Name	Minotaur Warrior
MonstersTxt	66	Name	Minotaur Battleleader
MonstersTxt	67	Name	Minotaur Peasant
MonstersTxt	68	Name	Minotaur Peasant
MonstersTxt	69	Name	Minotaur Peasant
MonstersTxt	70	Name	Dragon
MonstersTxt	71	Name	Dragon Flightleader
MonstersTxt	72	Name	Great Wyrm
MonstersTxt	73	Name	Lesser Fire Elemental
MonstersTxt	74	Name	Fire Elemental
MonstersTxt	75	Name	Greater Fire Elemental
MonstersTxt	76	Name	Lesser Water Elemental
MonstersTxt	77	Name	Water Elemental
MonstersTxt	78	Name	Greater Water Elemental
MonstersTxt	79	Name	Lesser Earth Elemental
MonstersTxt	80	Name	Earth Elemental
MonstersTxt	81	Name	Greater Earth Elemental
MonstersTxt	82	Name	Lesser Air Elemental
MonstersTxt	83	Name	Air Elemental
MonstersTxt	84	Name	Greater Air Elemental
MonstersTxt	85	Name	Dire Wolf Yearling
MonstersTxt	86	Name	Dire Wolf
MonstersTxt	87	Name	Pack Leader
MonstersTxt	88	Name	Young Basilisk
MonstersTxt	89	Name	Basilisk
MonstersTxt	90	Name	Elder Basilisk
MonstersTxt	91	Name	Cyclops
MonstersTxt	92	Name	Cyclops Hunter
MonstersTxt	93	Name	Cyclops Warrior
MonstersTxt	94	Name	Serpentman
MonstersTxt	95	Name	Serpentman Elder
MonstersTxt	96	Name	Serpentman Warrior
MonstersTxt	97	Name	Dancing Light
MonstersTxt	98	Name	Wisp 
MonstersTxt	99	Name	Will O' Wisp
MonstersTxt	100	Name	Centaur
