	Map Stats			First					x5	D20's		Random Encounter																					
			Reset	Visit	Per	Refil	Alert	Steal	Lock	Trap	Tres	Enc	M1	M2	M3			Dif	Appear			Dif	Appear			Dif	Appear	Redbook					
#	Name	File name	#	Day	0-20	Days	Days	Perm	0-20	0-10	0-6	%	%	%	%	Mon1 Pic	Mon 1	 1-5	#	Mon2 Pic	Mon 2	 1-5	#	Mon3 Pic	Mon 3	 1-5	#	Track	EAX Environments	Map Designer	Notes	in area	
1	Dagger Wound Island	out01.odm	0	0	0	672	0	1	0	0	0	10	0	100	0	Lizardmen Warrior	Lizardmen Warrior	1	 2-5	Wimpy Pirate Warrior Male	Wimpy Pirate Warrior Male	1	 1-3	Couatl (winged snake)	Couatl (winged snake)	1	 1-3	4	FOREST	100			x
2	Ravenshore	out02.odm	0	0	1	672	0	2	1	1	1	10	0	50	50	Human Mercenary	Human Mercenary	3	 2-5	Centaur	Centaur	1	 1-3	Dire Wolf	Dire Wolf	1	 1-3	9	PLAINS	2			x
3	Alvar	out03.odm	0	0	2	672	0	5	2	1	1	10	0	50	50	Dark Elf Warrior	Dark Elf Warrior	2	 1-3	Ogre Warrior	Ogre Warrior	1	 1-3	Wasp Warrior	Wasp Warrior	1	 1-3	3	PLAINS	3			-
4	Ironsand Desert	out04.odm	0	0	3	336	0	3	3	2	2	10	50	0	50	Gog	Gog	1	 1-3	Troll	Troll	2	 1-3	Cyclops	Cyclops	2	 1-3	6	FOREST	0			-
5	Garrote Gorge	out05.odm	0	0	3	336	0	5	3	2	2	10	100	0	0	Naga	Naga	3	 2-5	Wimpy Dragon	Wimpy Dragon	2	 1-3	Dragon Hunter	Dragon Hunter	3	 1-3	6	MOUNTAIN	0			-
6	Shadowspire	out06.odm	0	0	4	336	0	7	4	2	2	10	50	0	50	Vampire (monster)	Vampire (monster)	2	 1-3	Skeletons Archer	Skeletons Archer	2	 1-3	Bone Dragon	Bone Dragon	1	 1-3	11	MOUNTAIN	0			-
7	Murmurwoods	out07.odm	0	0	4	336	0	3	4	2	3	10	60	20	20	Will ' O Wisp	Will ' O Wisp	3	 1-3	Thunder Lizard	Thunder Lizard	3	 1-3	Unicorn	Unicorn	3	 1-3	13	CITY	0			-
8	Ravage Roaming	out08.odm	0	0	4	336	0	4	4	2	3	10	30	30	40	Wyvern	Wyvern	3	 1-3	Gorgon	Gorgon	3	 1-3	Ogre Warrior	Ogre Warrior	3	 1-3	6	CAVE	0			-
9	Plane of Air	elema.odm	0	0	10	336	0	5	10	5	4	10	50	25	25	Air Elemental	Air Elemental	3	 1-3	Thunderbird	Thunderbird	3	 1-3	Raven Man	Raven Man	3	 1-3	9	PLAINS	0			-
10	Plane of Earth	eleme.blv	0	0	10	336	0	5	10	5	4	10	50	0	50	Earth Elemental	Earth Elemental	3	 1-3	Malevolent Boulder	Malevolent Boulder	3	 1-3	Juggernaut	Juggernaut	3	 1-3	3	MOUNTAIN	0			-
11	Plane of Fire	elemf.odm	0	0	10	336	0	5	10	5	4	10	50	25	25	Fire Elemental	Fire Elemental	3	 1-3	Efreeti	Efreeti	3	 1-3	Salamander	Salamander	3	 1-3	10	MOUNTAIN	0			-
12	Plane of Water	elemw.odm	0	0	10	336	0	5	10	5	4	10	50	25	25	Water Elemental	Water Elemental	3	 1-3	Triton	Triton	3	 1-3	Dragon Turtle	Dragon Turtle	3	 1-3	7	MOUNTAIN	0			-
13	Regna	out13.odm	0	0	10	672	0	10	10	5	4	10	34	33	33	Pirate Warrior Male	Pirate Warrior Male	3	 1-3	Pirate Crossbowman (Female)	Pirate Crossbowman (Female)	1	 1-3	Pirate Mage Male	Pirate Mage Male	3	 1-3	10	PLAINS	0			-
14	Plane Between Planes	pbp.odm	0	0	20	168	0	5	20	10	5	10	30	50	20	Ether Knight	Ether Knight	3	 1-3	Plane Guardian	Plane Guardian	3	 1-3	Nightmare	Nightmare	3	 1-3	15	FOREST	0			-
15	Tutorial	out15.odm	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	5	 1-3	0	0	1	 1-3	0	0	1	 1-3	2	UNDERWATER	0			-
16	Abandoned Temple	d05.blv	0	0	0	672	0	5	1	1	1	10	50	50	0	Serpentmen	Serpentmen	3	 1-3	Couatl (winged snake)	Couatl (winged snake)	3	 1-4	0	0	1	 1-3	3	CAVE	0			-
17	Pirate Outpost	d06.blv	0	0	1	672	0	5	4	2	1	10	34	33	33	Wimpy Pirate Mage Male	Wimpy Pirate Mage Male	3	 1-3	Pirate Warrior Male	Pirate Warrior Male	3	 1-3	Pirate Crossbowman (Female)	Pirate Crossbowman (Female)	1	 1-3	10	CAVE	0			-
18	Smuggler's Cove	d07.blv	0	0	4	168	0	5	3	2	2	10	33	33	34	Wererat Human Form Male	Wererat Human Form Male	1	 1-3	Wererat Ratman Form Male	Wererat Ratman Form Male	1	 1-3	Wererat Rat Form Male	Wererat Rat Form Male	1	 1-3	11	CAVE	0			-
19	Dire Wolf Den	d08.blv	0	0	2	168	0	5	4	2	2	10	100	0	0	Dire Wolf	Dire Wolf	2	 1-3	Wererat Ratman Form Male	Wererat Ratman Form Male	2	 1-4	0	0	2	 1-3	5	CAVE	0			-
20	Merchant House of Alvar	d09.blv	0	0	2	-1	0	5	0	0	3	0	100	0	0	Dark Elf Pesant Male	Dark Elf Pesant Male	1	 2-5	Dark Elf Pesant Female	Dark Elf Pesant Female	1	 2-5	0	0	1	 2-5	4	CAVE	0		1	x
21	Escaton's Crystal	d10.blv	0	0	20	672	0	5	20	10	5	10	50	50	0	Crystal Walker	Crystal Walker	5	 2-5	Crystal Dragon	Crystal Dragon	5	 2-5	0	0	1	 2-5	2	STONEROOM	0		2	x
22	Wasp Nest	d11.blv	0	0	4	168	0	5	6	3	2	10	100	0	0	Wasp Warrior	Wasp Warrior	2	 1-3	0	0	1	 1-3	0	0	1	 1-3	12	CAVE	0		2	x
23	Ogre Fortress	d12.blv	0	0	4	672	0	5	5	3	2	10	50	10	40	Ogre Warrior	Ogre Warrior	3	 1-3	Human Mercenary	Human Mercenary	3	 2-5	Ogre Mage	Ogre Mage	3	 1-3	13	CAVE	0		3	-
24	Troll Tomb	d13.blv	0	0	5	672	0	5	4	3	3	10	100	0	0	Gog	Gog	3	 1-4	0	0	2	 1-3	0	0	3	 1-3	2	STONEROOM	0		3	x
25	Cyclops Larder	d14.blv	0	0	10	168	0	5	14	7	4	10	100	0	0	Cyclops	Cyclops	3	 1-3	Bedraggled Human (peasant)	Bedraggled Human (peasant)	2	 1-3	0	0	1	 1-3	4	CAVE	0		4	x
26	Chain of Fire	d15.blv	0	0	12	672	0	5	10	6	3	10	70	30	0	Gog	Gog	3	 1-3	Salamander	Salamander	5	 1-3	0	0	3	 1-3	7	CAVE	0		4	x
27	Dragon Hunter's Camp	d16.blv	0	0	10	168	0	5	8	5	3	10	100	0	0	Dragon Hunter	Dragon Hunter	4	 1-3	Human Mercenary	Human Mercenary	3	 1-3	0	0	4	 1-3	9	CAVE	0		5	-
28	Dragon Cave	d17.blv	0	0	10	168	0	5	15	8	5	10	100	0	0	Dragon	Dragon	3	 1-3	Wimpy Dragon	Wimpy Dragon	1	 1-3	0	0	1	 1-3	13	CAVE	0		5	-
29	Naga Vault	d18.blv	0	0	7	336	0	5	12	7	3	10	100	0	0	Naga	Naga	2	 1-4	Serpentmen	Serpentmen	3	 1-3	0	0	1	 1-3	2	CAVE	0		6	-
30	Necromancers' Guild	d19.blv	0	0	10	168	0	5	8	4	4	10	100	0	0	Necromancer (monster)	Necromancer (monster)	1	 1-3	Skeletons Archer	Skeletons Archer	3	 1-3	Vampire (monster)	Vampire (monster)	1	 1-3	11	CAVE	0		6	x
31	Mad Necromancer's Lab 	d20.blv	0	0	15	336	0	5	11	6	4	10	50	20	30	Necromancer (monster)	Necromancer (monster)	3	 1-3	Bone Dragon	Bone Dragon	3	 1-3	Skeletons Archer	Skeletons Archer	3	 1-3	15	CAVE	0		7	x
32	Vampire Crypt	d21.blv	0	0	15	336	0	5	9	4	3	10	100	0	0	Vampire (monster)	Vampire (monster)	3	 1-3	0	0	3	 1-3	0	0	5	 1-3	3	STONEROOM	0		7	x
33	Temple of the Sun	d22.blv	0	0	0	336	0	5	7	4	3	10	100	0	0	Cleric (human male)	Cleric (human male)	3	 1-3	0	0	3	 1-3	0	0	5	 1-3	13	CAVE	0		8	x
