2D#	Transition Description	Note
1	Vampire crypts are normally well hidden. That the Shadowspire vampires operate so openly is proof of their power in the region.	"Vampire Crypt, 32"
2	"A burial mound. Though obviously centuries old, the door's inlaid and gilded decorations are clean and untarnished. They must be preserved by magic."	"The Crypt of Korbu,37"
3	"When he passed away, Lord Brinne was mourned throughout the land. His tomb is a holy place visited by pilgrims and other well-wishers."	Tomb of Lord Brinnie 39
4	You find a passage leading downwards. Do you enter?	Passage Under Regna 44
5	The volcano has apparently pulled this ancient building from the bottom of the sea. Who were it's mysterious builders?	Uplifted Library 51
6	"The Alvarian Dark Dwarves are recent arrivals to the area. In a short time, however, they've built an extensive system of mines."	Dark Dwarf Compound 52
8	A large dragon obviously makes his residence in these caves.  The dead bodies near his home might have been adventurers seeking the dragon's treasure.	Dragon Cave (area 12)
9	The enormous size and lavish decoration of Lord Markham's Manor provide a striking contrast to the humble peasant homes and huts nearby.	Lord Markham's Manor
10	"From the looks of the trash and decaying garbage on the ground outside, many generations of bandits have used this cave to hide from the law."	Bandit Caves
11	"Once a stately mansion, this old house has long been abandoned by the original owners.  The current residents don't seem to keep the place up very well."	Haunted Mansion
12	"The entrance to this barrow is pleasing to the eye, yet at the same time forbidding.  The air is very quiet near the entrance."	Barrow
13	"The entrance to this barrow is pleasing to the eye, yet at the same time forbidding.  The air is very quiet near the entrance."	Barrow
14	"The entrance to this barrow is pleasing to the eye, yet at the same time forbidding.  The air is very quiet near the entrance."	Barrow
15	"The door is unlocked and unguarded from the outside.  The iron on the doorknob is rusting, and you can see a small hornet's nest in the corner above the door."	Tower
16	"A nasty odor wafts from the entrance of this cave, propelled by an unseen subterranean breeze.  It smells like decaying meat mixed with brimstone and…peppermint?  Whatever.  Looks dangerous."	Dragon Cave (area 13)
17	"The unassuming home of someone unimportant…or, at least someone who wishes to appear that way."	Small House (assassination)
18	This tomb must be the resting place of an eccentric recluse.  The tomb doesn't appear to have been disturbed in quite some time.	Hidden Tomb
22	A large dragon obviously makes his residence in these caves.  The undead near his home might have been adventurers seeking the dragon's treasure.	
23	The faint smell of brimstone and the sound of creatures talking in a strange language drift from the entrance of this cave.	
44	Placeholder Text	
45	Placeholder Text	
46	Placeholder Text	
48	Placeholder Text	
50	Placeholder Text	
148	"Regent Wilbur Humphrey, Foremost Paladin, and Prince Nicolai Ironfist, heir to the throne of Enroth, both reside in Castle Ironfist."	
152	"Lord Albert Newton, High Sorcerer of Enroth, resides in Castle Newton."	
154	"Lord Osric Temper, Foremost Knight, resides in Castle Temper."	
158	"Lord Anthony Stone, High Priest of Free Haven, resides in Castle Stone."	
160	"Lady Loretta Fleise, Chancellor of the Treasury, resides in Castle Fleise."	
164	"Lord Eric von Stromgard, Marquis of the Northern Marches, resides in Castle Stromgard."	
166	The Oracle has provided the rulers of Enroth with wisdom for as long as anyone can remember.	
177	Placeholder Text	
178	Placeholder Text	
179	Placeholder Text	
209	The Oracle has provided the rulers of Enroth with wisdom for as long as anyone can remember.	
217	Placeholder Text	Placeholder
218	Placeholder Text	Placeholder
219	Placeholder Text	Placeholder
220	Placeholder Text	Placeholder
221	Placeholder Text	
335	"Regent Wilbur Humphrey, Foremost Paladin, and Prince Nicolai Ironfist, heir to the throne of Enroth, both reside in Castle Ironfist."	
336	"Lord Albert Newton, High Sorcerer of Enroth, resides in Castle Newton."	
337	"Lord Osric Temper, Foremost Knight, resides in Castle Temper."	
338	"Lord Anthony Stone, High Priest of Free Haven, resides in Castle Stone."	
339	"Lady Loretta Fleise, Chancellor of the Treasury, resides in Castle Fleise."	
340	"Lord Eric von Stromgard, Marquis of the Northern Marches, resides in Castle Stromgard."	
341	The maelstrom energies of air magic hold together an egg of cloud mist. You can hear a faint but clearly angry howling coming from the strange structure.	Prison of the Lord of Earth
342	"Though the air temperature is quite warm, this pod of ice does not melt. The elemental power of water magic swirls about it, keeping it winter cold. "	Prison of the Lord of Fire
343	Forces of fire magic heat this cylinder of iron to red hot heat. The hiss of steam makes you wonder if the thing is full of boiling water.	Prison of the Lord of Water
344	"After you rescued them, the Minotaurs of Balthazar Lair built a new entrance to their city."	New Entrance to Balthazar Lair
345	"The back door to the mysterious abandoned temple built by the race which lived on Dagger Wound before the Lizardmen--it should be safe now, right?"	Backdoor to the Abandoned Temple
346	History holds that Lizardmen temples of this period were guarded by traps and not monsters. What then to make of the reptilian slithering receding into the darkness?	Abandoned Temple
347	You see no solid ground in the airy realm through this gateway. In the hazy distance you can see oddly shaped buildings that seem to float in the sky.	Gateway to the Plane of Air
348	Looking through the gateway is like peering through a window into an underwater canyon. Creatures of all sizes swim menacingly in the distance.	Gateway to the Plane of Water
349	The smell of freshly lumbered wood gives indication of this fort's recent construction. The large stacks of supplies show that the Regnan pirates are planning a lengthy stay.	Pirate Outpost
350	"Though the view is obscured by shimmering waves of heated air, through the gateway you perceive a hellish landscape of endless bridgeways spanning an ocean of lava."	Gateway to the Plane of Fire
351	"Even in the freeport of Ravenshore, some goods must avoid official eyes. Such usually pass through this secluded cove in the care of the wererat smugglers."	Smuggler's Cove
352	The gateway leads to an earthen tunnel which extends a few paces then tees off left and right. You can't say where the passages lead.	Gateway to the Plane of Earth
353	"By the number of wolf tracks marking the approach to this wolves' den, either the wolves are extremely active or hundreds of them live in these caves."	Dire Wolf Lair
