Class	介绍
Knight	剑客是战斗主打职业。剑客一开始的武器和防具选择就十分广泛，并且最终可以使用任何兵器，穿着任何盔甲，成为最强悍的勇士。游戏开始时他们的生命值最高，而且每次升职所获生命值也最多。剑客可以升职为豪侠（升职后每个等级提高两点生命值），最后升职为无所畏惧的勇士（升职后每个等级再提高两点生命值）。剑客无法学习魔法，而且既不需要也学不会冥想术。
Cavalier	豪侠由剑客升职而来。他们可以学得任何武器和盔甲，但无法学会魔法。他们每个等级享有两点额外的生命值。一旦再升职为勇士，每个等级可再加两点。
Champion	勇士是剑客可晋升的最高等级。他们可以学得任何武器和盔甲，但无法学会魔法。他们每个等级享有四点额外的生命值。
Cleric	牧师是喜爱冒险的魔法圣职人员。他们武艺平平但擅长施展魔法，特别是疗伤和防御魔法。而且他们和巫师一样能够走上光明和暗黑魔法“镜像之路”，施展极为强大的魔法。但不幸的是他们在兵器方面只限选择锤棍、棍棒或弓箭。在防具方面，除了钢甲以外都可穿着或使用。学习辅助技能则没有限制。经过不懈的努力和钻研，牧师可以升职为神父（升职后每个等级提高一点生命值和一点魔法值），并最终升职为大主教（升职后每个等级再提高一点生命值和一点魔法值）。
Priest	神父由牧师升职而来。他们可以修炼灵魂、心智、肢体、光明和暗黑魔法。但不幸的是他们在兵器方面只限选择锤棍、棍棒或弓箭。在防具方面，除了钢甲以外都可穿着或使用。学习辅助技能则没有限制。他们每个等级享有一点额外的生命值和魔法值。一旦再升职为大主教，每个等级可再加一点生命值和魔法值。
High Priest	大主教是牧师可晋升的最高等级。他们可以修炼灵魂、心智、肢体、光明和暗黑魔法。但不幸的是他们在兵器方面只限选择锤棍、棍棒或弓箭。在防具方面，除了钢甲以外都可穿着或使用。学习辅助技能则没有限制。他们每个等级享有两点额外的生命值和魔法值。
Sorcerer	巫师是元素魔法的研习者。他们致力于学习攻击性、实用性强的魔法。他们的武器技能实在拿不出手，只能学习匕首、棍棒或弓箭。除了皮甲，他们不能穿着其它任何盔甲，也不会用盾牌，而且他们的生命值在所有职业中也是最低的。幸好他们可以施展强大的攻击魔法，并走上光明和暗黑魔法“镜像之路”，研习天下最高境界的魔法。在勤奋努力之后，巫师可以升职为魔法师（升职后每个等级提高一点生命值和一点魔法值），并最终升职为大魔法师（升职后每个等级再提高一点生命值和一点魔法值）。
Wizard	魔法师由巫师升职而来。他们的武器技能实在拿不出手，只能学习匕首、棍棒或弓箭。除了皮甲，他们不能穿着使用其它任何盔甲或盾牌，巫师类职业的生命值在所有职业中也是最低的。幸好他们可以研习元素、光明和暗黑魔法。他们每个等级享有一点额外的生命值和魔法值。一旦再升职为大魔法师，每个等级可再加一点生命值和魔法值。
Arch Mage	大魔法师是巫师可晋升的最高等级。他们的武器技能实在拿不出手，只能学习匕首、棍棒或弓箭。除了皮甲，他们不能穿着使用其它任何盔甲或盾牌，巫师类职业的生命值在所有职业中也是最低的。幸好他们可以研习元素、光明和暗黑魔法。他们每个等级享有两点额外的生命值和魔法值。
Paladin	游侠介于剑客和牧师之间，能扮演这两类职业的角色，但精湛程度稍逊。像剑客一样，他们可以学习使用任何兵器和防具，但在开始时的选择稍少。一开始他们拥有灵魂魔法，并可研习心智和肢体魔法，但无法学习元素、光明和暗黑魔法。执着追求的游侠能够升职为十字军（升职后每个等级提高一点生命值和一点魔法值），并最终升职为大英雄（升职后每个等级再提高一点生命值和一点魔法值）。
Crusader	十字军由游侠升职而来。他们可以学习使用各种兵器和防具，并且能学习圣职类的灵魂、心智和肢体魔法。他们每个等级享有一点额外的生命值和魔法值。一旦再升职为大英雄，每个等级可再加一点生命值和魔法值。
Hero	大英雄是游侠可晋升的最高等级。他们可以学习使用各种兵器和防具，并且能学习圣职类的灵魂、心智和肢体魔法。他们每个等级享有两点额外的生命值和魔法值。
Archer	弓箭手介于剑客和巫师之间。他们可以学用任何种类的兵器（最擅长的当然是弓箭），但在防具技能之中，他们天生对钢甲和盾牌技能敬而远之。他们开始时拥有空气魔法，并最终可以精通所有的元素魔法，但对更强大的光明和暗黑魔法始终只能望洋兴叹。弓箭手可以升职为魔箭手（升职后每个等级提高一点生命值和一点魔法值），并最终升职为神箭手（升职后每个等级再提高一点生命值和一点魔法值）。
Battle Mage	魔箭手由弓箭手升职而来。他们可以学用任何种类的武器，防具技能之中他们学不会钢甲和盾牌。他们能修炼四种元素魔法。他们每个等级享有一点额外的生命值和魔法值。一旦再升职为神箭手，每个等级可再加一点生命值和魔法值。
Warrior Mage	神箭手是弓箭手可晋升的最高等级。他们可以学用任何种类的武器，防具技能之中他们学不会钢甲和盾牌。他们能修炼四种元素魔法。他们每个等级享有两点额外的生命值和魔法值。
Druid	僧侣介于巫师和牧师之间。他们战斗力很弱，生命值相对较低。好在他们可以学得巫师的四种元素魔法和牧师的三种圣职魔法，但学不会光明和暗黑魔法。他们能够使用的兵器仅限于棍棒、匕首和弓箭，防具则仅限于皮甲和盾牌。他们可以学得任何辅助技能。他们还有一项优势，就是在一开始就掌握了学习术。僧侣可以升职为祭司（升职后每个等级提高一点生命值和一点魔法值），并最终升职为大祭司（升职后每个等级再提高一点生命值和一点魔法值）。
Great Druid	祭司由僧侣升职而来。他们可以修炼巫师的四种元素魔法以及牧师的灵魂、心智和肢体魔法，但对光明和暗黑魔法只能望洋兴叹。他们能够使用的兵器仅限于棍棒、匕首和弓箭，防具则仅限于皮甲和盾牌。他们每个等级享有一点额外的生命值和魔法值。一旦再升职为大祭司，每个等级可再加一点生命值和魔法值。
Arch Druid	大祭司是僧侣可晋升的最高等级。他们可以修炼巫师的四种元素魔法以及牧师的灵魂、心智和肢体魔法，但对光明和暗黑魔法只能望洋兴叹。他们能够使用的兵器仅限于棍棒、匕首和弓箭，防具则仅限于皮甲和盾牌。他们每个等级享有两点额外的生命值和魔法值。
