Q Bit	实际任务记录	Notes	过去任务记录
1		" 1 D09, key to open D05"	" D09, 打开 D05的钥匙"
2		" 2 D11, given for glass shard for staff of terrax quest"	" D11, 玻璃碎片给予德里克丝任务中全体人员。"
3		" 3 D06, given when harp is recovered"	" D06,找到竖琴时给予。"
4		" 4 D10, given when you retreive artifact from chest"	" D10, 从箱子里拿回宝物时给予。"
5		" 5 D18, questbit for getting hourglass"	" D18, 拿到沙漏时给予。"
6		" 6 T3, given when you rescue prisoner"	" T3, 你救出牢犯时给予。"
7		" 7 T5, when you are promoted to archdruid"	" T5, 你升级为大祭司时给予。"
8		" 8 T7, given when you find the smoking gun"	" T7, 你找到火枪时给予。"
9		" 9, CD2, given when you destroy Lich book"	" CD2,你毁掉尸巫之书时给予。"
10		Tim	下水道，擒获贼盗王子。
11		"11 D7, opens tomb in D18."	"D7, 打开在 D18的坟墓。"
12		"12 D3, given when you save Mom."	"D3, 你救出姆时给予。"
13		"13 D13, given when you save the damsel, Melody Silver, in D7."	"D13, 你救出在D7的少女米拉达·席尔瓦时给予。"
14		"14 D6, given when Message 504 given out."	"D6, 当消息504透露时给予。"
15		"15 D7, given when chest with evidence for Constable opened."	"D7, 当打开藏着城堡总管的证据的箱子时给予。"
16		"16 D17, given when party is turned into Werewolves."	"D17, 当队伍变成人狼时给予。"
17		"17 D17, given when wolf altar is destroyed."	"D17, 当摧毁人狼祭坛时给予。"
18		"18 D17, given when party buries torture victims."	"D17, 当队伍埋葬被害的好人时给予。"
19		"19 D17, given when party buries more torture victims."	"D17, 当队伍埋葬更多被害的好人时给予。"
20		"20 D17, given when party digs up tiger statue quest item."	"D17,当队伍发掘出虎像时给予。"
21		"21 T2, Given when evil crystal is destroyed"	"T2, 摧毁邪恶水晶时给予。"
22		"22 D05, Given to find Snergles axe"	"D05, 找到斯纳格战斧时给予。"
23		"23 D13, Given when Altar is desecrated"	"D13, 当神坛遭受亵渎时给予。"
24		"24 D14, Given to find Ethrics Skull"	"D14, 当找到埃斯里克的头骨时给予。"
25		"25 D15, Given to find merchants White pearl"	"D15,当找到商人的白色珍珠时给予。"
26		"26 D19, Given to find White witches crown"	"D19, 当找到白色的巫师冠冕时给予。"
27		"27 D05, Given when axe is returned (so door can't be opened)"	"D05, 当归还战斧时给予（此时门无法打开）"
28		Dave	
29		Dave	
30		Dave	
31		"31 D02, given when spider quest is completed"	"D02, 当完成蜘蛛任务时给予。"
32		"32 D02, given when kid is rescued"	"D02, 当救出孩子时给予。"
33		"33 D02, given when egg quest is assigned"	"D02, 当完成蛋的任务时给予。"
34		"34 D02, given when temple of Baa relic is found"	"D02, 当找到羊鸣庙废墟时该给予。"
35		35 D17 Brought back Black Pearl and Ghost will no longer show up.	带回黑色珍珠，幽灵将不再出现。
36		"36 D02, given when bat quano is harvested"	"D02, 当收获蝙蝠粪时给予。"
37		"37 D02, is given when you get all the dead guys"	"D02, 你得到所有死亡家伙时给予。"
38		"38 T07, given when you find the smoking gun"	"T07, 你找到火枪时给予。"
39		"39 CD2, given when you find the oracle gem"	"CD2, 当你发现神谕宝石时给予。"
40		"40 CD2, given when you get the knowledge to become a lich"	"CD2, 当你知道如何变成尸巫时给予。"
41		Bruce	
42		Bruce	
43		Bruce	
44		Bruce	
45		Bruce	
46		Bruce	
47		Bruce	
48		Bruce	
49		Bruce	
50		Bruce	
51		"51 T4, Given when characters find Silver Chalice."	"T4, 当你找到银色高脚杯时给予。"
52		"52 D16, Given when characters find the Eagle Statuette"	"D16, 当你找到鹰像时给予。"
53		"53 T6, Given when characters take the Oracle Crystal from the altar."	"T6, 当你的角色把神谕水晶从祭坛上拿走时给予。"
54		Chris	
55		Chris	
56		Chris	
57		Chris	
58		Chris	
59		Chris	
60		Chris	
61		Peter	
62		Peter	
63		Peter	
64		Peter	
65		Peter	
66		Peter	
67		Peter	
68		Peter	
69		Peter	
70		Peter	
