															
															
#	Fire Spells		Res	Short Name	A	X	M	魔法说明	标准级	专家级	大师级				
1	1	光明之火	none	光明之火	1	1	1	光明之火能在黑暗中使队伍四周的光线的范围扩大。	持续时间为一小时乘以施放者的魔法等级	使光线更明亮	光线最明亮				
2	2	炽火神箭	Fire	炽火神箭	2	1	0	发射火焰箭。不同于其他魔法，它的准确性极差，和普通弓箭没有大的区别（但是具有火系魔法的威力）。它的攻击力为1-8点。	发射时消耗二点魔法值	发射时消耗一点魔法值，恢复较快	发射时不消耗魔法，恢复最快				
3	3	御火奇术	none	御火奇术	3	3	3	提高角色对火焰攻击的防御力。持续时间为一小时乘以施放者的魔法等级。	每个魔法等级增加防御力一点	每个魔法等级增加防御力二点	每个魔法等级增加防御力三点				
4	4	霹雳火焰	Fire	霹雳火焰	4	4	4	可对单一目标发射火焰轰炸。攻击力为魔法等级乘以1-4点。它发射消耗低，对自身安全，攻击有效性强，是巫师的可靠的攻击武器。	恢复速度中等	恢复较快	恢复最快				
5	5	攻击加速	none	攻击加速	5	5	5	减少角色发射魔法或兵器攻击后的所需的恢复时间。在此魔法失效后六小时内角色将处于虚弱状态。	持续时间为一小时加上一分钟乘以魔法等级	使队伍中所有人受益	持续时间为一小时加上三分钟乘以魔法等级				
6	6	连珠火球	Fire	连珠火球	8	8	8	这是另一项深受巫师青睐的武器。火球可攻击单个怪兽，但爆炸时会伤害所有爆炸范围内的目标。如果距离太近，你自己也可能受到伤害。其攻击力为魔法等级乘以1-6。	恢复速度中等	恢复较快	恢复最快				
7	7	赤焰火圈	Fire	赤焰火圈	10	10	10	形成一个火焰攻击圈，对周围所有在有效范围内的怪兽进行打击，并且不会危及你的自身。攻击力为六点加上你的魔法等级。	角色周围小范围有效	较大范围有效	恢复最快				
8	8	狂火暴焰	Fire	狂火暴焰	15	15	15	向角色面前的目标发射火焰束。由于只能向正前方攻击，所以需要提高准确性。攻击力为四点加上自身魔法等级的1-3倍。	恢复慢，可以发射三束	恢复速度中等，可以发射五束	恢复较快，可以发射七束				
9	9	流星火雨	Fire	流星火雨	20	20	20	招唤天空的陨石降落在所选中的目标周围。施法时不能离目标太近，以免危及自身。攻击力为八点加上自身的魔法等级。只能在室外使用。	恢复慢，有八颗陨石	恢复速度中等，有十二颗陨石	恢复较快，有十六颗陨石				
10	10	地狱烈焰	Fire	地狱烈焰	25	25	25	可以把视野中的所有目标全部付之一炬，并不会危及自身。最适于消灭大批蜂拥而来的怪兽。攻击力为十二点加上魔法等级。它只能在室内使用。	恢复速度较慢	恢复较快	恢复最快				
11	11	烈火威弹	Fire	烈火威弹	30	30	30	它是最具威力的单一目标攻击魔法之一。摧毁力极大，只有最强大的怪兽才有可能侥幸逃生。攻击力为十五点加上魔法等级的1-15倍。	恢复速度较慢	恢复较快	恢复最快				
	Air Spells		Res					魔法说明							
12	1	魔力神眼	none	魔力神眼	1	1	1	魔法眼能在屏幕右上角的小地图钟标明怪物所处位置和室外的其他值得一去的地点。持续时间为一小时乘以魔法等级。	只显示地形和怪物	显示财宝	显示“值得一去”的地点				
13	2	电石火花	Elec	电石火花	2	1	0	向单一目标发射静电束。攻击力只有2-6点，但百发百中。	发射时消耗二点魔法值	发射时消耗一点魔法值，恢复较快	发射时不消耗魔法，恢复最快				
14	3	御电奇术	none	御电奇术	3	3	3	提高角色防御电击的能力。	每个魔法等级增加防御力一点	每个魔法等级增加防御力为二点	每个魔法等级增加防御力为三点				
15	4	遍地开花	Elec	遍地开花	4	4	4	向周围发射光球，方向性不易控制，但适于在室内消灭大批蜂拥而来的低级怪兽。攻击力为二点加上魔法等级。	恢复速度中等，有三个光球	恢复较快，有五个光球	恢复最快，有七个光球				
16	5	凌空飞降	none	凌空飞降	5	5	5	它能当角色从高于十英尺高处跳下时减慢降落速度，避免受伤。此魔法只要一个角色施法，其他角色均可受益。	持续时间为五分钟乘以魔法等级	持续时间为十分钟乘以魔法等级	持续时间为一小时乘以魔法等级				
17	6	护体神盾	none	护体神盾	8	8	8	它能减慢飞弹的速度，从而使远距离攻击性武器（如弓箭，岩石等）的攻击力减半。	持续时间为一小时加上五分钟乘以魔法等级	对所有角色有效	持续时间为一小时加上十五分钟乘以魔法等级				
18	7	霹雳闪电	Elec	霹雳闪电	10	10	10	它是深受巫师青睐的武器之一。可以向单一目标发射电光霹雳，而且百发百中。攻击力为自身魔法等级的1-8倍。	恢复速度中等	恢复较快	恢复最快				
19	8	神奇跳跃	none	神奇跳跃	15	15	15	它能使角色一跃到达六十英尺的高处，而且在掉下时毫发无损。	恢复较慢	恢复较快	恢复最快				
20	9	雷鸣爆弹	Phys	雷鸣爆弹	20	20	20	这是一项邪恶的魔法，可以改变单一目标周围的空气流动，形成霹雳。它的攻击力为十点加上自身魔法等级的1-10倍。	恢复速度中等	恢复较快	恢复最快				
21	10	飞行奇术	none	飞行奇术	25	25	25	使你的角色具备飞行的能力。这个魔法消耗非常大，并只限在室外使用，但能使你受益颇多。使用时每五分钟消耗一点魔法值。	持续时间为五分钟乘以魔法等级	持续时间为十分钟乘以魔法等级	持续时间为一小时乘以魔法等级				
22	11	群星飞落	Elec	群星飞落	30	30	30	召唤天空中的群星痛击敌人并把他们付之一炬。达到此魔法的专家和大师等级可以增加召唤的星数并缩短恢复时间。它的攻击力为二十点加上自身魔法等级。这项魔法只能在室外使用，有可能伤及自身。	恢复较慢，有八颗星	恢复较快，有十二颗星	恢复最快，有十六颗星				
	Water Spells		Res					魔法说明							
23	1	催醒奇术	none	催醒奇术	1	1	1	可以自动把你们从睡梦中唤醒，如果是因为中了魔法而睡着，只要时间不是太久，也可以觉醒。	可以唤醒的最长睡着时间为三分钟乘以魔法等级	可以唤醒的最长睡着时间为一小时乘以魔法等级	可以唤醒的最长睡着时间为一天乘以魔法等级				
24	2	极寒冰弹	Cold	极寒冰弹	2	1	0	可以向单一目标发射冰冻飞弹。它的攻击力只有2-6点，但百发百中。你的水系魔法越高，发射后的恢复时间越短。水系魔法的大师可以不耗点数发射此魔法。	消耗二点魔法值	消耗一点魔法值，恢复较快	不消耗魔法，恢复最快				
