Note bit	自动记录正文	Category
1	新索匹格镇的中央喷泉可以恢复5点生命值。	Stat
2	新索匹格镇的西北喷泉可以恢复5点魔法值。	Stat
3	新索匹格镇的东北喷泉可以暂时提高10点力量。	Stat
4	已完成大耳怪任务。	Award
5	已破坏羊鸣庙的神坛。	Award
6	已将第六封信交给威尔伯·汉弗里。	Award
7	已揭发叛徒。	Award
8	被允许使用游艇。	Award
9	布特雷格湾的魔法喷泉可以恢复20点魔法值。	Stat
10		misc
11	浓雾镇的中央喷泉可以恢复10点魔法值。	Stat
12	浓雾镇掴掌酒吧西面的井水可以暂时提高20点运气。	Stat
13	牛顿城堡外喷泉之中的西泉可以暂时提高10点智力和个性。	Stat
14	牛顿城堡外喷泉之中的东泉可以分别暂时提高5点火系、电系、冰系、毒系抗性。	Stat
15		
16		
17	魔鬼水域西南部的喷泉可以暂时提高20点火系、电系、冰系、毒系抗性。	Stat
18	魔鬼水域东南部的喷泉可以暂时提高20点魔系抗性。	Stat
19	铁拳城堡外喷泉之中的西泉可以暂时提高10点精确。	Stat
20	铁拳城堡外喷泉之中的东泉可以暂时提高10点速度。	Stat
21	竞技场的喷泉可以恢复10点生命值。	Stat
22	布特雷格湾大耳怪之牙附近的井水可以暂时提高20点力量。	Stat
23	布特雷格湾东部群岛上喷泉之中的北泉可以永久提高2点智力。	Stat
24	布特雷格湾东部群岛上喷泉之中的南泉可以永久提高2点个性。	Stat
25	银湾镇城镇北部的喷泉可以暂时提高20点智力和个性。	Stat
26	银湾镇市政厅外的喷泉可以恢复25点魔法值。	Stat
27	银湾镇城镇西面喷泉之中的北泉可以永久提高2点精确。	Stat
28	银湾镇城镇西面喷泉之中的南泉可以永久提高2点速度。	Stat
29	幽灵沼泽南部的喷泉可以永久提高2点耐力。	Stat
30	自由天堂城镇东北部的井水可以永久提高2点力量。	Stat
31	自由天堂的中央喷泉可以恢复25点生命值。	Stat
32	冰风湖喷泉之中的西泉可以暂时提高20点速度和精确。	Stat
33	冰风湖喷泉之中的东泉可以暂时提高20点防御等级。	Stat
34	斯通城堡东北面的喷泉可以将等级暂时提高10。	Stat
35	斯壮姆嘉德城堡西面的喷泉可以暂时提高30点力量。	Stat
36	白帽神庙门外东边喷泉之中的北泉可以永久提高5点力量。	Stat
37	白帽神庙门外东边喷泉之中的南泉可以永久提高5点耐力。	Stat
38	飞龙沙漠东岛上的喷泉可以永久提高10点火系、电系、冰系和毒系抗性。	Stat
39	飞龙沙漠南岛上的喷泉可以永久提高10点力量、速度、精确、耐力、个性、智力和运气。	Stat
40	飞龙沙漠西北岛上的喷泉可以恢复50点生命值。	Stat
41	布莱克郡城镇北部的井水可以暂时提高50点运气。	Stat
42	布莱克郡城镇东南部的井水可以永久提高5点魔系抗性。	Stat
43	巨蛇庙北面的喷泉可以永久提高5点智力和个性。	Stat
44	布莱克郡城镇南部的喷泉可以暂时提高30点魔系抗性。	Stat
45	布莱克郡城镇中部的喷泉可以恢复50点魔法值。	Stat
46	克里格斯镇南部的井水可以增加5000点经验值，但减少5000个金币。	Stat
47	克里格斯镇西部的井水可以将等级暂时提高30。	Stat
48	克里格斯镇龙塔北面的喷泉可永久提高10点魔系抗性。	Stat
49	克里格斯城堡外的喷泉可以暂时提高40点防御等级。	Stat
50	顶级羊鸣庙西北面的喷泉可以永久提高5点火系、电系、冰系和毒系抗性。	Stat
51	隐士岛东面的喷泉可以治疗非正常的老化。	misc
52	天堂谷沙漠中的喷泉可以提高100点生命值和魔法值。	Stat
53	甜水镇东南部的喷泉可以暂时提高50点力量、精确、耐力、速度、个性、智力和运气。	Stat
54	疗伤药剂（红色） = 柳汁浆果 + 空瓶	potion
55	魔法药剂（蓝色） = 灵芝 + 空瓶	potion
56	能量药剂（黄色） = 罂粟花 + 空瓶	potion
57	保护药剂（橙色） = 黄色药剂 + 红色药剂	potion
