A Bit	奖励	Notes
1	将王子护送回宫	
2	寻回科尔本爵士的盾牌	
3	寻回时间沙漏	
4	摧毁恶魔据点	
5	擒获贼盗王子	
6	固定驿站价格	
7	结束冬季	
8	升职为十字军	
9	升职为荣誉十字军	
10	升职为大英雄	
11	升职为荣誉大英雄	
12	升职为魔法师	
13	升职为荣誉魔法师	
14	升职为大魔法师	
15	升职为荣誉大魔法师	
16	升职为豪侠	
17	升职为荣誉豪侠	
18	升职为勇士	
19	升职为荣誉勇士	
20	升职为神父	
21	升职为荣誉神父	
22	升职为大主教	
23	升职为荣誉大主教	
24	升职为祭司	
25	升职为荣誉祭司	
26	升职为大祭司	
27	升职为荣誉大祭司	
28	升职为魔箭手	
29	升职为荣誉魔箭手	
30	升职为神箭手	
31	升职为荣誉神箭手	
32	在高级议会揭露叛徒	
33	唤醒神使	
34	获得访问控制中心的权限	
35	解放阿基巴德	
36	捣毁蜂房，拯救恩洛斯	
37	除掉斯纳格	
38	解救浓雾镇镇长	
39	寻回羊鸣教蜡烛台	
40	寻回安德鲁的竖琴	
41	寻回埃斯里克的头骨	
42	除掉蜘蛛女王	
43	解放独立碑	
44	把蝙蝠粪交给巴里德	
45	摧毁邪恶水晶	
46	解救埃曼纽尔	
47	找到佐尔丹的神器	
48	解救雪莉	
49	解救安吉拉	
50	解救谢勒尔	
51	解除布莱克郡的诅咒	
52	除掉狼人首领	
53	解开大耳怪前哨的密码	
54	寻回美妙钟琴	
55	寻回埃米尔的蛋	
56	放置特威伦的小雕像	
57	援助烈火爵士	
58	把第六封信交给威尔伯·汉弗里	
59	被允许使用皇家快艇	
60	摧毁尸巫之书	
61	花生超人	
62	破解方尖塔谜题	
63		
64	加入元素教派	
65	加入自我教派	
66	加入海盗之巢行会	
67	加入保护服务行会	
68	加入走私者行会	
69	加入终极利刃行会	
70	加入双刃剑锋行会	
71	加入雷霆震怒行会	
72	加入空气教派	
73	加入泥土教派	
74	加入烈火教派	
75	加入流水教派	
76	加入肢体教派	
77	加入心智教派	
78	加入灵魂教派	
79	加入光明教派	
80	加入暗黑教派	
81	获得%u次悬赏	
82	死亡%u次	
83	坐过%u次牢	
84	%u次侍从级决斗获胜	
85	%u次扈从级决斗获胜	
86	%u次骑士级决斗获胜	
87	%u次爵士级决斗获胜	
88		
89		
90		
91		
92		
93		
94		
95		
96		
97		
98		
99		
100		
