															
Item #	Pic File	名称	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	未鉴定名称	Sprite Index	Shape	Equip X	Equip Y	介绍
0															
1	lsword1	长剑	50	Weapon	Sword	3d3	0	8	1	长剑	1	4	499	8	尽管构造简单，风格古朴，但足以致敌死地。
2	lsword2	神箭手之剑	200	Weapon	Sword	3d3	3	8	3	长剑	1	4	501	9	此剑力量强硬，锋利无比。
3	lsword3	十字军之剑	350	Weapon	Sword	3d3	6	8	5	长剑	1	4	506	10	由矮人国铸剑大师打造，锋刃经特殊处理。
4	lsword4	勇士之剑	500	Weapon	Sword	3d3	9	8	7	长剑	1	4	508	4	举世无双的名剑，由古代著名工匠布林德打造的剑中精品。
5	lsword5	狮心剑	650	Weapon	Sword	3d3	12	8	9	长剑	1	4	502	8	此剑自古以来举世罕有，铸造于奇迹时代，打造技术自寂静时代起就已失传。
6	2hsword1	双手剑	400	Weapon2	Sword	4d5	0	8	1	双手剑	2	0	491	4	可双手使用的一般铁剑，在恩洛斯随处可见。
7	2hsword2	霸王剑	500	Weapon2	Sword	4d5	2	8	6	双手剑	2	0	492	21	也是双手使用的铁剑，但锋刃较宽，呈十字形，这样杀伤力较大。
8	2hsword3	英雄之剑	800	Weapon2	Sword	4d5	8	8	8	双手剑	2	0	502	2	品质较高的双手剑，剑身坚硬，吹毛断发。
9	brsword1	宽刃剑	100	Weapon	Sword	3d4	0	8	1	宽剑	3	0	505	14	一般的宽刃剑，在恩洛斯随处可见。
10	brsword2	钢刃剑	300	Weapon	Sword	3d4	4	8	4	宽剑	3	0	503	16	精巧的埃拉西亚钢质宽刃剑。质量优异，异常锋利。
11	brsword3	力量之剑	600	Weapon	Sword	3d4	10	8	6	宽剑	3	0	503	1	此剑锋刃经魔法点化，虽然年月已久，但仍崭新如初。
12	cutlass1	短刀	40	Weapon	Sword	2d4	0	7	1	短刀	4	0	504	5	大耳怪制造的短刀，可制敌死地。
13	cutlass2	海盗短刀	290	Weapon	Sword	2d4	5	7	3	短刀	4	0	507	15	是由盘踞在浓雾岛东面岛屿的李格纳海盗团伙使用的独门兵器。由他们当地的工匠打造。
14	cutlass3	大师短刀	590	Weapon	Sword	2d4	11	7	5	短刀	4	0	501	13	此刀巧妙地把刀刃隐藏在把手内，显然它是由为希拉克六世，李格纳爵士和海洋之王打造兵器的大师埃里克·泰林亲手制造。
15	dagger1	匕首	8	Weapon	Dagger	2d2	0	6	1	匕首	5	2	504	81	一般的匕首，盗贼和暗杀者喜爱使用。
16	dagger2	嗜血匕首	100	Weapon	Dagger	2d2	2	6	2	匕首	5	2	509	75	此匕首是由李格纳部落举行宗教仪式时使用的礼仪性兵器。该族正不断移民恩洛斯，所以近来此匕首也随处可见。尽管是礼仪性兵器，但仍可致人死命。
17	dagger3	影子匕首	150	Weapon	Dagger	2d2	3	6	3	匕首	5	2	506	70	是埃斯里克生前使用的兵器。据说它可以与阴间联络，在举行延续生命的魔法仪式上使用。
18	dagger4	魔法匕首	250	Weapon	Dagger	2d2	5	6	4	匕首	5	2	511	82	它是百里挑一的上好兵器。三百年前由一魔法师用阿拉莫斯城堡地下的烈火锻造而成。它是天下最完美的利刃。
19	dagger5	宝石匕首	300	Weapon	Dagger	2d2	6	6	5	匕首	5	2	504	79	是从奇迹时代流传下来的兵器，年数久远，质量上乘。
20	ldagger1	长匕首	15	Weapon	Dagger	2d3	0	7	1	长匕首	6	0	505	42	它是普通的长匕首。宽度与剑相同。由于它便于隐藏，锋刃较长，深受刺客的喜爱。
21	ldagger2	利刃匕首	200	Weapon	Dagger	2d3	4	7	3	长匕首	6	0	506	48	与其说是匕首，不如说它是一把短剑。它锋刃细长，力大无比，并且经魔法点化。
22	ldagger3	神匕首	350	Weapon	Dagger	2d3	7	7	5	长匕首	6	0	504	60	它是“众神的兵器”，是在寂静时代开始后113年残存的最后一家炼铁厂打造的兵器之神。
23	axe1	手斧	30	Weapon	Axe	4d2	0	5	1	战斧	7	9	498	89	与其说是兵器，不如说是一件工具。杀伤力极其微弱。
24	axe2	战斧	100	Weapon	Axe	4d2	2	5	2	战斧	7	9	491	70	是战斗中使用的战斧。野人和散兵游勇经常使用此类兵器。
25	axe3	战争之斧	250	Weapon	Axe	4d2	5	5	4	战斧	7	9	500	77	是在王位争夺战争时期被罗兰德扣留的大批货物中的一件。此类兵器在阿基巴德·艾恩法斯特的命令之下于卡力格打造，并运到恩洛斯在与罗兰德争夺王位的战争中使用。
26	axe4	矮人之斧	400	Weapon	Axe	4d2	8	5	5	战斧	7	9	497	66	是由在红色山区的矮人族打制的上乘兵器。它锋利无边，造型优美，比例协调。
27	axe5	超级战斧	550	Weapon	Axe	4d2	11	5	6	战斧	7	9	490	63	这件兵器沾满了鲜血。如此非凡的兵器原是为了矮人族贵族打制，从不向别人出售。
28	2haxe1	屠斧	225	Weapon2	Axe	3d7	0	5	1	双手战斧	8	0	482	88	是由东方的部落和一些贵族的近卫军专门使用，斧柄颀长，可致人死命。
29	2haxe2	重型屠斧	450	Weapon2	Axe	3d7	3	5	5	双手战斧	8	0	496	6	造型精美的长柄战斧。通常由一些城镇卫兵和小股作战部队使用。
30	2haxe3	屠斧之王	900	Weapon2	Axe	3d7	9	5	8	双手战斧	8	0	492	1	因为它经魔法的点化，所以锋利无比。它比较轻巧，可切金断玉。
31	spear1	矛	15	Weapon1or2	Spear	1d9	0	6	1	长矛	9	21	519	12	尽管只是一根削尖的棍子，但仍有致命的威力。与其它长矛一样，既可单手又可双手使用（双手使用时+1D9）。
32	spear2	巨矛	50	Weapon1or2	Spear	1d9	1	6	2	长矛	9	21	517	20	此矛有特制的钢舍，可以穿透坚硬的铠甲。与其它长矛一样，既可单手又可双手使用（双手使用时+1D9）。
33	spear3	蛇矛	250	Weapon1or2	Spear	1d9	5	6	3	长矛	9	21	500	13	斧柄装饰有海妖图案。它的锋刃设计为十字型，可以阻止对手的兵器顺着矛柄划向你的要害。与其它长矛一样，既可单手又可双手使用（双手使用时+1D9）。
34	spear4	蛮矛	450	Weapon1or2	Spear	1d9	9	6	4	长矛	9	21	510	10	由千金难买的上好精钢打制而成。矛柄下半部有珍贵皮革包裹，是一件收藏佳品。与其它长矛一样，既可单手又可双手使用（双手使用时+1D9）。
35	spear5	神矛	650	Weapon1or2	Spear	1d9	13	6	6	长矛	9	21	505	6	矛身刻有打制此兵器的工匠的标记和生产日期。由此得知它是由锻造术的魔法师于寂静时代前的12年在魔法炼铁厂制造的。
36	halberd1	戟	200	Weapon1or2	Spear	3d6	0	6	1	戟	10	0	499	5	它集战斧和长矛于一身，杀伤力巨大，但需较长的恢复时间。它质量一般，造型古朴（双手使用时+1D6）。
37	halberd3	宽戟	400	Weapon1or2	Spear	3d6	4	6	4	戟	10	0	493	3	此兵器坚硬无比，锋刃经特殊处理，特别沉重。如果由力大无比的勇士使用，可杀死最难对付的怪兽（双手使用时+1D6）。
38	halberd2	精英之戟	700	Weapon1or2	Spear	3d6	10	6	8	戟	10	0	496	4	此兵器锋刃上的标记说明它是由闻名遐迩的麦克林兵器锻造厂老板麦克林·布林德亲手打造的。它乃是天下一流的长戟（双手使用时+1D6）。
39	trident1	三股叉	100	Weapon1or2	Spear	2d6	0	6	1	三股叉	11	21	494	10	这种三尖叉质量上乘，由李格纳的帝国海军专用，他们经常持此兵器在公海巡逻，向来往船只征收关税。许多商人和各地的首领都认为这是一种海盗行为（双手使用时+1D6）。
40	trident2	簪银三股叉	400	Weapon1or2	Spear	2d6	6	6	3	三股叉	11	21	490	6	此兵器质量上乘，制造精美，专为李格纳的帝国海军军官设计。一旦他们在海战中失利，将被剥夺此兵刃（双手使用时+1D6）。
41	trident3	巨型三股叉	700	Weapon1or2	Spear	2d6	12	6	6	三股叉	11	21	492	2	此件精美的由克尔格——一种千金难买的精钢打制而成。常年使用也不会生锈或缺刃（双手使用时+1D6）。
