Regional News			
#	Map	标题	解说正文
1	40	大耳怪前哨	我听说山上的废旧堡垒成了一班大耳族的巢穴，此堡垒原来就是为防御大耳怪而建，怎么竟会发生这种事？
2	40	羊鸣庙	向西走一天的路程就是新建的敬拜羊鸣神的神庙，我听说有钱人经过那里常遭不测。
3	40	匪徒	越过山向西的商路上经常有匪徒出没，赤手空拳经过那里可是凶多吉少。
4	40	海上航行	在此地走海路简直是找死。海妖和引发海啸的流水元素会使人尸骨无存。
5	40	神使	自由天堂的高级议会应该祈求神使昭示艾恩法斯特家族丢失天堂之令的原因。
6	40	尼古拉王子	尼古拉王子并不掌握实权，所有事项均由摄政王汉弗里决定，不能把一切过错都归咎于尼古拉。
7	40	冬夏至	冬夏至是两个对魔法来说意义重大的日子。夏至在六月二十一日，冬至在十二月二十一日。
8	40	竞技场	铁拳城堡的驿站能把你运到竞技场，那是个勇士们展示他们非凡勇气的地方。
9	40	大耳怪	大耳怪若是单打独斗绝对不堪一击，但他们往往仗着人多势众为非作歹。
10	40	低级魔法师	尽管他们体质孱弱，但能施展元素魔法攻击对手。
11	40	莫德里德	一件威力强大的宝物。莫德里德是一把匕首，可以使对手损失生命值，并把生命值转化给持匕首者。
12	40	魔法师	在浓雾岛的阿尔伯特·牛顿负责巫师升级为魔法师的工作。
13	40	废庙	镇子西南面的废庙以前是羊鸣教的地盘，可是去年有一天他们匆忙逃离此处，现在里面尽是些毒蛇，蝙蝠和巨型蜘蛛。
14	40	羊鸣教	自从羊鸣教从镇外的破庙搬出去后，镇里层出不穷的怪事就销声匿迹了。实话实说吧，我总觉得这帮家伙不是什么好东西，准是他们在搞鬼，他们走了真令人高兴。
15	40	咒语	我的一位魔法师朋友告诉我，羊鸣教在镇外的破庙内企图对全镇施展咒语，使全镇到处是带菌的动物和虫子。但他们某一环节出了差错，引火烧身，把他们自己的庙给传染了，他们只能匆匆逃离此地。
