NPC Data (Special)	Unter		BTB check			Current	Profession	Join	News	Event	Event	Event	
#	姓名	Pic	State	Fame	Rep	2D Location	 1 - 76	Y / N	Y / N	# A	# B	# C	Notes
1	安多弗·波特皮洛	81	0	0	0	92	74	0	0	1	296	0	gives money for the sixth letter and retrieve candelabra quest
2	玛利亚	126	0	0	0	92	48	0	1	8	0	0	gives clue for marketing promotion.
3	弗兰克·费尔基德	187	0	0	0	89	0	0	1	324	326	0	Gives the save the mom quest and takes letter from d6
4	威尔伯·汉弗里	553	0	0	0	154	0	0	0	9	13	0	Council Quest and Promotion Quest.
5	阿尔伯特·牛顿	527	0	0	0	156	0	0	0	51	55	0	Council Quest and Promotion Quest.
6	奥斯里克·坦普	524	0	0	0	158	0	0	0	61	65	0	Council Quest and Promotion Quest.
7	查德威克·布莱克普尔	39	0	0	0	106	0	0	1	0	0	0	Gives nomination for Cavalier Quest - is supposed to be in Free Haven inn
8	神使	523	0	0	0	170	0	0	0	73	74	0	Return the crystals and pyramid quests
9	先知	522	0	0	0	169	0	0	0	41	45	46	"Seer quest, item return, and hint"
10	马顿·费里斯	11	0	0	0	249	42	0	1	0	0	396	Divine Intervention quest
11	米拉达·席尔瓦	164	0	0	0	-1	0	0	0	31	0	0	The damsel in distress for the paladin quest
12	阿基巴德·艾恩法斯特	554	0	0	0	553	0	0	0	30	0	0	Need picture from heroes 2
13	尼古拉·艾恩法斯特	526	0	0	0	154	0	0	0	18	25	0	Need a new picture
14	劳里达·弗丽斯	528	0	0	0	162	0	0	0	79	82	0	
15	埃里克·冯·斯壮姆嘉德	529	0	0	0	164	0	0	0	87	91	0	
16	安东尼·斯通	525	0	0	0	160	0	0	0	32	35	0	
17	贼盗王子	396	0	0	0	-1	0	0	0	98	0	0	
18		0	0	0	0	0	0	0	0	0	0	0	removed
19	深山隐士	225	0	0	0	552	0	0	0	95	0	0	winter quest for Stromgard
20	亚伦·斯壮姆	1	0	0	0	428	13	0	0	202	261	0	"Sword Expert, door next to weaponshop (D3)"
21	伯纳德·雅各布斯	2	0	0	0	462	13	0	0	246	283	0	Repair expert (E2)
22	贝尼托·德尔曼	3	0	0	400	437	13	0	0	222	271	0	"Plate expert, 4 buildings south of Ironfist (D3)"
23	福雷斯特·萨德斯	4	0	0	0	299	14	0	0	223	0	0	Plate Master (C2)
24	约翰·特克	5	0	800	0	407	14	0	0	259	0	0	Learning master (D1)
25	凯尔·路特维格	6	0	0	0	268	77	0	1	0	0	0	child
26	戴维·费什	7	0	0	0	335	14	0	0	221	0	0	chain master (C3)
27	里奇·汉堡	8	0	0	400	436	13	0	0	220	270	0	"chain expert, 4 buildings south of Ironfist (D3)"
28	苏珊·汉德勒邦	9	0	0	0	0	77	0	1	0	0	0	child
29	威尔·奥特曼	10	0	800	0	397	13	0	0	245	289	0	merchant master (D1)
30	诺亚·怀特	11	0	0	0	260	14	1	1	0	0	0	instructor
31	卡尔文·布莱克	12	0	0	200	460	13	0	0	200	260	0	staff expert (E2)
32	阿维里·辛西亚	13	0	0	0	102	15	0	0	290	0	0	"Good dwarf who gives defeat Snergal quest, Master axe (C3)"
33	哈罗德·赫斯	14	0	0	0	473	55	0	0	0	0	386	Merc Guild Membership (E3)
34	雅克·科尔	15	0	0	200	276	14	0	0	255	0	0	diplomacy master (C1)
35	蒂姆·欧胡里汉	16	0	0	0	319	13	0	0	236	278	0	body expert (C2)
36	弗雷德里克·派尔斯	17	0	0	400	274	46	0	1	0	0	386	Merc Guild Membership (C1)
37	查尔斯·德索匹格	18	0	0	0	90	15	0	0	292	0	0	Constable in Mist who gives the prove Silver Helms are bad quest
38	肯特·威廉姆斯	19	0	0	0	301	32	0	1	0	0	0	Person who sells house in Free Haven
39	戈登·斯泰尔斯	20	0	0	0	441	2	1	1	0	0	0	armorer
40	多夫	21	0	0	0	480	13	0	0	200	260	0	"staff expert, Bottom middle building (E3)"
41	特威伦	22	0	0	0	0	41	0	1	354	0	0	"Young Twillen, after the statuette quest"
42	特伦斯·史密斯	23	0	0	-300	431	13	0	0	204	262	0	"dagger expert, behind tavern below Ironfist  (D3)"
43	萨穆森·德斯	24	0	0	0	-1	73	0	1	348	0	0	Human guard in Goblinwatch after quest complete
44	哈珀·柯林斯	25	0	0	400	459	14	0	0	229	0	392	water master (E2)
45	阿伦·塞勒	26	0	0	0	272	13	0	0	219	0	0	leather master (C1)
46	贝特朗·斯科里弗纳	27	0	0	0	90	23	0	0	294	0	0	Mayor in Mist Town Hall
47	彼得·伊万诺维奇	28	0	0	0	432	7	1	1	0	0	0	pathfinder
48	迈克尔·奥格威	29	0	0	0	321	46	0	0	202	261	0	Sword expert (C2)
49	伯妮斯·哈特	30	0	0	0	405	3	1	1	0	0	0	alchemist
50	苔丝·塔克	31	0	0	-300	258	51	0	1	0	0	385	Thief Guild Membership (B2)
51	赫克托·德拉基德	32	0	0	0	0	0	0	0	0	0	0	
52	盖·汉普顿	33	0	0	0	250	14	0	0	203	0	0	sword master (B2)
53	贺拉斯·罗斯	34	0	0	400	370	46	0	1	0	0	388	Merc Guild Membership (D1)
54	法拉格	35	0	0	0	474	41	0	0	349	0	0	Mage from the intro
55	吉尔伯特·汉默	36	0	0	0	402	14	0	0	237	0	0	body master (D1)
56	莱昂·拉扎鲁	37	0	0	-200	429	13	0	0	242	281	0	"identify expert, 2 houses by gate (D3)"
57	马克罗·卡利古拉	38	0	0	0	336	14	0	0	253	0	0	perception master (C3)
58	奥维·考威尔	39	0	0	0	476	4	1	1	0	0	0	scholar
59	拉吉·奥斯特	40	0	0	-300	371	51	0	1	0	0	384	Thief Guild Membership (D1)
60	贡萨洛·拉米雷斯	41	0	0	200	461	0	0	0	208	264	387	spear expert (E2)
61	马塞勒斯·路特维格	42	0	0	-300	268	51	0	1	0	0	384	Thief Guild Membership (C1)
62	埃里克·萨尔茨伯格	43	0	0	0	482	13	0	0	248	284	0	"bodybuilding expert, 2 big houses east (E3)"
63	艾哈迈德·阿桑兹	44	0	0	0	238	5	1	1	0	0	0	guide
64	塞尔吉奥·卡林顿	45	0	0	-300	286	51	0	1	0	0	385	Thief Guild Membership (C2)
65	萨阿德·沙美尔	46	0	0	0	0	0	0	0	0	0	0	
66	吉姆·哈蒙德	47	0	0	0	-1	0	0	1	301	0	0	Dwarf prisoner that gives key to d5
67	沃尔特·哈格里夫斯	48	0	0	0	425	13	0	0	254	287	0	"diplomacy expert, upstairs Ironfist (D3)"
68	维吉尔·霍里德	49	0	0	0	468	13	0	0	234	277	0	"mind expert, west 5 poor houses (E3)"
69	沃伦·霍尔姆斯	50	0	0	0	278	17	0	1	0	0	381	Elemental Guild Membership (C1)
70	泰勒·泰勒	51	0	0	-200	430	13	0	0	256	288	0	"disarm expert, 2 houses by gate (D3)"
71	西尔维斯特·摩尔	52	0	0	0	304	13	0	0	254	287	0	diplomacy expert (C2)
72	维克多·霍森	53	0	0	0	481	13	0	0	250	285	0	"meditation expert, 2 big houses east (E3)"
73	坦恩·罗珀	54	0	0	0	401	14	0	0	235	0	0	mind master (D1)
74	奥利弗·温德尔	55	0	0	0	-1	0	0	0	302	0	0	Monk who gives party info in d7
75	温斯顿·希斯托里安	56	0	0	400	287	46	0	1	0	0	387	Merc Guild Membership (C2)
76	佐尔丹·菲尔普	57	0	0	0	296	21	0	0	322	0	0	Gives quest to retrieve lost artifact
77	安德鲁·贝斯普	58	0	0	0	433	31	0	0	303	0	388	Gives quest to retrieve harp
78	艾伦·洛克威	59	0	0	0	396	48	1	1	0	0	0	gypsy
79	欧拉夫·贝林	60	0	0	0	440	13	0	0	248	284	0	bodybuilding expert (D3)
80	纳丁·海登	0	0	0	0	0	0	0	0	0	0	0	"Guild of light proprietor (npc 61), picture used ?"
81	伊绍·麦吉斯特鲁斯	62	0	0	0	465	13	0	0	224	272	0	"fire expert, west 5 poor houses (E3)"
82	利维娅·法雷尔	63	0	0	0	303	13	0	0	244	282	0	merchant expert (C2)
83	埃诺克·黑格里奇	64	0	0	0	467	13	0	0	232	276	0	"spirit expert, west 5 poor houses (E3)"
84	埃德加·卡朋特	65	0	0	400	434	13	0	0	216	268	0	"shield expert, 4 buildings south of Ironfist (D3)"
85	汉斯·吉福德	66	0	0	0	285	14	0	0	243	0	0	identify master (C2)
