Skill	Description	Normal	Expert	Master
Staff	棍棒（又名长棍）必须双手使用，可使你攻守兼备。成为棍棒专家可提高你的防御等级；大师则有时可将敌人击晕。	技能等级可增加攻击点数	技能等级可提高防御等级	有等同于技能等级的百分比概率将敌人击晕
Sword	长剑技能涵盖了大多数比匕首更长的刀刃兵器的用法。剑术专家能够攻击得更快；剑术大师则能左手使用单手剑右手挥舞其它武器。	技能等级可增加攻击点数	技能等级可减少恢复时间	可左手运剑
Dagger	匕首虽没有长剑和战斧的杀伤力，但疾如闪电——有时对于一个行动迟缓的敌人，他攻击你一次的时间内你可以攻击他两次。匕首专家可左手持匕首右手挥舞其它武器；匕首大师有时可使出三倍杀伤。	技能等级可增加攻击点数	可左手使用匕首	有10%的概率出现三倍伤害
Axe	战斧虽招数缓慢，但一旦击中，杀伤巨大。战斧专家的攻击速度有少许提升；大师则可提高斧头的攻击杀伤。	技能等级可增加攻击点数	技能等级可减少恢复时间	技能等级可增加攻击杀伤力
Spear	长矛技能涵盖了各种带有刀刃的杆式武器用法，既可以单手也可以双手使用（双手效果更好）。成为长矛专家可提高防御等级；而大师则可增加杀伤。	技能等级可增加攻击点数	技能等级可提高防御等级	技能等级可增加攻击杀伤力
Bow	弓箭技能涵盖了长弓和十字弓的用法。弓箭专家可提高射箭速度；而弓箭大师每次可射两支箭。	技能等级可增加攻击点数	技能等级可减少恢复时间	每次攻击发射两支箭
Mace	锤棍指所有的钝击武器，包括锤棍和铁锤。锤棍专家可提高该武器的杀伤；而大师则有机会将敌人击晕。	技能等级可增加攻击点数	技能等级可增加攻击杀伤力	有等同于技能等级的百分比概率将敌人击晕
Blaster	这种武器出自寂静时代之前，制作方法早已失传。专家和大师等级的使用者能使这些强大武器的攻击准确度分别乘以2和3。	技能等级可增加攻击点数	技能等级可增加攻击点数（乘以2）	技能等级可增加攻击点数（乘以3）
Shield	盾牌技能可在手持盾牌时直接提高防御等级。盾牌的专家和大师可额外增强防御能力。	技能等级可提高防御等级	技能等级可提高防御等级（乘以2）	技能等级可提高防御等级（乘以3）
Leather	皮甲是分量最轻的盔甲，防御力逊于锁甲和钢甲，但负重相对较轻，不致于将行动拖得过慢。皮甲技能可增强皮甲的防护能力。专家和大师可减少皮甲对行动速度的影响。	技能等级可提高防御等级	减少恢复时间惩罚	无恢复时间惩罚
Chain	锁甲是中型盔甲，防御力强于皮甲但逊于钢甲，对行动速度的影响也大于皮甲而小于钢甲。锁甲技能可增强锁甲的防护能力。专家和大师可减少锁甲对行动速度的影响。	技能等级可提高防御等级	减少恢复时间惩罚	无恢复时间惩罚
Plate	钢甲是分量最重的盔甲，防御力最强，但对行动速度的影响也大于皮甲和锁甲。钢甲技能可增强钢甲的防护能力。专家和大师可减少钢甲对行动速度的影响。	技能等级可提高防御等级	减少恢复时间惩罚	无恢复时间惩罚
Fire	火系魔法包含许多强大的攻击性魔法和速度有关的法术。精于此道的专家和大师可以掌握魔法的更高形式。	每种魔法效果不同	每种魔法效果不同	每种魔法效果不同
Air	空气魔法更多倾向于防守和对信息的获取，该类别也包含和飞行相关的魔法。精于此道的专家和大师可以掌握魔法的更高形式。	每种魔法效果不同	每种魔法效果不同	每种魔法效果不同
Water	水系魔法攻守兼备，着重于移动或改变事物。精于此道的专家和大师可以掌握魔法的更高形式。	每种魔法效果不同	每种魔法效果不同	每种魔法效果不同
Earth	土系魔法更多属于防守类，包含保护、约束和增强性魔法。精于此道的专家和大师可以掌握魔法的更高形式。	每种魔法效果不同	每种魔法效果不同	每种魔法效果不同
Spirit	灵魂魔法专注于涉及生与死的法术。它可以起死回生，对付亡灵，以及对人的年龄产生影响。精于此道的专家和大师可以掌握魔法的更高形式。	每种魔法效果不同	每种魔法效果不同	每种魔法效果不同
Mind	心智魔法倾向于攻击和对信息的获取，例如魅惑、恐惧和心灵感应等。精于此道的专家和大师可以掌握魔法的更高形式。	每种魔法效果不同	每种魔法效果不同	每种魔法效果不同
