各类项目标准奖励分数值														
														
标准分数	该项名称	Arm	Shld	Helm	Belt	Cape	Gaunt	Boot	Ring	Amul				
														
力量	力量类	5	0	10	10	10	10	5	10	10				
智力	思想类	5	0	10	10	10	10	5	10	10				
个性	魅力类	5	0	10	10	10	10	10	10	10				
耐力	体力类	5	0	10	10	10	10	5	10	10				
精确	精准类	5	0	10	10	10	10	5	10	10				
速度	速度类	5	0	10	10	10	10	25	10	10				
运气	运气类	5	0	10	10	10	10	10	10	10				
生命值	健康类	10	5	5	0	10	5	10	10	10				
魔法值	魔法类	10	5	10	0	10	10	10	10	10				
防御等级	防御类	20	20	10	0	10	10	5	10	10				
火系抗性	御火类	10	10	5	0	10	15	5	10	10				
电系抗性	御电类	10	10	5	0	10	15	5	10	10				
冰系抗性	御寒类	10	10	5	0	10	15	5	10	10				
毒系抗性	御毒类	10	10	5	0	10	15	5	10	10				
														
		115	70	115	70	140	155	110	140	140				
														
	每级分数提高范围					Value Mod= (+100 / Plus of Item)								
	lvl	min	max											
	1	0	0											
	2	1	5											
	3	3	8											
	4	6	12											
	5	10	17											
	6	15	25											
														
	注意武器只有特定分值													
