							
	NPC	Random	Join				
#	Professions	Chance	Cost/w	Personality	Action Text	In Party Benefit	Join Text
							
1	Smith	10	200	Merchant		可修补任何兵器，%01花费你得到的所有金币的百分之%17。	我很高兴加入你的队伍。不过你得付我200个金币，并分我所找到的金币的百分之%17。我会修补你交给我的所有兵器。
2	Armorer	10	200	Merchant		可修补任何铠甲，%01花费你得到金币的百分之%17。	我专职修补铠甲。如果你付我200个金币并分给我所找到的金币的百分之%17，你一定会觉得物有所值。
3	Alchemist	10	400	Sorcerer		可修补任何魔法物件。%01花费你得到金币的百分之%17 。	我可以修复你交给我的所有魔法物件，兵器和铠甲除外。但你必须付我400个金币，并分给我所发现的金币的百分之%17。
4	Scholar	10	500	Scholar		可鉴定任何物件，并使经验值提高五个百分点。%01花费你得到的所有金币的百分之%17。 	我在浓雾镇的魔法学校修炼了八年，钻研如何鉴定物件。你只要付我500个金币并分给我所发现的金币的百分之%17，我就加入你的队伍。
5	Guide	10	100	Adventurer		使路程缩短一天（最短为一天路程）。%01花费你得到的所有金币的 百分之%17。	我对整个恩洛斯的地形了如指掌，知道所有的近路。你付我100个金币并分给我所发现的金币的百分之%17，我就为你领路。
6	Tracker	10	200	Adventurer		使路程缩短两天（最短为一天路程）。%01花费你得到的所有金币的百分之%17 。	我对整个恩洛斯的地形了如指掌，知道所有的近路。你付我200个金币并分给我所发现的金币的百分之%17，我就为你领路。
7	Pathfinder	10	300	Adventurer		使路程缩短三天（最短为一天路程）。%01花费你得到的所有金币的百分之%17。	我对整个恩洛斯的地形了如指掌，知道所有的近路。你付我300个金币并分给我所发现的金币的百分之%17，我就为你领路。
8	Sailor	10	100	Peasant		水路缩短两天路程（最短为一天路程）。%01花费你得到的金币的百分之%17。 	啊，我可是个经验丰富的水手。如果你坐船航行，我可以使行程缩短两天的路程。不过你得付我100个金币，并分给我所找到的金币的百分之%17。
9	Navigator	10	200	Scholar		水路缩短三天的行程（最短为一天路程）。%01花费你得到的所有金币的百分之%17。	我对大陆周围的水路了如指掌，凭我的高超航海技能，我可以使航程缩短三天的路程。不过你得付我200个金币，并分给我所发现的金币的百分之%17。
10	Healer	10	500	Priest	Heal Party	每天一次加满你的所有角色的生命值。%01花费你得到的所有金币的百分之%17。	你只要付我500个金币，并分给我所发现的金币的百分之%17，我就跟你的队伍走。每天一次我将治疗你们的所有伤口，只要还没有一命归西。
11	Expert Healer	10	2000	Priest	Heal Party	每天一次加满你的所有角色的生命值，并治疗其身体状况（死亡、石化和灭绝状态除外）。%01花费你得到的所有金币的百分之%17 。	作为一个医术专家，我每天一次可以治愈你们的伤口和各种不利状态（死亡和石化状态除外）。你只要向我的教堂奉献2000个金币并分给你所发现的金币的百分之%17就行了。
12	Master Healer	10	5000	Priest	Heal Party	每天一次彻底治疗你的所有角色的身体状况并加满生命值。%01花费你得到的所有金币的百分之%17。	作为医术大师，求我治病的人络绎不绝，但我每天只能治疗一次。除了灭绝状态，我几乎可包治百病。你必须向我的神庙捐献5000个金币并分给你所找到的金币的百分之%17。
13	Teacher	10	300	Scholar		使你的经验值提高十个百分点。%01花费你得到的所有金币的百分之%17。 	我能向你解释和了解一路上的所见所闻。我的忠告可以提高你的经验值。我的要价是300个金币并分给我你所发现的金币的百分之%17。
14	Instructor	10	700	Scholar		使经验值提高十五个百分点。%01花费你得到的所有金币的百分之%17。	我能向你解释和了解一路上的所见所闻。我的忠告可以提高你的经验值。我的要价是700个金币并分给我你所发现的金币的百分之%17。
15	Arms Master	10	300	Paladin		使所有角色的兵器技能增加两点。%01花费你得到的所有金币的百分之%17。 	忠告总能使人受益。而我关于兵器和战斗的见解更是非凡。在对敌作战中，我的指点会大大提高你的兵器技能。你只要付我300个金币并分给我所发现的金币的百分之%17。
16	Weapons Master	10	400	Paladin		使所有角色的兵器技能增加三点。 %01花费你得到的所有金币的 百分之%17。	忠告总能使人受益。而我关于兵器和战斗的见解更是非凡。在对敌作战中，我的指点会大大提高你的兵器技能。你只要付我400个金币并分给我所发现的金币的百分之%17。
17	Apprentice	10	500	Sorcerer		所有角色的魔法技能增加两点。%01花费你得到的所有金币的百分之%17。	我会为你指点迷津，提高你的魔法技能，减轻你的负担。我的要价是500个金币并分给我你所发现的金币的百分之%17。
18	Mystic	10	1000	Sorcerer		所有角色的魔法技能增加三点。%01花费你得到的所有金币的百分之%17。	我会为你指点迷津，大大提高你的魔法技能，传授你锦囊妙计。我的要价是1000个金币并分给我所发现的金币的百分之%17。
19	Spell Master	10	2000	Sorcerer		所有角色的魔法技能增加四点。%01花费你得到的所有金币的百分之%17。	我会为你指点迷津，大大提高你的魔法技能，传授你锦囊妙计。我的要价相当便宜，2000个金币并分给我所发现的金币的百分之%17。
20	Trader	10	100	Merchant		你的所有角色的经商技能增加四点。%01花费你得到的所有金币的百分之%17。	有些时候人们总是碍于面子不喜欢和别人讨价还价。我却可以在你和商人做生意时给你些忠告。我的要价是100个金币并分给我所发现的金币的百分之%17。
21	Merchant	10	200	Merchant		你的所有角色的经商技能增加六点。%01花费你得到的所有金币的百分之%17。	作为一个资深的商人行会成员和一个精明的商人，我对经商的伎俩了如指掌。我会帮助你和别人讨价还价，得到一个合理的价位。我的要价是200个金币并分给我所发现的金币的百分之%17。
22	Scout	10	300	Thief		你的所有角色的洞察术增加六点。%01花费你得到的所有金币的百分之%17。	我的目光锐利，嗓音洪亮，可以在危险来临前事先警告你，说不定还能救你们一命。我的要价是300个金币并分给我所发现的金币的百分之%17。
23	Counselor	10	200	Official		你的所有角色的交际术增加四点。%01花费你得到的所有金币的百分之%17。	我一生出入于官场及法院，知道如何博得别人的同情。如果你付我200个金币并分给我所发现的金币的百分之%17，我会教你这套东西的。
24	Barrister	10	300	Noble		你的所有角色的交际术增加八点。%01花费你得到的所有金币的百分之%17。	我一生出入于官场及法院，知道如何博得别人的同情。如果你付我300个金币并分给我所发现的金币的百分之%17，我会教你这套东西的。
25	Tinker	10	200	Peasant		你的所有角色的陷阱拆卸术增加四点。%01花费你得到的所有金币的百分之%17。	我对修理工具和开锁等技能都略知一二。如果你付我200个金币并分给我所发现的金币的百分之%17，我就尽心尽力为你效劳。
26	Locksmith	10	300	Merchant		你的所有角色的陷阱拆卸术增加六点。%01花费你得到的所有金币的百分之%17。	开锁可是门技能活，不是每个人都能轻易学会的。在历险中你们一定需要一个专家锁匠为你们解决问题。如果你们付我300个金币并分给我所发现的金币的百分之%17，我就为你们效劳。
27	Fool	10	100	Fanatic		你的所有角色的运气值增加五点。%01花费你得到的所有金币的百分之%17。	众神总对小狗、孩子和傻瓜们青睐有加。我就是个傻瓜，让我与你们同行，说不定众神也会宠爱你们。我只要100个金币并分给我所发现的金币的百分之%17。
28	Chimney Sweep	10	200	Peasant		你的所有角色的运气值增加二十点。%01花费你得到的所有金币的百分之%17。	人们总说清扫烟囱很幸运。我不知道为什么会这样说——清扫烟囱可是件力气活。你们如果付我200个金币并分给我所发现的金币的百分之%17，我会跟你们走。也许我能带给你们好运。
29	Porter	10	100	Peasant		安营扎寨时可减少一天食物的消耗量（最少要消耗一天食物）。%01花费你得到的所有金币的百分之%17。	如果你们要找人为你们在旅途中提行李或做饭，那你们可找对人了。我只要100个金币并分给我所发现的金币的百分之%17。
30	Quarter Master	10	200	Adventurer		安营扎寨时可减少两天的食物的消耗量（最少要消耗一天食物）。%01花费你得到的所有金币的百分之%17。	只要付我200个金币并分给我所发现的金币的百分之%17，我会为你们安排一路的作息时间，安营扎寨。你会知道我是物有所值的。
31	Factor	10	500	Official		使你找到的金币数量增加十个百分点。%01花费你得到的金币的百分之%17 。	付我500个金币并分给我所发现的金币的百分之%17，我会为你们理财，发现奇珍异宝。我可以使你们的财产增加五个百分点。
32	Banker	10	1000	Noble		使你找到的金币数量增加二十个百分点。%01花费你得到的金币的百分之%17 。	付我1000个金币并分给我所发现的金币的百分之%17，我会为你们理财，发现奇珍异宝。我可以使你们的财产增加十个百分点。
33	Cook	10	300	Peasant	Prepare Meal	每天生产一天的食物（最多为十四天）。%01花费你得到的所有金币的百分之%17。	你们可曾想过要个高明的厨师？付我300个金币并分给我所发现的金币的百分之%17，我会增加你们的食物量并为队伍做饭。你不会遗憾的，人们都对我做的菜赞不绝口！
34	Chef	10	400	Noble	Prepare Feast	每天生产两天的食物（最多为十四天）。%01花费你得到的所有金币的百分之%17。	我曾在恩洛斯最好的厨师学校学习过。如果你们付我400个金币并分给我所发现的金币的百分之%17，我就给你们做饭。
35	Horseman	10	100	Adventurer		使驿站旅程减少两天路程（最短为一天路程）。%01花费你得到的所有金币的百分之%17。 	我看你对驾驭马匹一窍不通，我很乐意在你从驿站租马时为你们照料马匹。在我的帮助下你们可以更快的到达目的地。我的要价是100个金币并分给我所发现的金币的百分之%17。
36	Bard	10	1000	Paladin		在单方向上给予声誉一个固定的附加值。%01花费你得到的所有金币的百分之%17。	到哪里我都以一个著名音乐家的身份而名震天下。如果我和你在一起，会对你的声誉有所影响。我只要1000个金币并分给我所发现的金币的百分之%17。
37	Enchanter	10	1000	Sorcerer		使你抵御四种元素魔法的能力提高20。%01花费你得到的所有金币的百分之%17。	恩洛斯土地上到处是危险的巫师。他们大多会施展可怕的元素魔法。像火系魔法和光明魔法。但我知道抵御这些魔法的魔法，并能使这种魔法持续有效。如果与你们同行我会施展该项魔法。我的要价是1000个金币并分给我所发现的金币的百分之%17。
38	Cartographer	10	200	Sorcerer		使魔力神眼的魔法技能一直保持专家级水平。%01花费你得到的所有金币的百分之%17。	付我200个金币并分给我所发现的金币的百分之%17，我能持续施展专家级水平的魔力神眼魔法。
39	Wind Master	10	2000	Sorcerer	Wind Walk	每天施展一次飞行奇术魔法（持续时间两小时）。%01花费你得到的所有金币的百分之%17。	你想飞行吗？让我与你们同行我每天一次向你们施展飞行奇术魔法。我的要价是2000个金币并分给我所发现的金币的百分之%17。很便宜，不是吗？
40	Water Master	10	1000	Sorcerer	Cross Water	每天施展一次凌波微步魔法（持续时间三小时）。%01花费你得到的所有金币的百分之%17。	古老预言传说有能在水面行走的强大魔法，而我重新得到了这个秘密。我每天一次可以向你们施展凌波微步的魔法。你只要付我1000个金币并分给我所发现的金币的百分之%17。
41	Gate Master	10	2000	Sorcerer	Gate to Town	每天一次施展大师级的时空之门魔法技能。%01花费你得到的所有金币的百分之%17。 	有些魔法能够复制恩洛斯的自然魔力，时空之门就是其中之一。我对这项魔法的理解已达到大师级水平。如果雇佣我，我每天一次为你们施展施展该项魔法。我的要价为2000个金币并分给我所发现的金币的百分之%17。
42	Acolyte	10	200	Priest	Bless Party	每天一次施展大师级圣灵佑佐的魔法技能（持续时间两小时）。%01花费你得到的所有金币的百分之%17。	向我的神庙捐献200个金币并分给神庙所发现的金币的百分之%17，我就和你们一起闯荡江湖并每天施展一次圣灵佑佐魔法。
43	Piper	10	300	Paladin	Play Tune	每天一次施展大师级天赐神力的魔法技能（持续时间两小时）。%01花费你得到的所有金币的百分之%17。	所有的部队都要个号手以便在战斗中鼓舞斗志。你的队伍也要像我这样一个人。如果你付我300个金币并分给我所发现的金币的百分之%17，我就跟你们走。
44	Explorer	10	100	Adventurer		所有旅程减少一天路程（最短为一天路程）。%01花费你得到的所有金币的百分之%17。	以我多年的旅行经验，无论你们走陆路还是水路我都可以使你们缩短一天的路程。我只要100个金币并分给我所发现的金币的百分之%17。
45	Pirate	10	500	Thief		航船路程减少两天旅程。找到的金币数量增加百分之十，声誉下降一个等级。%01花费你得到的所有金币的百分之%17。 	啊，我一生追求在海上自由航行的那种感觉，知道怎样在海上抄近道以加快速度，并且知道怎样理财。但这两天我挺不顺心的，如果你付我500个金币并分给我所发现的金币的百分之%17，我就死心塌地为你效劳。
46	Squire	10	600	Paladin		每个角色的铠甲和兵器技能提高两个点数。%01花费你得到的所有金币的百分之%17。	每个骑士都要有个随从为他们看管兵器和铠甲。如果你付我600个金币并分给我所发现的金币的百分之%17，我就作你的随从。
47	Psychic	10	400	Scholar		每个角色的洞察术提高五点，运气值增加十点。%01花费你得到的所有金币的百分之%17。 	我一直在钻研如何增加运气。如果你付我400个金币并分给我所发现的金币的百分之%17，我就增加你的运气。
48	Gypsy	10	100	Thief		休息时减少一天的食物消耗量（最少消耗一天的食物）。每个角色的经商技能提高三点，声誉下降一个等级。%01花费你得到的所有金币的百分之%17。	我的一生就是在路上踯躅而行。如果你付我100个金币并分给我所发现的金币的百分之%17，我将传授你旅行的技巧和如何及时应变。
49	Negotiator	10	500	Official		每个角色的经商术和交际术提高四点。%01花费你得到的所有金币的百分之%17。	并不是每个人都知道如何与陌生人打交道。而这正是我的特长。如果让我与你们同行，我能教你如何融入这个社会。我的要价是500个金币并分给我所发现的金币的百分之%17。
