Text Number From NPC Events.Doc		Notes
#	标题	
1	信件	
2	信件	
3	大耳怪前哨	
4	大耳怪前哨	
5	邪恶祭祀	
6	邪恶祭祀	
7	邪恶祭祀	
8	鸣月	
9	信件	
10	科尔本爵士	
11	科尔本爵士	
12	高级议会	Need text for speaking with Wilbur Humphrey before talking to the traitor.
13	十字军	
14	十字军	
15	大英雄	
16	大英雄	
17	大英雄	
18	厌倦	
19	马戏团	
20	失落的正文20	
21	请原谅，陛下	
22	请原谅，陛下	
23	失落的正文23	
24	马戏团	
25	阿基巴德叔叔	
26	第三只眼	
27	阿基巴德叔叔	
28	阿基巴德叔叔	What should we do with the Archibald statue and the release method?
29	空	
30	释放阿基巴德	
31	银舵	
32	贼盗王子	
33	贼盗王子	
34	高级议会	
35	神父	
36	神父	
37	大主教	
38	大主教	
39	大主教	
40	大魔法师	
41	探险历程	
42	任务	
43	任务	
44	此处放正文44	Shrine event
45	我丢了重要物件	
46	暗示	
47	普渡众生	
48	普渡众生	
49	普渡众生	
50	此处放正文50	Shrine event
51	议会任务	
52	议会任务	
53	此处放正文	Telepathy
54	议会任务	
55	巫师	
56	巫师	
57	此处放正文57	Fountain event
58	巫师	
59	大魔法师	
60	大魔法师	
61	议会任务	
62	议会任务	
63	此处放正文63	Mini-dungeon event
64	议会任务	
65	豪侠	
66	任命	
67	豪侠	
68	豪侠	
69	豪侠	
70	勇士	
71	勇士	
72	勇士	
73	水晶地点	
74	记忆水晶	
75	此处放正文75	Memory Crystal event
76	控制中心	
77	克里根	
78	古迹	
79	钱财
80	钱财
81	钱财
82	祭司
83	祭司
84	大祭司
85	大祭司
86	大祭司
87	冬天
88	冬天
89	冬天
90	冬天
91	魔箭手
92	魔箭手
93	神箭手
94	神箭手
95	冬天
96	冬天
97	冬天
98	我的俘虏
99	固定价格
100	神箭手
101	席尔瓦托恩的拒绝
102	席尔瓦托恩的治愈
103	皇冠的服务
104	规定
105	价格
106	指导
107	花费50金币参加力量比赛
108	花费50金币参加耐力比赛
109	花费50金币参加速度比赛
110	花费50金币参加精确比赛
111	花费50金币参加运气比赛
112	花费50金币参加智力比赛
113	锣
114	骨头
115	天然磁石
116	鹰身女妖的羽毛
117	金字塔
118	桶装酒
119	牙齿
120	四叶草
121	琥珀
122	任务
123	任务
124	欢迎
125	年轻喷泉
126	指导
127	指导
128	指导
129	用金字塔交换铠甲
130	用金字塔交换兵器
131	用金字塔交换物品
132	用酒桶换铠甲
133	用酒桶换兵器
134	用酒桶换物品
135	用神灯换珠宝
136	此处放正文
137	此处放正文
138	此处放正文
139	此处放正文
140	此处放正文
141	此处放正文
142	此处放正文
143	此处放正文
144	此处放正文
145	此处放正文
146	此处放正文
147	此处放正文
148	此处放正文
149	此处放正文
150	此处放正文
151	此处放正文
152	此处放正文
153	此处放正文
154	此处放正文
155	此处放正文
156	此处放正文
157	此处放正文
158	此处放正文
159	此处放正文
160	此处放正文
