Stats Descriptions	说明
Might	力量值反映角色整体强壮程度、实力，以及发挥该实力的能力。角色力量值越高，在战斗中的对敌人造成的杀伤越大。
Intellect	智力反映角色推理和理解复杂抽象概念的能力。智力能提高巫师、弓箭手和僧侣的魔法值。
Personality	个性反映角色的意志力和个人魅力。个性能决定牧师、游侠和僧侣的魔法值。
Endurance	耐力衡量角色的身体韧性和耐久性。耐力越高，角色的生命值越大。
Accuracy	精确反映角色的准确性和手眼协调能力。高精确度将允许角色在战斗中更频繁地击中怪物。
Speed	速度是衡量角色的行动迅速程度的指标。速度越快，角色的防御等级越高，受到攻击后的恢复越快。
Luck	运气值在整个游戏中有微妙的影响，它更多表现在对魔法攻击的防御能力和对陷阱伤害的回避能力上。
Hit Points	生命值表示你的角色在昏迷或死亡之前可以承受多大的伤害。生命值小于或等于0时角色会昏迷。好好休息8小时后可恢复元气。
Armor Class	防御等级是衡量敌人击中角色难度的指标。防御等级越高，回避攻击的概率就越大。
Spell Points	魔法值用于施展魔法。通常施展每个魔法都需要扣除一定的魔法值，魔法值在好好休息8小时后可自动恢复。
Condition	状态显示角色正在遭受的负面影响，如中毒、患病、死亡等。许多状态都会严重削弱角色的战斗能力，必须尽快治疗。
Quick Spell	备用魔法是指按S键或按住Ctrl键单击目标，就可快速发射的魔法。想要设置备用魔法，可以打开魔法全书，选择一种魔法，然后点击魔法全书下方“设为备用魔法”的按钮。
Age	年龄显示角色的当前岁数。第一个数字是角色的暂时年龄，后面一个是真实年龄，某些怪兽和魔法可以使角色的暂时年龄大于真实年龄。
Level	等级表示角色的训练程度。等级越高，生命值和魔法值越高。
Experience	经验值表明角色的江湖阅历。达到一定的经验值（再花一点钱），就可在遍布各地的训练所进行训练，提高角色等级，并获取用于提高各项技能等级的技能点数。
Attack Bonus	攻击点数会影响你的角色用武器击中怪物的几率，它取决于技能等级、魔法、精确等各种因素。
Attack Damage	攻击杀伤力会影响你的角色用武器攻击怪物造成的伤害，它取决于力量、魔法、某些达到专家或大师级的兵器技能的等级等各种因素。
Shoot Bonus	射击点数会影响你的角色用弓箭击中怪物的几率，它取决于技能等级、魔法、精确等各种因素。
Shoot Damage	射击杀伤力会影响你的角色用弓箭攻击怪物造成的伤害，它取决于魔法、武器加成等各种因素。
Fire	火系抗性代表角色降低敌人对自己的火系伤害的能力，虽然很高的火系抗性可以大大减少火系伤害，但它无法让你的角色对火免疫。
Electricity	电系抗性代表角色降低敌人对自己的电系伤害的能力，虽然很高的电系抗性可以大大减少电系伤害，但它无法让你的角色对电免疫。
Cold	冰系抗性代表角色降低敌人对自己的冰系伤害的能力，虽然很高的冰系抗性可以大大减少冰系伤害，但它无法让你的角色对冰免疫。
Poison	毒系抗性代表角色降低敌人对自己的毒系（或酸性）伤害的能力，虽然很高的毒系抗性可以大大减少毒系伤害，但它无法让你的角色对毒免疫。
Magic	魔系抗性代表角色降低敌人对自己的魔系伤害的能力，虽然很高的魔系抗性可以大大减少魔系伤害，但它无法让你的角色对魔免疫。
Skill Points	技能点数可在角色训练达到新等级时获得。你可以随时在技能上花费技能点数，以提升该技能的等级。
