Class	Descriptions	Notes
Knight	剑客注定戎马一生，是武功最高的战士。只要技术等级修炼到足够水准，他们可以使用所有兵器，穿着所有盔甲，成为最无畏的勇士。游戏开始时他们的生命值最高，而且每次升级所获生命值也最多。剑客可以升级为豪侠(每个等级提高两点生命值)，最后升级为无所畏惧的勇士(每个等级再增加两点生命值)。剑客对魔法一窍不通，可能永远也学不会(也不需要)魔法和冥想术。	Knight
Cavalier	豪侠由剑客升级而来，他们可以尽情使用任何兵器和盔甲，但无法学会魔法。豪侠每个等级有两点额外的生命值，一旦转职为勇士或暗黑骑士，每个等级可再加两点。	Knight
Champion	勇士是正义的战士，是剑客转职的最高等级，他们可以尽情使用任何兵刃和盔甲，但不能学会魔法。勇士每个等级有四点额外的生命值。他们能达到钢甲、盾牌、剑和长矛的宗师级水平。	Knight
Black Knight	暗黑骑士是剑客转职的最高等级，他们站在邪恶一方。虽然可以尽情使用任何兵刃和盔甲，但不能学会魔法。暗黑骑士每个等级有四点额外的生命值。他们能达到钢甲、盾牌、剑和长矛的宗师级水平。	Knight
Thief	盗贼的攻击力只属一般，他们的专长是使用工具，而且个个心灵手巧，最擅长拆除陷井和进行偷窃。不过，虽然他们的攻击力和防御力比不上剑客，但还是远胜于那些使用魔法的职业。盗贼转职以后能学会元素魔法，不过可别指望他们会精通。	Thief
Rogue	神偷由盗贼转职而来，能够使用魔法。他们每个等级有两点额外的生命值和一点额外的魔法值。	Thief
Spy	密探是盗贼转职的最高等级，他们站在正义一方。他们每个等级有四点额外的生命值和一点额外的魔法值。他们能达到皮甲、匕首、陷井拆卸术和偷窃术的宗师级水平。	Thief
Assassin	杀手是盗贼转职的最高等级，他们站在邪恶一方。他们每个等级有四点额外的生命值和一点额外的魔法值。他们能达到皮甲、匕首、陷井拆卸术和偷窃术的宗师级水平。	Thief
Monk	僧侣的强项是近身肉搏，他们的攻击力仅次于剑客。转职为隐士以后，他们还能学会肢体魔法、心智魔法和灵魂魔法。	Monk
Initiate	隐士由僧侣转职而来。他们能学会肢体魔法、心智魔法和灵魂魔法，每个等级有一点额外的生命值和一点额外的魔法值。	Monk
Master	智者是僧侣转职的最高等级，他们站在正义一方，每个等级有三点额外的生命值和一点额外的魔法值。他们能达到肢体魔法、心智魔法和灵魂魔法的专家级水平以及躲避、空手、棍棒、学习术和健身术的宗师级水平。	Monk
Ninja	忍者是僧侣转职的最高等级，他们站在邪恶一方，每个等级有三点额外的生命值和一点额外的魔法值。他们能达到躲避、空手、棍棒、学习术和健身术的宗师级水平。	Monk
Paladin	游侠处于剑客和牧师之间，能运用两者的技术，但精湛程度稍逊。象剑客一样，他们可以使用任何兵器，穿着所有盔甲，但在开始时尚不能随意选择。一开始他们拥有灵魂魔法，并可逐渐研习心智魔法和肢体魔法。他们能学会基础的光明魔法和暗黑魔法，但无法学习元素魔法。	Paladin
Crusader	十字军由游侠转职而来。他们可以使用各种兵刃，穿着任何盔甲，并且能学习灵魂魔法、心智魔法和肢体魔法。他们每个等级享有一点额外生命值和魔法值，转职后还可再多获得一点生命值和魔法值。	Paladin
Hero	英雄是游侠转职的最高等级，他们站在正义一方，每个等级有两点额外的生命值和魔法值。他们能达到修补术、锤棍、盾牌的宗师级水平，还能学习光明魔法。	Paladin
Villain	魔头是游侠转职的最高等级，他们站在邪恶一方，每个等级有两点额外的生命值和魔法值。他们能达到修补术、锤棍、盾牌的宗师级水平，还能学习暗黑魔法。	Paladin
Archer	弓箭手介于剑客和术士之间，可以使用除锤棍以外的任何兵器，但最擅长的当然是弓箭。不过，他们不能学习盾牌和钢甲的技能。作为补偿，弓箭手可以学习所有的元素魔法，虽然在第二次转职后可以学习光明魔法和暗黑魔法，但绝对不能精通。	Archer
