						
	NPC	Join				
#	Professions	Cost/w	Action Text	In Party Benefit	Join Text	Dismiss Text
						
1	铁匠	200		可修复所有兵器，%01拿走你每次所得金币的%17％。	我很高兴加入你的队伍。不过你得付我200个金币，并分我所找到的金币的%17％。我会修补你交给我的所有兵器。	哦，别解雇我，我会好好干的！
2	铸甲匠	200		可修复所有盔甲，%01拿走你每次所得金币的%17％。	我专职修补铠甲。如果你付我200个金币并分给我所找到的金币的%17％，你一定不会后悔的。	出什么事了，是我工作不努力吗？
3	炼金术士	400		可修复所有魔法物品，%01拿走你每次所得金币的%17％。	我可以修复你交给我的所有魔法物件，兵器和铠甲除外。但你必须付我400个金币，并分给我所发现的金币的%17％。	求求你了，主人。别解雇我，我会尽力的。
4	学者	500		可鉴定任何物品，并使所得经验值提高5个百分点。%01拿走你每次所得金币的%17％。	我在魔法学校拜托马斯·格雷为师修炼了八年，钻研如何鉴定魔法物件。你只要付我500个金币并分给我所发现的金币的%17％，我就加入你的队伍。	为什么不要我了，我的鉴定术没用吗？
5	向导	100		使到任何一地的路程缩短1天（最短为1天）。%01拿走你每次所得金币的%17％。	我对整个大陆的地形了如指掌，知道所有的近路和小道。你付我100个金币并分给我所发现的金币的%17％，我就为你领路。	我的要价已经很低了，你连%17％都付不起吗？
6	带路人	200		使到任何一地的路程缩短2天（最短为1天）。%01拿走你每次所得金币的%17％。	我对整个大陆的地形了如指掌，知道所有的近路和小道。你付我200个金币并分给我所发现的金币的%17％，我就为你领路。	我的要价已经很低了，你连%17％都付不起吗？
7	指路人	300		使到任何一地的路程缩短2天（最短为1天）。%01拿走你每次所得金币的%17％。	我对整个大陆的地形了如指掌，知道所有的近路和小道。你付我300个金币并分给我所发现的金币的%17％，我就为你领路。	我的要价已经很低了，你连%17％都付不起吗？
8	水手	100		使水路行程缩短2天（至少为1天）。%01拿走你每次所得金币的%17％。	啊，我可是个经验丰富的水手。如果你录用我，我可以使你坐船航行的航程缩短2天。不过你得付我100个金币，并分给我所找到的金币的%17％。	什么，你就把我丢在这儿了？
9	领航员	200		使水路行程缩短3天（至少为1天）。%01拿走你每次所得金币的%17％。	我对大陆周围的水路了如指掌，凭我的高超航海技术，我可以使航程缩短3天的路程。不过你得付我200个金币，并分给我所发现的金币的%17％。	为什么要这样对待我，咱们再好好谈谈吧！
10	医师	500	救死扶伤	每天一次恢复你的所有角色的生命值。%01拿走你每次所得金币的%17％。	你只要付我500个金币，并分给我所发现的金币的%17％，我就跟你的队伍走。每天一次我将治疗你们的所有伤员，只要还没有一命归西。	怎么不要我了，谁会为你们疗伤呢？
11	医学专家	2000	救死扶伤	每天一次恢复你的所有角色的生命值，并使其身体处于正常状况（处于死亡，被石化或被灭绝状态则不能恢复）。%01拿走你每次所得金币的%17％。	作为一个医学专家，我每天一次可以治愈你们的伤口和各种不利状态(死亡和石化状态除外)。你只要向我的教堂奉献2000个金币并分给你所发现的金币的%17％就行了。	怎么不要我了，谁会为你们疗伤呢？
12	医术大师	5000	救死扶伤	每天一次彻底恢复你的所有角色的身体状况，并加满生命值。%01拿走你每次所得金币的%17％。	作为医术大师，求我治病的人络绎不绝，但我每天只能治疗一次。除了灭绝状态，我几乎可包治百病。你必须向我的神庙捐献5000个金币并分给我你所找到的金币的%17％。	怎么不要我了，谁会为你们疗伤呢？
13	教练	300		使你的经验值提高10个百分点。%01拿走你每次所得金币的%17％。	我能向你解释和了解一路上的所见所闻。我的忠告可以提高你的经验值。我的要价是300个金币并分给我你所发现的金币的%17％。	没有我的指点迷津，你的进步会慢得多！别解雇我。
14	导师	700		使你的经验值提高15个百分点。%01拿走你每次所得金币的%17％。	我能向你解释和了解一路上的所见所闻。我的忠告可以提高你的经验值。我的要价是700个金币并分给我你所发现的金币的%17％。	没有我的指点迷津，你的进步会慢得多！别解雇我。
15	兵器专家	300		使所有角色的兵器技术提高2点。%01拿走你每次所得金币的%17％。	忠告总能使人受益。而我关于兵器和战斗的见解更是非凡。在对敌作战中，我的指点会大大提高你的兵器技术。你只要付我300个金币并分给我所发现的金币的%17％。	你将失去我的忠告，再考虑考虑吧！
16	兵器大师	400		使所有角色的兵器技术提高3点。%01拿走你每次所得金币的%17％。	忠告总能使人受益。而我关于兵器和战斗的见解更是非凡。在对敌作战中，我的指点会大大提高你的兵器技术。你只要付我400个金币并分给我所发现的金币的%17％。	你将失去我的忠告，再考虑考虑吧！
17	低级魔法师	500		使所有角色元素魔法（水、火、土、气）技术值提高2点。%01拿走你每次所得金币的%17％。	我会为你指点迷津，稍微提高你的魔法技术，让你免受没有魔法之苦。我的要价是500个金币并分给我你所发现的金币的%17％。	录用我的花费这么低，你又可以学习无穷的魔法技术，为什么不要我了？
18	中级魔法师	1000		使所有角色元素魔法（水、火、土、气）技术值提高3点。%01拿走你每次所得金币的%17％。	我会为你指点迷津，大大提高你的元素魔法技术，传你几手绝招。我的要价是1000个金币并分给我你所发现的金币的%17％。	录用我的花费这么低，你又可以学习无穷的魔法技术，为什么不要我了？
19	高级魔法师	2000		使所有角色元素魔法（水、火、土、气）技术值提高4点。%01拿走你每次所得金币的%17％。	我会为你指点迷津，大大提高你的元素魔法技术，传你几手绝招。我的要价是2000个金币并分给我你所发现的金币的%17％。	录用我的花费这么低，你又可以学习无穷的魔法技术，为什么不要我了？
20	商人	100		使所有角色的经商技术提高4点。%01拿走你每次所得金币的%17％。	有些时候人们总是碍于面子不喜欢和别人讨价还价。我却可以在你和商人做生意时给你些忠告。我的要价是100个金币并分给我所发现的金币的%17％。	不要我了，开玩笑吧！没有我，你的金币就少得多了！
21	精明商人	200		使所有角色的经商技术提高6点。%01拿走你每次所得金币的%17％。	作为一个资深的商人行会成员和一个精明的商人，我对经商的伎俩了如指掌。我会帮助你和别人讨价还价，得到一个合理的价位。我的要价是200个金币并分给我所发现的金币的%17％。	不要我了，开玩笑吧！没有我，你的金币就少得多了！
