										
#	Lvl	Fire Spells	Res	Short Name	Spell Description	Normal	Expert	Master	Grand Master	Stats
1	1	光明之火	none	光明之火	光明之火能扩大你的队伍在黑暗中的可视范围。	持续时间为施法者的火魔法等级乘以1小时	使光线更明亮	光线最明亮	快速恢复	P
2	2	霹雳火焰	Fire	霹雳火焰	可对单一目标发射火焰。施法者每提高一个火魔法等级可以增加1-3点的伤害值。它发射消耗低，对自身安全，攻击有效性强，是术士的可靠的攻击魔法。	恢复很慢	快速恢复	快速恢复	恢复最快	PMEC
3	3	御火奇术	none	御火奇术	可以增加所有队员的防火能力，防御值是施法者火魔法等级的倍数。	防御值是施法者火魔法等级的1倍	防御值是施法者火魔法等级的2倍	防御值是施法者火魔法等级的3倍	防御值是施法者火魔法等级的4倍	P
4	4	赤焰光环	none	赤焰光环	使一件武器带有火魔法属性。持续时间为施法者的火魔法等级乘以1小时。	使一件武器带有火焰属性	使一件武器带有烈火属性	使一件武器带有地狱火属性	使一件武器永久带有地狱火属性	P
5	5	攻击加速	none	攻击加速	减少队员施放魔法或进行攻击后的所需恢复的时间。此魔法即时对整个队伍生效，但持续时间过后队员将处于虚弱状态。	无	持续时间为施法者火魔法等级乘以1分钟再加1小时	持续时间为施法者火魔法等级乘以3分钟再加1小时	持续时间为施法者火魔法等级乘以4分钟再加1小时	PM
6	6	连珠火球	Fire	连珠火球	这是另一项深受术士们青睐的武器。火球可攻击单个怪兽，但爆炸时会伤害所有爆炸范围内的目标。如果距离太近，你自己也可能受到伤害。其攻击力为火魔法等级乘以1-6。	无	恢复速度一般	快速恢复	恢复最快	PMEC
7	7	烈火爆雷	Fire	烈火爆雷	在地上设下埋伏，敌人走过时就会爆炸。直到你离开地图它们才会消失。	无	每次最多可以使用五个。施法者每提高一个火魔法等级可以增加1-6点杀伤力	每次最多可以使用七个。施法者每提高一个火魔法等级可以增加1-8点的杀伤力	每次最多可以使用九个。施法者每提高一个火魔法等级可以增加1-10点的杀伤力	PC
8	8	怒火焚身	Fire	怒火焚身	在你的队伍周围罩上一层烈火以伤害敌人。施法者每提高一个火魔法等级可以增加1-6点的杀伤力。	无	无	持续时间是施法者火魔法等级乘以1分钟	持续时间是施法者火魔法等级乘以10分钟	PC
9	9	流星火雨	Fire	流星火雨	招唤天空的流星降落在所选中的目标周围。施法时不能离目标太近，以免危及自身。每个流星的杀伤力为施法者的火魔法等级加上8点。只能在室外使用。	无	无	召唤16个流星攻击敌人。恢复速度一般	可召唤20个流星。快速恢复	PMEC
10	10	地狱烈焰	Fire	地狱烈焰	可以把视野中的所有目标全部付之一炬，并不会危及自身。最适于消灭大批蜂拥而来的怪兽。杀伤力为火魔法等级加上12点。它只能在室内使用。	无	无	恢复速度一般	快速恢复	PC
11	11	烈火威弹	Fire	烈火威弹	它是最具威力的单一目标攻击魔法之一。威力极大，只有最强大的怪兽才有可能侥幸逃生。杀伤力为施法者的火魔法等级的1-15倍再加15点。	无	无	无	对单个目标造成巨大的伤害	PMC
	Lvl	Air Spells	Res		Spell Description					
12	1	魔力神眼	none	魔力神眼	魔法眼能在屏幕右上角产生自动地图，标明怪兽所处位置和室外的其他值得一去的地点。持续时间为空气魔法等级乘以1小时。	只显示地形和怪兽	显示宝物	显示“值得一去”的地点	不消耗魔法值	P
