2D Events by Type ( NPC's present are from NPC database)																		Schedules		Other Exits		Questbit	Enter																																										
#	#	Type	Map	Picture	Name	Proprieter Name	Title	Picture	State	Rep	Per	Val	A	B	C	Notes:	Notes(2):	Open	Closed	Pic	Map	Restrictions	Text																																										
1	1	Weapon Shop	1	57	武士之刃	托尔	铁匠	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
2	2	Weapon Shop	2	57	百炼精钢	赛达	铁匠	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
3	3	Weapon Shop	3	57	皇家锻造场	艾蒙德	铁匠	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
4	4	Weapon Shop	4	62	猎人小屋	加德	铁匠	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
5	5	Weapon Shop	7	60	神圣之剑	查尔斯	铁匠	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
6	6	Weapon Shop	8	58	怨恨之剑	斯伯特	铁匠	0	0	0	0	4	2		28			18	6	0	0	0	0																																										
7	7	Weapon Shop	10	61	嗜血之剑	贺斯	铁匠	0	0	0	0	3	1.5		14			18	6	0	0	0	0																																										
8	8	Weapon Shop	13	57	汪尔达的宝剑和弓箭	汪尔达	铁匠	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
9	9	Weapon Shop	14	62	百发百中的弓箭	罗宾	铁匠	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
10	10	Weapon Shop	39	59	精良战斧	阿尔塞	铁匠	0	0	0	0	2.5	1		14			6	18	0	0	0	0																																										
11	11	Weapon Shop	21	57	宝剑之屋	罗贝特	铁匠	0	0	0	0	2.5	1		21			6	18	0	0	0	0																																										
12	12	Weapon Shop	13	57	精制武器	忒林	铁匠	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
13	13	Weapon Shop	0	57	防御之神	麦德	铁匠	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
14	14	Weapon Shop	0	57	铁木长矛	斯麦泽	铁匠	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
15	1	Armor Shop	1	1	埃里克的铠甲店	埃里克	铸甲匠	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
16	2	Armor Shop	2	1	农夫铠甲店	彼德	铸甲匠	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
17	3	Armor Shop	3	1	皇家铠甲店	戴维	铸甲匠	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
18	4	Armor Shop	4	6	鹿皮和盾牌	赛伯	铸甲匠	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
19	5	Armor Shop	7	4	荣誉铠甲店	凯斯伯	铸甲匠	0	0	0	0	4	2		28			6	18	0	0	0	0																																										
20	6	Armor Shop	8	2	怨恨之盾	麦莱斯	铸甲匠	0	0	0	0	4	2		28			18	6	0	0	0	0																																										
21	7	Armor Shop	10	5	皮革店	凯斯	铸甲匠	0	0	0	0	3	1.5		14			18	6	0	0	0	0																																										
22	8	Armor Shop	13	1	迷幻之店	布朗达	铸甲匠	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
23	9	Armor Shop	14	6	防护之店	泰伦斯	铸甲匠	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
24	10	Armor Shop	39	3	精制肩甲	亚瑟	铸甲匠	0	0	0	0	2.5	1		14			6	18	0	0	0	0																																										
25	11	Armor Shop	21	1	泰尔的铠甲和盾牌	泰尔	铸甲匠	0	0	0	0	2.5	1		21			6	18	0	0	0	0																																										
26	12	Armor Shop	13	1	精制铠甲和盾牌	埃尔莫	铸甲匠	0	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
27	13	Armor Shop	0	1	绿林锻造场	拉里克	铸甲匠	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
28	14	Armor Shop	0	1	奇妙手套	莫尔根	铸甲匠	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
29	1	Magic Shop	1	21	神奇的绿宝石	莎斯顿	魔法师	0	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
30	2	Magic Shop	2	21	奥托的神奇宝物	奥托	魔法师	0	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
31	3	Magic Shop	3	21	皇家魔法商店	纳斯恩	魔法师	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
32	4	Magic Shop	4	26	自然魔法商店	詹姆斯	魔法师	0	0	0	0	2	1		21			6	18	0	0	0	0																																										
33	5	Magic Shop	5	22	死亡之门	瑞格	魔法师	0	0	0	0	3	1.5		28			18	6	0	0	0	0																																										
34	6	Magic Shop	6	24	古代魔法商店	赛耐尔	魔法师	0	0	0	0	3	1.5		28			6	18	0	0	0	0																																										
