Global Text	

0	防御等级
1	命中率
2	暗黑骑士
3	密探
4	害怕
5	年龄
6	空气
7	炼金术士
8	方尖塔记录
9	祝贺你！
10	时空之门
11	盔甲
12	防御等级
13	杀手
14	睡着
15	%d在%s中判断失败
16	自动记录
17	经验值
18	攻击
19	可以使用
20	可选技能
21	僧侣
22	奖励
23	奖励  
24	防御火系魔法
25	存款
26	隐士
27	忍者
28	魔头
29	肢体
30	剩余点数
31	巡逻兵
32	破损物品
33	游骑兵
34	取消
35	时空之门至%s
36	%s不能这样使用 
37	所用时间：
38	魔法全书
39	选择目标
40	赏金猎人
41	职业
42	公务员
43	寒冷
44	光明神父
45	状态
46	暗黑神父
47	状态
48	邪恶主教
49	暗黑魔法师
50	躲避术
51	创 建 队 伍
52	被诅咒
53	杀伤力
54	暗黑
55	黎明
56	日
57	天
58	死亡
59	内部错误
60	存款
61	按ESC键
62	只有当色彩为16bit(32K或65K)时，魔法门VII才能以窗口模式运行。
63	魔法门VII装载游戏时出错，请重新安装。注意：重新安装不会丢失原有的游戏进度。
64	详细物品
65	患病
66	杀伤力
67	%s不会此项技能
68	捐赠
69	喝醉
70	土系
71	电
72	空的
73	进入
74	结束谈话
75	耐力
76	灰飞烟灭
77	空手搏斗术
78	日历
79	退出
80	退出
81	结束休息
82	你决定了吗？再点击一下就可退出。
83	经验值
84	知名度
85	药剂说明
86	%d天的食物要花费%d个金币
87	火系
88	怪物鉴定术
89	武器使用术
90	偷窃术
91	星期五
92	满月
93	游戏选项
94	你的得分: %lu
95	炼金术
96	宗师
97	金币
98	健康
99	人类
100	卫兵
101	矮人
102	半月
103	精灵
104	治疗
105	医师
106	大耳怪
107	生命值
108	生命值
109	小时
110	小时
111	宗师
112	多少？
113	鉴定
114	神偷
115	导师
116	智力
117	痴狂
118	我们希望你玩此游戏的心情与我们当时制作此游戏的心情一样愉快。我们在MMVII的目录下将此屏幕存为MM7_WIN.PCX，你可以把它打印出来作为你游戏功力的见证。
119	神箭手
120	行囊
121	永久的
122	加入
123	其它记录
124	魔箭手
125	+2点技能值
126	你要离开%s吗?
127	No Text!
128	要花%d天才能到达%s。
129	%s 级别 %u %s
130	玩家
131	等级
132	年
133	光明
134	购买普通物品
135	正在装载
136	运气
137	喷泉记录
138	魔法
139	地图
