Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Notes
0																
1	item001	长剑	50	Weapon	Sword	3d3	0	8	1	长剑	1	0	0	5	120	尽管构造简单，风格古朴，但足以置敌死地。
2	item002	精灵之刀	200	Weapon	Sword	3d3	3	8	3	刀	1	0	0	6	153	精灵的武器，锋利无比。
3	item003	勇气之剑	350	Weapon	Sword	3d3	6	8	6	长剑	1	0	0	-2	118	虽然式样古朴，但它依然锋利无比，保持着当年的原样。
4	item004	优雅之剑	500	Weapon	Sword	3d3	9	8	9	长剑	1	0	0	4	138	举世无双的名剑，由古代著名工匠麦克林打造的剑中精品。
5	item005	决斗之剑	650	Weapon	Sword	3d3	12	8	12	长剑	1	0	0	10	142	这些宝剑有悠久的历史，它们经常被用于决斗，可谓沾满了鲜血。
6	item006	双手剑	400	Weapon2	Sword	4d5	0	8	1	双手剑	2	0	0	12	146	可双手使用的一般铁剑，在埃拉西亚随处可见。
7	item007	王者之剑	500	Weapon2	Sword	4d5	2	8	6	双手剑	2	0	0	16	142	这是把致命的武器，在剑刃的中央有一条血槽。
8	item008	英雄剑	800	Weapon2	Sword	4d5	8	8	10	双手剑	2	0	0	14	139	有许多剑客认为波浪形的剑刃比直线形的剑刃杀伤力大。不管这种说法对不对，这把宝剑都是致命的武器。
9	item009	宽刃剑	100	Weapon	Sword	3d4	0	8	1	宽刃剑	3	0	0	6	128	漂亮的宽刃剑，在埃拉西亚随处可见。
10	item010	钢刃剑	300	Weapon	Sword	3d4	4	8	5	宽刃剑	3	0	0	5	113	埃拉西亚出产的锋利钢制宝剑。
11	item011	勇士之剑	600	Weapon	Sword	3d4	10	8	9	宽刃剑	3	0	0	2	123	古老的宽刃剑，但仍然非常锋利。
12	item012	短刀	40	Weapon	Sword	2d4	0	7	1	短刀	4	0	0	6	98	这把短刀有着外表所看不出的力量，许多没有经验的剑客都由于轻视它而丧命。
13	item013	大耳怪短刀	290	Weapon	Sword	2d4	5	7	5	短刀	4	0	0	0	109	这把短刀由黄铜和一些红色的金属制成，因此泛出一种奇异的光泽。它由大耳怪制造，见血封喉。
14	item014	神奇短刀	590	Weapon	Sword	2d4	11	7	9	短刀	4	0	0	4	118	这是卓越的铸剑师埃历克泰林所设计的致命武器。
15	item015	匕首	8	Weapon	Dagger	2d2	0	6	1	匕首	5	0	0	-3	75	被盗贼和恶徒广泛使用的武器。
16	item016	矮人匕首	100	Weapon	Dagger	2d2	2	6	2	匕首	5	0	0	7	71	这是把矮人经常使用的匕首，造型精美。
17	item017	利齿匕首	150	Weapon	Dagger	2d2	3	6	4	匕首	5	0	0	14	54	这把匕首是用鲨鱼的牙齿打造的，又轻又锋利。
18	item018	刺客匕首	250	Weapon	Dagger	2d2	5	6	6	匕首	5	0	0	14	67	这把匕首非常易于隐藏，把它从刀鞘里抽出来时也无声无息。
19	item019	法师匕首	300	Weapon	Dagger	2d2	6	6	9	匕首	5	0	0	9	75	这是从奇迹时代流传下来的兵器，年代久远，质量上乘。
20	item020	长匕首	15	Weapon	Dagger	2d3	0	7	1	长匕首	5	0	0	4	87	它是普通的长匕首。宽度与剑相同，锋刃较长，便于隐藏。
21	item021	埃拉西亚长匕首	200	Weapon	Dagger	2d3	4	7	4	长匕首	5	0	0	4	81	与其说是匕首，不如说它是一把短剑。它锋刃细长，杀伤力惊人，并且经魔法点化。
22	item022	神奇长匕首	350	Weapon	Dagger	2d3	7	7	8	长匕首	5	0	0	10	84	它是“众神的兵器”，是在寂静时代残存的最后一家炼铁厂打造的极品。虽然历经千年，但依然锋利无比。
23	item023	大斧	30	Weapon	Axe	4d2	0	5	1	战斧	7	0	0	17	82	与其说是兵器，不如说是一件工具。杀伤力极其微弱。
24	item024	战斧	100	Weapon	Axe	4d2	2	5	3	战斧	7	0	0	19	86	是战斗中使用的斧子。野人和散兵游勇经常使用此类兵器。
25	item025	矮人战斧	250	Weapon	Axe	4d2	5	5	6	战斧	7	0	0	28	100	是由矮人族打制的上乘兵器。它锋利无比，造型优美，比例协调。
26	item026	钢斧	400	Weapon	Axe	4d2	8	5	9	战斧	7	0	0	15	120	这是尼根的巫师们从矮人族那里偷来的战斧，上面有石头城铸造厂的印记，货真价实。
27	item027	人马战斧	550	Weapon	Axe	4d2	11	5	12	战斧	7	0	0	28	100	这是牛头怪术士用高超的工艺打造的双刃魔法战斧。它非常轻巧，而且经魔法点化，所以锋利无比 ，可切金断玉。
28	item028	屠斧	225	Weapon2	Axe	3d7	0	5	1	双手斧	8	0	0	19	142	这把长柄屠斧比一般的战斧更为锋利，而且攻击范围很大。
29	item029	勇士屠斧	450	Weapon2	Axe	3d7	3	5	5	双手斧	8	0	0	22	140	造型精美的长柄战斧，体现出兵器铸造工艺的最高水平。
30	item030	刽子手屠斧	900	Weapon2	Axe	3d7	9	5	9	双手斧	8	0	0	20	170	这是刽子手经常使用的斧子，斧柄颀长，可顷刻致人死命。
31	item031	长矛	15	Weapon1or2	Spear	1d9	0	6	1	长矛	9	0	0	0	141	尽管只是一根削尖的棍子，但仍有致命的威力。与其它长矛一样，既可单手又可双手使用。 (+1D9 如果双手使用)。
32	item032	战士之矛	50	Weapon1or2	Spear	1d9	1	6	3	长矛	9	0	0	8	118	这是在军队中普遍使用的精良长矛，远攻和近战同样适宜。
33	item033	精灵之矛	250	Weapon1or2	Spear	1d9	5	6	6	长矛	9	0	0	0	133	这把精灵制造的武器简直是一件艺术品，上面有各种镶嵌物品和雕刻，不过，它仍然是可怕的武器。
34	item034	冷酷之矛	450	Weapon1or2	Spear	1d9	9	6	9	长矛	9	0	0	7	135	矛尖的三角形设计增加了杀伤力，被这柄长矛刺中后很难恢复。此外，它被赋予神秘的魔法，所以是一件致命的武器。
35	item035	神圣之矛	650	Weapon1or2	Spear	1d9	13	6	12	长矛	9	0	0	5	126	矛柄上的印记表明这是寂静时代铸造的神圣武器。
36	item036	戟	200	Weapon1or2	Spear	3d6	0	6	1	戟	10	0	0	29	141	它集战斧和长矛于一身，杀伤力巨大，也可以用来防御。它质量一般，造型古朴。
37	item038	重戟	400	Weapon1or2	Spear	3d6	4	6	5	戟	10	0	0	28	141	此兵器坚硬无比，锋刃经特殊处理，特别沉重。如果由力大无比的勇士使用，可杀死最难对付的怪兽。
38	item037	力量之戟	700	Weapon1or2	Spear	3d6	10	6	9	戟	10	0	0	28	140	此兵器锋刃上的标记说明它是由闻名遐迩的麦克林兵器锻造厂老板麦克林亲手打造的。它乃是天下一流的长戟。
39	item039	三叉戟	100	Weapon1or2	Spear	2d6	0	6	1	三叉戟	11	0	0	8	146	它是根据农夫的草叉改造的，长久以来广为渔人们所使用，现在已经成为海上战斗的标准武器。
40	item040	带刺三叉戟	400	Weapon1or2	Spear	2d6	6	6	5	三叉戟	11	0	0	9	142	这是根据普通的三叉戟改良后的武器，叉刃上有尖刺，杀伤力惊人。
41	item041	战斗三叉戟	700	Weapon1or2	Spear	2d6	12	6	9	三叉戟	11	0	0	18	139	这种三叉戟质量上乘，由李格纳的帝国海军专用。叉尖用黄铜打造，叉柄涂成金黄色，看上去就象是黄金打造的
42	item042	弓箭	100	Missile	Bow	5d2	0	3	1	弓	12	0	0	12	40	由普通材料制成的弓，造型简单。
43	item043	长弓	200	Missile	Bow	5d2	2	3	3	弓	12	0	0	12	40	是由埃拉西亚森林中的精灵打制的兵器。它显示了埃拉西亚的精灵高超的工艺水平。
44	item044	精灵之弓	300	Missile	Bow	5d2	4	3	6	弓	12	0	0	12	40	弓箭上的蚀刻图案表明此弓是在六百年代晚期在埃拉西亚精灵们的木材大战中由著名的造弓大师伊万·塞尔文打制。
45	item045	精准弓	400	Missile	Bow	5d2	6	3	9	弓	12	0	0	12	40	此弓由多种不同的材料打制而成，质地轻巧，百发百中。
46	item046	狮鹫之弓	500	Missile	Bow	5d2	8	3	12	弓	12	0	0	12	40	这把弓由狮鹫的头骨和脊椎骨打制而成，有惊人的攻击力。不过，因为捕猎狮鹫极为危险，所以这种弓产量非常少。
47	item047	十字弓	50	Missile	Bow	4d2	0	4	1	十字弓	13	0	0	12	10	十字弓是致命的远距离杀伤性武器，而且易于使用，但是速度和射程比不上长弓。
