Skill	Description	Normal	Expert	Master	GrandMaster
Staff	棍棒必须双手使用，可使你攻守兼备。达到棍术专家水平可提高盔甲的防御力，达到大师水平则有一定的概率可以将敌人击晕。	技能值可以增加攻击点数	技能值可以提高防御等级	有一定的概率可以将敌人击晕	可以在持棍的情况下使用空手时才能使用的技能
Sword	长剑的锋刃长于短刀。剑术专家行动力的恢复时间较快，剑术大师能左手运剑右手挥舞其它武器。	技能值可以增加攻击点数	缩短恢复时间	能左手运剑右手挥舞其它武器	技能值可以提高防御等级
Dagger	匕首虽没有长剑和战斧的破坏力，但疾如闪电，有时敌人攻击一次的时间内你可以攻击两次。匕首专家可左手持匕首右手挥舞其它武器，匕首大师有一定的概率可以使杀伤力提高两倍。	技能值可以增加攻击点数	能左手用匕首	有可能造成三倍于技能值的杀伤	技能值可以增加杀伤力
Axe	战斧虽招数缓慢但威力无穷。用斧专家耍斧的速度快于常人，而大师级人物可提高巨斧的攻击力。	技能值可以增加攻击点数	缩短恢复时间	技能值可以增加杀伤力	有一定的概率可以使敌人的防御力减半
Spear	长矛身长刃利，胜过其它棍形武器。它可以单手使用，但双手挥舞效果更佳。	技能值可以增加攻击点数	技能值可以增加杀伤力	可以单手挥舞长矛	技能值可以提高防御等级
Bow	弓箭包括弓和弩。箭术专家可提高速度，箭术大师每次可射两支箭。	技能值可以增加攻击点数	缩短恢复时间	每次可射两支箭	技能值可以增加杀伤力
Mace	锤棍指所有的钝击武器，包括权杖和连枷。精于此道的专家可提高该武器的杀伤力，而大师更可出人意料地将敌人击晕。	技能值可以增加攻击点数	技能值可以增加杀伤力	可能将敌人击晕，概率等于技能值	可能将敌人麻痹，概率等于技能值
Blaster	这是上古神兵，制造技术早已失传，它在寂静时代以前就存在了。专家级和大师级人物可以分别提高一倍和两倍的攻击点数。	技能值可以增加攻击点数	技能值可以增加攻击点数(两倍效果)	技能值可以增加攻击点数(三倍效果)	技能值可以增加攻击点数(四倍效果)
Shield	使用盾牌可直接提高防御等级。擅使盾牌的专家和大师们可增加防御能力。	技能值可以提高防御等级	缩短恢复时间	技能值可以提高防御等级(两倍效果)	得到“护体神盾”这一魔法的附加效果
Leather	皮甲分量最轻，防御力逊于锁甲和钢甲，但可减轻负重，减少对行动的影响。它可提高防御能力。身着皮甲的专家和大师可减少盔甲对行动的影响。	技能值可以提高防御等级	缩短恢复时间	技能值可以提高防御等级(两倍效果)	加强元素魔法(火/水/空气/土)防御值
Chain	锁甲是中型盔甲，防御力强于皮甲但逊于钢甲，对行动的影响也大于皮甲。身着锁甲的专家和大师可减少盔甲对行动的影响。	技能值可以提高防御等级	缩短恢复时间	缩短恢复时间	使物理攻击的损伤减少三分之一
Plate	钢甲是分量最重的盔甲，防御力最强，但对行动的影响也大于皮甲和锁甲。身着钢甲的专家和大师可减少盔甲对行动的影响。	技能值可以提高防御等级	缩短恢复时间	使物理攻击的损伤减少二分之一	缩短恢复时间
Fire	火系魔法属攻击魔法，还包括与速度有关的所有魔法。精于此道的专家和大师可以学会更多该系魔法。	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同
Air	空气魔法属防守魔法，还包括与大自然以及飞行有关的所有魔法。精于此道的专家和大师可以学会更多该系魔法。	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同
Water	水系魔法既可攻又可守，着重于改变或移动事物。精于此道的专家和大师可以学会更多该系魔法。	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同
Earth	土系魔法属防守魔法，具有保护、加固和增强作用。精于此道的专家和大师可以学会更多该系魔法。	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同
Spirit	灵魂魔法主宰生死。它可使人起死回生，使人突然暴毙，还可使人返老还童或未老先衰。精于此道的专家和大师可以学会更多该系魔法。	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同	每种魔法威力不同
