Stats Descriptions	Description
Might	力量值是反映队员整体力量的指标。队员力量值越高，他在战斗中的攻击力就越强。
Intellect	这项属性关系到人物处理问题的能力以及理解能力。如果队员会使用元素魔法，则智力越高，法力越高。术士、弓箭手、巡逻兵、盗贼以及教士都会使用元素魔法。
Personality	"个性指人物的意志力和魅力，它对牧师、游侠、巡逻兵、僧侣以及教士的能力有较大的影响。
"
Endurance	耐力反映队员的忍受能力。耐力越高，生命值越高。
Accuracy	命中率反映队员的手眼协调能力。命中率越高，在战斗中对怪兽的杀伤力越高。
Speed	"速度反映队员的行动的快慢。速度越快，角色的防御等级越高，恢复越快。
"
Luck	幸运值在整个游戏中有微妙的作用。它能提高队员躲避魔法攻击和陷井伤害的能力。
Hit Points	生命值指你的队员可以消耗的生命点数。一旦生命值小于或等于零，那么该队员将昏迷不醒，但好好休息八小时后可恢复元气。
Armor Class	防御等级表明敌人击中你的概率。防御等级越高，躲避攻击的成功率越高。
Spell Points	魔法值表明施展魔法需要消耗魔法点数。好好休息八小时后可以恢复。
Condition	状态显示队员的情况，如中毒、得病、死亡等。这些状态会严重削弱队员的战斗能力，必须尽快治疗。
Quick Spell	备用魔法是指按S键或CONTROL键并对准目标按鼠标，就可快速发射的魔法。你可以打开魔法全书，选择一种魔法，然后点击魔法全书下面的设置魔法按钮。
Age	代表队员的年龄。第一个数字是队员的暂时年龄，后面一个是真实年龄，有时怪兽的攻击和某些魔法可以使队员的暂时年龄大于真实年龄。
Level	等级表示队员的修练程度。等级越高，生命值和魔法值越高
Experience	经验值表明队员的阅历。得到一定的经验值后，只要花一点钱 ，就可在遍布各地的训练所升级，增加一定的技能值。
Attack Bonus	攻击点数指队员利用手中的兵器攻击敌人的成功率，包括技能值、魔法值、命中率等。
Attack Damage	攻击杀伤力指队员利用手中的兵器(包括正常攻击、附带的魔法攻击、达到大师级和宗师级时学会的特殊能力等)对敌人所造成的伤害。
Shoot Bonus	射击点数指队员利用弓箭攻击敌人的成功率，包括技能值、魔法值、命中率等。
Shoot Damage	射击杀伤力指队员利用弓箭(包括正常攻击，附带的魔法攻击等)对敌人所造成的伤害。
Fire	该指标显示队员防御火系魔法攻击的能力，它只能减少魔法的伤害，但不可能使你安然无恙。
Air	该指标显示队员防御空气魔法攻击的能力，它只能减少魔法的伤害，但不可能使你安然无恙。
Water	该指标显示队员防御水系魔法攻击的能力，它只能减少魔法的伤害，但不可能使你安然无恙。
Earth	该指标显示队员防御土系魔法攻击的能力，它只能减少魔法的伤害，但不可能使你安然无恙。
Mind	该指标显示队员防御心智魔法攻击的能力，它只能减少魔法的伤害，但不可能使你安然无恙。
Body	该指标显示队员防御肢体魔法攻击的能力，它只能减少魔法的伤害，但不可能使你安然无恙。
Skill Points	一旦队员升级，就可以增加一定的技能值，使你的功力大增。
