#	Greeting 1	Greeting 2	Notes	Owner
1	我是马克汉姆爵士，本次寻宝大赛的主办者。	啊，你们回来了，情况进展得怎么样了？		Markham
2	你们好，我叫托马斯，是本次比赛的裁判。	你们拿到物品单上所列的东西了吗？		Judge
3	欢迎来到翡翠岛。我叫马格莉特，是你们在岛上的向导。	你们想知道点什么？		Docent
4	你们好，我叫埃莉萨，负责安排这次寻宝比赛中的娱乐活动。	嗨，又见面了，干得怎么样了？		Bard
5	你们好，我叫塞莉。这里可是个偏僻的地方，村里人很少上这儿来，你们是不是迷路了。	你们怎么还在这里，从这里往南走就可以回到村子里了。		Sally
6	嗨，上这儿来吧，陪我聊聊天。	啊，你们又回来了。觉得上次还不过瘾。		Malwick
7	你们好，伙计。上这儿来干吗？	快离我远点，可别想占我的便宜。		Malwick
8	你们好，伙计。陪我聊聊天吧。	嗨，咱们又见面了。		Sal
9	我见到你们就心烦，快走吧。	我见到你们就心烦，快走吧。		Malwick
10	你们好，伙计。我叫布兰特·弗兰。也是参加这次寻宝大赛的。	咱们又见面了，伙计。		Brent
11	你们好，我叫凯洛琳。负责为火系魔法行会和空气魔法行会招募会员。	你们好，我叫凯洛琳。负责为火系魔法行会和空气魔法行会招募会员。		Elemental Guild Membership
12	我叫罗格。负责为肢体魔法行会和灵魂魔法行会招募会员。	我叫罗格。负责为肢体魔法行会和灵魂魔法行会招募会员。		Self Guild Membership
13	你们好，伙计。我叫威廉姆，是这艘船的船长。	嗨，咱们又见面了，伙计。		
14	你们好，我叫唐纳，和我女儿塞莉住在一起。	嗨，咱们又见面了，能为你们效劳吗？		Donna
15	你们好，我叫格兰特。托尔让我住在他屋子后面，跟着他学艺。	嗨，咱们又见面了，能为你们效劳吗？		Grant
16	你们好，我叫米尔，愿为你们效劳。	嗨，咱们又见面了，能为你们效劳吗？		Mia
17	站住，你们不许再往前走了。别人工作时你们可不能打扰。	站住，你们不许再往前走了。别人工作时你们可不能打扰。		School of Sorcery Guard
18	欢迎来到翡翠岛，我是你们在这个岛上的向导。我会向你们介绍这里的风土人情和本次竞赛的详细内容。如果你们不想听我唠叨，可以点击我的头像，然后选择“结束指导”。	欢迎来到翡翠岛，我是你们在这个岛上的向导。我会向你们介绍这里的风土人情和本次竞赛的详细内容。如果你们不想听我唠叨，可以点击我的头像，然后选择“结束指导”。	Welcome Sign	Docent cheat
19	你们面前这座房子是一家武器店，里面出售各种各样的武器，你们要是运气好，还可以找到具有魔力的兵器。你们要是手上武器太多，还可以卖一些给它，不过如果你们没有掌握高超的经商技术，那和它做买卖准得吃大亏。要进入武器店，点击房门就行了。	你们面前这座房子是一家武器店，里面出售各种各样的武器，你们要是运气好，还可以找到具有魔力的兵器。你们要是手上武器太多，还可以卖一些给它，不过如果你们没有掌握高超的经商技术，那和它做买卖准得吃大亏。要进入武器店，点击房门就行了。	Blacksmith	Docent cheat
20	从村口进去往西有一个客栈。在客栈里你们能好好睡一觉，买些路上吃的东西。而且你们还会和形形色色的人打交道，甚至打听到一些重要消息。要进去，点击房门就行了。	从村口进去往西有一个客栈。在客栈里你们能好好睡一觉，买些路上吃的东西。而且你们还会和形形色色的人打交道，甚至打听到一些重要消息。要进去，点击房门就行了。	Tavern	Docent cheat
21	这件屋子是防具店。那里出售各种盔甲、盾牌。不过你们要记住，购买钢甲、锁甲、皮甲或盾牌时得考虑一下自己是否掌握了这种技术，不然买来了也白搭。	这件屋子是防具店。那里出售各种盔甲，盾牌。不过你们要记住，购买钢甲、锁甲、皮甲或盾牌时得考虑一下自己是否掌握了这种技术，不然买来了也白搭。	Armor Shop	Docent cheat
22	这间屋子是凯洛琳·威瑟住的地方。她负责为火系魔法行会和空气魔法行会招募会员。你们要是不想加入这两个行会就别和她多废话。不过你们要记住，要学习某种魔法就必须成为这个魔法行会的会员。	这间屋子是凯洛琳·威瑟住的地方。她负责为火系魔法行会和空气魔法行会招募会员。你们要是不想加入这两个行会就别和她多废话。不过你们要记住，要学习某种魔法就必须成为这个魔法行会的会员。	Carolyn's place	Docent cheat
23	这间屋子是罗格住的地方。他负责为灵魂魔法行会和肢体魔法行会招募会员。你们要学这两种魔法就必须成为这两个魔法行会的会员。如果你们不想听我唠叨，可以点击我的头像，然后点击“结束指导”。	这间屋子是罗格住的地方。他负责为灵魂魔法行会和肢体魔法行会招募会员。你们要学这两种魔法就必须成为这两个魔法行会的会员。如果你们不想听我唠叨，可以点击我的头像，然后点击“结束指导”。	Roger's house	Docent cheat
24	这间屋子是翡翠岛的训练所，你们可以通过消灭怪物或者完成任务来获取经验值。如果你们获得足够的经验值，就可以升级并得到一定的技能值来提高技术等级。要学习新的技术，可以上四周的店铺和房间里转悠转悠，挑些喜欢的魔法。	这间屋子是翡翠岛的训练所，你们可以通过消灭怪物或者完成任务来获取经验值。如果你们获得足够的经验值，就可以升级并得到一定的技能值来提高技术等级。要学习新的技术，可以上四周的店铺和房间里转悠转悠，挑些喜欢的魔法。	Training grounds	Docent cheat
25	这个帐篷是医师住的地方，你们的队员遇到任何伤害都可以到这里来治疗。这里的医师神通广大，具有起死回生的本领。不过如果你们的队员只是生命值和魔力值下降，但身体健康的话，可以不必上这里来，好好睡一觉就可以恢复了。	这个帐篷是医师住的地方。你们的队员遇到任何伤害都可以到这里来治疗，这里的医师神通广大，具有起死回生的本领。不过如果你们的队员只是生命值和魔力值下降，但身体健康的话，可以不必上这里来，好好睡一觉就可以恢复了。	Healer's tent	Docent cheat
26	这是一口有魔力的井，饮用井水可以使火魔法防御值大大提高。象这样的水井遍布各处，它们的效力也各有不同。饮用过一处井水后，它的效力会写在“自动记录”上。不过要记住它们的效力持续时间是有限的，一旦你们开始休息，它们赋予你们的魔力就会消失。	这是一口有魔力的井，饮用井水可以使防火技能值大大提高。象这样的水井遍布各处，它们的效力也各有不同。饮用过一处井水后，它的效力会写在“自动记录”上。不过要记住它们的效力持续时间是有限的，一旦你们开始休息，它们赋予你们的魔力就会消失。	Well of Fire Resistance	Docent cheat
27	这个屋子是马克汉姆爵士在翡翠岛的临时指挥部，他是这次寻宝大赛的举办者。比赛的裁判也住在这里，他负责检验你们找到的物品。	这个屋子是马克汉姆爵士在翡翠岛的临时指挥部，他是这次寻宝大赛的举办者。比赛的裁判也住在这里，他负责检验你们找到的物品。	Markham's headquarters	Docent cheat
28	灵魂魔法行会在翡翠岛的东面，只有成为这个行会的成员才可以购买它的魔法和技能。你们可以到东南面去找罗格，他会使你们成为灵魂魔法行会的会员。千万要记住，要学习灵魂魔法只有成为这个魔法行会的会员。	灵魂魔法行会在翡翠岛的东面，只有成为这个行会的成员才可以购买它的魔法和技能。你们可以到东南面去找罗格，他会使你们成为灵魂魔法行会的会员。千万要记住，要学习灵魂魔法只有成为这个魔法行会的会员。	Spirit Guild	Docent cheat
29	空气魔法行会在翡翠岛的东面，只有成为这个行会的成员才可以购买它的魔法和技能。你们可以到东南面去找凯洛琳，她会使你们成为空气魔法行会的会员。千万要记住，要学习空气魔法只有成为这个魔法行会的会员。	空气魔法行会在翡翠岛的东面，只有成为这个行会的成员才可以购买它的魔法和技能。你们可以到东南面去找凯洛琳，她会使你们成为空气魔法行会的会员。千万要记住，要学习空气魔法只有成为这个魔法行会的会员。	Air Guild	Docent cheat
30	这间屋子是炼金店，这里出售各种各样的药剂和药材，你们还可以在这里学习炼金术，学会这种技术你们就能自己配制各种药剂了。炼金师精通各种配制药剂的方法，但他们可不会轻易向别人透露这个秘密，一切只有靠你们自己摸索，不过你们要小心，万一配制不当，会有生命危险。	这间屋子是炼金店，这里出售各种各样的药剂和药材，你们还可以在这里学习炼金术，学会这种技术你们就能自己配制各种药剂了。炼金师精通各种配制药剂的方法，但他们可不会轻易向别人透露这个秘密，一切只有靠你们自己摸索，不过你们要小心，万一配制不当，会有生命危险。	Alchemist	Docent cheat
31	这间屋子就是肢体魔法行会，只有成为这个行会的成员才可以购买它的魔法和技能。你们可以到东南面去找罗格，他会使你们成为肢体魔法行会的会员。千万要记住，要学习肢体魔法只有成为这个魔法行会的会员。	这间屋子就是肢体魔法行会，只有成为这个行会的成员才可以购买它的魔法和技能。你们可以到东南面去找罗格，他会使你们成为肢体魔法行会的会员。千万要记住，要学习肢体魔法只有成为这个魔法行会的会员。	Body Guild	Docent cheat
32	这里是魔法店，你们可以在这儿购买各种各样的魔法和魔法物品。	这里是魔法店，你们可以在这儿购买各种各样的魔法和魔法物品。	Magic Shop	Docent cheat
33	这里是火系魔法行会，只有成为这个行会的成员才可以购买它的魔法和技能。你们可以到东南面去找凯洛琳，她会使你们成为火系魔法行会的会员。千万要记住，要学习火系魔法只有成为这个魔法行会的会员。	这里是火系魔法行会，只有成为这个行会的成员才可以购买它的魔法和技能。你们可以到东南面去找凯洛琳，她会使你们成为火系魔法行会的会员。千万要记住，要学习火系魔法只有成为这个魔法行会的会员。	Fire Guild	Docent cheat
34	小心！你们现在要去的地方到处是讨厌的龙蝇，是个非常危险的地方。马克汉姆爵士可不会在意你们的安危，你们一定要学会自己保护自己。	小心！你们现在要去的地方到处是讨厌的龙蝇，是个非常危险的地方。马克汉姆爵士可不会在意你们的安危，你们一定要学会自己保护自己。	Dragonflies	Docent cheat
