"1-199 equipable items, 200- potions, 300- scrolls, 400-books, 500- artifacts, 600 quest items 700- message scrolls "																
Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Notes
0		0						0	0		0	0	0	0	0	
1	item001	长剑	50	Weapon	Sword	3d3	0	8	1	长剑	1	0	0	14	131	这些大量制造，却又有些微不平衡的兵器是大陆上的五人常用的武器。
2	item002	食人魔战斗剑	200	Weapon	Sword	3d3	3	8	3	长剑	1	0	0	16	132	虽然做工相当的原始，但这柄武器厚重的刀刃给予它强大的杀伤力。
3	item003	黑暗精灵长剑	350	Weapon	Sword	3d3	6	8	6	长剑	1	0	0	14	136	这是黑暗精灵城市艾尔瓦来的商旅通常爱用的武器。它单薄的刀刃十分的锋利。
4	item004	圣殿骑士剑	500	Weapon	Sword	3d3	9	8	9	长剑	1	0	0	14	136	一柄给真正剑客使用的武器。它单纯而毫不装饰的外观诉说着兵器真正的用途。
5	item005	英豪剑	650	Weapon	Sword	3d3	12	8	12	长剑	1	0	0	18	138	这些是专门打造给伊拉西亚上剑客团体成员的武器。由于传统上这种武器是会随着持有者一起陪葬在守卫森严的墓地中，所以在市面上极端的稀有。
6	item006	双手剑	400	Weapon2	Sword	4d5	0	8	1	双手巨剑	2	0	0	16	162	这柄剑的重量和长度让每次攻击的距离和威力都更为增加，不过，在品质上就没有多大的特色了。
7	item007	黑暗精灵巨剑	500	Weapon2	Sword	4d5	2	8	4	双手巨剑	2	0	0	18	155	这种武器通常是由精灵商队的守卫所携带，这种武器的重量几乎可以让人以单手来持用，不过，很可惜的，在重量上还是稍嫌太重了一些。
8	item008	牛头人战斗剑	800	Weapon2	Sword	4d5	6	8	7	双手巨剑	2	0	0	20	169	只有最强壮、反应最灵敏的人才能够挥舞这种兵器，更别提在战斗中操纵自如了。
9	item009	龙剑	1250	Weapon2	Sword	4d5	9	8	9	双手巨剑	2	0	0	21	171	这柄拥有强大杀伤力，十分容易使用的武器只有一个目的：屠龙。
10	item010	行刑人之剑	2000	Weapon2	Sword	4d5	12	8	13	双手巨剑	2	0	0	17	171	这种兵器是由纯净的依鲁丁合金所打造，并且在炎浆中反复的锤打所完成的。它的刀锋几乎永远不会变钝，而在重量本身也相当的平衡，再搭配上相当具有威胁性的外表，是非常不错的武器。
11	item011	铁阔剑	100	Weapon	Sword	3d4	0	8	1	阔剑	3	0	0	21	132	有些剑客声称铁质长剑的柔软度让他们在战斗中拥有某些的优势。不过，很有趣的是，这些人看起来都相当的年轻。
12	item012	食人魔大剑	300	Weapon	Sword	3d4	2	8	4	阔剑	3	0	0	19	138	虽然这种武器的设计和做工相当的原始，这些食人魔所打造的武器在壮汉的手中会拥有非常大的威力。
13	item013	蜥蜴人阔剑	600	Weapon	Sword	3d4	6	8	7	阔剑	3	0	0	14	129	这种蜥蜴人所制造的武器可以伴随冒险者相当长的一段时间。
14	item014	骑士阔剑	800	Weapon	Sword	3d4	9	8	9	阔剑	3	0	0	12	131	如果不是因为这柄剑末端的稳定重量，如此宽阔的大剑势必会很难操作。
15	item015	大天使阔剑	1100	Weapon	Sword	3d4	12	8	13	阔剑	3	0	0	20	145	这柄刀刃由纯依鲁丁合金所铸造的武器，可以如同切牛油一般轻易的割穿盔甲，并且会发出特殊的光芒。也许世界上还有更好的兵器，但数量必定十分有限。
16	item016	生锈短剑	40	Weapon	Sword	2d4	0	7	1	短剑	4	0	0	19	133	这种武器可能曾经还有不错的品质，但从锈蚀斑斑的外表实在看不出确实的年代来。
17	item017	地精弯刀	290	Weapon	Sword	2d4	2	7	3	短剑	4	0	0	20	134	在地精和巨魔的战争中，葛达地精被彻底消灭之后，有数以千计的这种武器出现在市场上。
18	item018	雷格那短剑	590	Weapon	Sword	2d4	6	7	5	短剑	4	0	0	19	140	这种武器是分派给雷格那的水手作为随身携带的武器，在口耳相传之下获得了不少的赞誉。
19	item019	雷格那偃月刀	750	Weapon	Sword	2d4	8	7	9	短剑	4	0	0	18	143	这柄武器在重量上特别偏重前端，也因此拥有更大的打击力，但使用者相对的必须要拥有更大的力量和技巧才行。
20	item020	船长短剑	1100	Weapon	Sword	2d4	11	7	12	短剑	4	0	0	25	136	这是雷格那船长们在第一次接获指派之后所获得的武器；这种超凡的兵器足以让他们击败敌人和不服气的下属。
21	item021	简陋匕首	8	Weapon	Dagger	2d2	0	6	1	匕首	5	0	0	16	77	这种匕首可以当做工具、餐具，或是不怎么有威力的武器。不过，用不了多久它就会变钝。
22	item022	水晶匕首	100	Weapon	Dagger	2d2	2	6	2	匕首	5	0	0	12	75	这些匕首通常是由死灵法师公会的成员所携带的兵器。用来当做刀刃的水晶是在阴影塔山脉中所找到的。它们相当的锋利，但却很容易破碎。
23	item023	商人匕首	150	Weapon	Dagger	2d2	3	6	4	匕首	5	0	0	14	80	这柄匕首是艾尔瓦的武器工匠所打造的兵器典范；它是由强化的钢铁所制造的，并且拥有非常良好的操控性。
24	item024	大副匕首	250	Weapon	Dagger	2d2	5	6	6	匕首	5	0	0	19	80	这种品质的匕首相当罕见。它是由依鲁丁合金和少见的硬木所制造，外面包覆黄金，镶嵌有一枚尺寸不小的红宝石。如果不是因为它拥有相当的杀伤力，可能会单纯的成为富人的收藏。
25	item025	利牙刀刃	300	Weapon	Dagger	2d2	6	6	9	匕首	5	0	0	20	45	这柄武器的握把部分很明显的经过了多次的重新缠绕。据说这种武器是出现在大寂静之前数万年的吸血鬼所爱用的东西。难道这就是其中的一柄古物吗？
26	item026	长匕首	15	Weapon	Dagger	2d3	0	7	1	长匕首	6	0	0	15	102	因为介于长剑和匕首之间的长度，这种武器适合于那些需要比较长距离攻击的战士们使用。这柄武器是利用软钢打造而成，手工还算精细。
27	item027	艾佛立安匕首	200	Weapon	Dagger	2d3	2	7	4	长匕首	6	0	0	14	105	在艾尔瓦的许多活动中，携带刀剑是不礼貌的。所以，为了预防状况变得失控，许多精灵战士会随身携带较小的刀械。
28	item028	雷格那战斗匕首	350	Weapon	Dagger	2d3	4	7	7	长匕首	6	0	0	13	103	许多雷格那的海盗们不愿意受到盾牌的拖累，宁愿一只手拿着短剑，一只手拿着这种比较短的武器来作战。
29	item030	黎明匕首	500	Weapon	Dagger	2d3	6	7	9	长匕首	6	0	0	20	106	这种长匕首是黎明武器店的产品之一。这柄武器拥有蝙蝠翅膀形状的护手，也镶嵌有血红的宝石，证明它是个吸血鬼爱用的武器。
30	item029	决斗长匕首	790	Weapon	Dagger	2d3	7	7	12	长匕首	6	0	0	19	103	虽然阴影塔的吸血鬼们团结起来对抗外界，但他们之中还是有许多的争端。根据传统，这些争端都是利用这些锋利的武器在决斗中解决的。
