技能名称	描述	普通	专家	大师	大宗师
手杖	手杖是双手持用的长棍，可攻可守。专家级的技能可以增加你的防御等级。大师级的技能可以让你随机性的震昏敌人。	技能点数增加到攻击命中率上。	技能点数增加到防御等级上。	和技能点数相同的震昏敌人机会。	手杖可和徒手搏击的技能结合使用。
剑	用剑的技能涵盖了所有刀锋比小刀要长的武器。专家级的剑客可以增加一次的快速攻击，大师级的剑客可以左手使用单手剑，右手则使用别的武器。	技能点数增加到攻击命中率上。	技能等级可以减短恢复时间。	让此人可以用左手使剑。	技能点数会增加到防御等级上。
匕首	虽然匕首的伤害力比不上剑或是斧头，但是它们的速度很快，有些时候在面对动作较慢的敌人时，可以让你连续两次攻击。专家级的匕首持有者可以用左手拿匕首，右手则拿另外一种武器。大师级的匕首使用者则是有机会使出造成三倍伤害力的攻击。	技能点数增加到攻击命中率上。	可以用左手用匕首。	拥有和技能等级相同的机会造成三倍的伤害。	技能等级增加攻击的伤害力。
斧头	虽然斧头攻击的速度较慢，不过一旦击中目标，就会造成非常大的伤害。专家级的斧头使用者可以增加一些攻击的速度，大师级的斧头使用者则可以增加额外的伤害力。	技能点数增加到攻击命中率上。	技能等级可以减少恢复所需要的时间。	技能等级可以增加攻击的伤害力。	有机会可以将目标的防御等级减半计算。
长矛	长矛涵盖了所有在长棍顶端嵌上刀刃的武器。长矛的用途十分多种，可以用两只手或是一只手来操纵。（双手持用的威力比较大）	技能点数增加到攻击命中率上。	技能等级会增加到伤害力上。	拥有单手使用长矛的能力。	技能等级会增加到防御等级上。
弓	弓箭技能涵盖了弓和十字弓的领域。专家级的弓箭手可以增加射击的速度，而大师级的弓箭手每次攻击可以发射两枚箭。	技能点数增加到攻击命中率上。	技能等级可以减少恢复所需要的时间。	弓每次攻击可以发射两枚箭。	技能等级可以增加伤害力。
钉头锤	钉头锤的技能涵盖了所有重击性的武器，从短棒到链枷都是。专家级的钉头锤使用者挥舞起来可以造成额外的伤害。大师级的钉头锤使用者可以有震昏敌人的机会。	技能点数增加到攻击命中率上。	技能等级增加攻击的威力。	拥有和技能等级相当的机会震晕敌人。	拥有和技能等级相同的机会麻痹敌人。
能源枪	这种武器是“大寂静”之前所制造出来的，实际的制造方法很久以前已经失传了。专家级和大师级的使用者可以在使用这个武器的时候获得两倍或是三倍的命中率。	技能点数增加到攻击命中率上。	技能等级增加攻击的命中率（效果双倍）。	技能等级增加攻击的命中率（效果三倍）。	技能等级增加攻击的命中率（效果五倍）。
盾牌	当冒险者在使用盾牌的时候，它可以直接提升使用者的防御等级。专家级和大师级的使用者可以增加他们防御的能力。	技能点数增加到防御等级上。	恢复时间的减损抵销。	技能等级增加到防御等级（效果双倍）。	拥有和护盾法术一样的效果。
皮甲	皮甲是冒险者所能穿着的最轻护甲。虽然皮甲的防护力比锁子甲或是铠甲都要低，但是也最不会拖累冒险者。皮甲的技能将会增加皮甲所提供的防护力。如同所有护甲一样，专家级和大师级的技能会减少盔甲拖累速度的程度。	技能点数增加到防御等级上。	恢复时间的减损抵销。	技能等级增加到防御等级（效果双倍）。	技能等级增加到对元素系攻击（火系／地系／风系／水系）的抵抗力。
锁子甲	锁子甲是中庸的护甲类型。它比皮甲能提供更多的防护力，防护力却比铠甲要少；不过，它拖累冒险者的程度也比皮甲要严重。锁子甲的技能会增加盔甲所提供的防护力。如同所有盔甲一样，专家级和大师级的技能将会减少盔甲拖累行动速度的程度。	技能点数增加到防御等级上。	恢复时间的减损变为一半。	恢复时间的减损抵销。	物理性攻击的伤害力减为三分之二。
铠甲	铠甲是最沈重的盔甲种类。它提供了最周密的防护，但是比皮甲或锁子甲对人物的影响都要大很多。铠甲的技能会增加铠甲本身所提供的防护能力。如同所有盔甲一样，专家级和大师级的技能将可以降低盔甲拖累行动速度的程度。	技能点数增加到防御等级上。	恢复时间的减损变为一半。	物理性攻击的伤害力减为一半。	恢复时间的减损抵销。
火系魔法	火系魔法是攻击性魔法的来源，并且包括了所有和速度相关的法术。专家级和大师级的技能等级让火系法术会有更好的表现。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。
风系魔法	风系魔法通常是防御性和收集资料用的法术，也包括了和飞行有关系的法术。专家级和大师级的技能等级让风系法术会有更好的表现。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。
水系魔法	水系法术在攻击和防御之间是相当平衡的，并且专注在移动物品或是改变物体上面。专家级和大师级的技能等级让水系法术会有更好的表现。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。
地系魔法	地系法术主要是防御性的，同时也包含了保护、束缚、加强的法术。专家级和大师级的技能等级让地系法术会有更好的表现。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。
魂系魔法	魂系法术主要是有关生命和死亡的法术。它包括了让死者复活、影响不死生物和影响年龄的法术。专家级和大师级的技能等级让魂系法术会有更好的表现。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。
心系魔法	心系法术通常是攻击性和收集资讯的法术。魅惑、恐惧和传心术是心系法术的几个例子。专家级和大师级的技能等级让心系法术会有更好的表现。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。
体系魔法	体系法术集中在医疗和加强力量的法术上。医疗、伤害和治疗疾病和中毒的法术都是体系法术的一部分。专家级和大师级的技能等级让体系法术会有更好的表现。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。
光明系魔法	光明系魔法中包含了某些世界上最强的攻击和保护性魔法，但只有牧师能够使用。如果您在这方面的等级获得提升，您就可以学到更强大的魔法，或者可以将已知的魔法施展出更强的威力来。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。
黑暗系魔法	只有死灵法师所能够施展的黑暗系魔法拥有杀伤力最强大的攻击法术和生物控制魔法。如果您在这方面的等级获得提升，您就可以学到更强大的魔法，或者可以将已知的魔法施展出更强的威力来。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。	对每个法术的影响不一。
黑暗精灵能力	黑暗精灵天生就拥有其它种族没有的力量。如同吸血鬼和飞龙一样，黑暗精灵的能力可以如同法术一样的施展，但获得的方式就如同技能一样。黑暗精灵一开始可以施展迷魂术，然后是专家级的旅行者百宝囊、大师级的盲目术以及大宗师级的黑暗火焰。	施展迷魂术来增加施术者对于其它人的吸引力。	施展旅行者百宝囊的法术，拥有火把之光、巫师之眼和羽落术的效果。	施展盲目术。法术的目标将会漫无目的的乱跑，无法使用法术和远程武器攻击。	施展暗火焰，同时造成黑暗系和火焰系的伤害。
吸血鬼能力	吸血鬼是拥有强大能力的特殊生物。如同黑暗精灵和飞龙一样，吸血鬼的能力可以如同法术一样的施展，但获得的方式就如同技能一样。所有的吸血鬼都可以施展吸收生命术，然后是专家级的漂浮术、大师级的魅惑术，大宗师级的雾化术。	施展吸收生命术，直接对敌人造成伤害，并且同时将对方的生命力增加到自己身上。	施展漂浮术来让队伍通过危险的地形而不受到伤害。	对邻近的目标施展魅惑术。	吸血鬼可以雾化。在雾化的状态下吸血鬼无法造成或是承受物理性的伤害。
飞龙能力	飞龙是拥有强大能力的特殊生物。如同吸血鬼和飞龙一样，飞龙的能力可以如同法术一样的施展，但获得的方式就如同技能一样。所有的飞龙起初都能够散发龙威，然后获得专家级喷吐龙焰的能力，接着是大师级的飞行术，大宗师级的翼击。飞龙的技能可以提升防御等级和喷吐武器的威力。	散发出龙威，也就是恐惧术，让敌人不战而逃。	火焰爆的力量，也就是从口中发射出高热的火球。	获得飞行的能力，可以载着队伍所有的成员飞行。	可以用翼击将对手推开。
