Knight/Cleric Male	Knight/Cleric Female	Dark Elf Pesant Male	Dark Elf Pesant Female	Troll/Minotaur	Vampire/Necro Female	Vampire/Necro Male	Dragon	To make excel work right
亚龙	阿理马达	艾力顿	阿理马达	阿顿	艾伯伦娜	艾力顿	艾力顿	*end
亚伯	阿码崔雅	贝轮	阿码崔雅	爱许朋	爱比盖尔	贝轮	贝轮	*end
亚伯尔	安折亚马	布拉捷克	安折亚马	爱林	阿卡西雅	布拉捷克	布拉捷克	*end
亚当	安折亚马	布拉黄	安折亚马	巴夏	爱朵吉沙	布拉黄	布拉黄	*end
雅力安	安娜珠	布拉尔	安娜珠	必煞	爱西林	布拉尔	布拉尔	*end
雅卓安	艾瑞雅司提	布里德	艾瑞雅司提	布兰	爱力西雅	布里德	布里德	*end
阿姆德	白玛莉亚	杰赛里昂	白玛莉亚	布鲁克	亚力山德拉	杰赛里昂	杰赛里昂	*end
阿奇欧	不理达	科瑞温	不理达	布鲁斯	巴西丽雅	科瑞温	科瑞温	*end
阿奇拉	布里丽	达尔	布里丽	布鲁诺	班乃迪克塔	达尔	达尔	*end
爱尔	拜尔	达特	拜尔	凯维	布朗温	达特	达特	*end
阿兰	瑟威	达罗	瑟威	凯瑞安	卡蓝德拉	达罗	达罗	*end
阿蓝	妾乐威	迪德	妾乐威	杜蓝朵	卡丽斯塔	迪德	迪德	*end
阿朗	柯威莎	盖文	柯威莎	达斯特	卡瑞沙	盖文	盖文	*end
亚伯特	戴雅维	哥伯拉	戴雅维	艾尔瓦特	卡山德拉里	哥伯拉	哥伯拉	*end
亚拉克	戴瑞娜	胡德	戴瑞娜	艾顿	赛勒斯提	胡德	胡德	*end
阿力詹卓	戴布瑞	杰伦	戴布瑞	阿力顿	达丽雅	杰伦	杰伦	*end
雅力山大	迪亚力雅	裘单	迪亚力雅	必伦	达马厉丝	裘单	裘单	*end
阿佛瑞德	迪雅利	珠文	迪雅利	布拉捷克	达米提雅	珠文	珠文	*end
阿顿	多梅德	珠菲	多梅德	布拉黄	达妮里斯	珠菲	珠菲	*end
阿崔德	多妮	凯加	多妮	布拉尔	戴尔芬	凯加	凯加	*end
雅文	迪色丽雅	凯赛	迪色丽雅	布兰特	迪米崔雅	凯赛	凯赛	*end
安伯罗斯	费欧沙玛	寇司托	费欧沙玛	契斯理安	迪欧琳达	寇司托	寇司托	*end
阿魔斯	福罗娜	罗瑞克	福罗娜	可瑞温	迪克崔	罗瑞克	罗瑞克	*end
安德鲁	福拉丽	玛杰	福拉丽	达尔	迪梦娜	玛杰	玛杰	*end
安迪	加纳	毛尔	加纳	达特	戴兰娜	毛尔	毛尔	*end
安汤尼	吉玛	摩文	吉玛	达罗	伊朋妮	摩文	摩文	*end
安顿	吉咪	麦力克斯	吉咪	迪德	依戴尔米拉	麦力克斯	麦力克斯	*end
阿比	哈雷瑟	那汉	哈雷瑟	盖文	伊及丽娜	那汉	那汉	*end
阿达	哈娜	那文	哈娜	葛伯拉	伊来克煞	那文	那文	*end
阿顿	哈拉	耐力克斯	哈拉	胡德	爱蜜林	耐力克斯	耐力克斯	*end
阿瑞尔	艾瑞丽	尼秋伊塞	艾瑞丽	乔蓝	优多西雅	尼秋伊塞	尼秋伊塞	*end
