2D Events by Type ( NPC's present are from NPC database)																		Schedules		Other Exits		Questbit	Enter																																										
#	#	Type	Map	Picture	Name	Proprieter Name	Title	Picture	State	Rep	Per	Val	A	B	C	Notes:	Notes(2):	Open	Closed	Pic	Map	Restrictions	Text																																										
1	1	Weapon Shop	1	6	真勇	克尔文	铁匠	2109	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
2	2	Weapon Shop	2	36	锐锋	利斧	铁匠	2130	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
3	3	Weapon Shop	3	20	磨钢	卡修	铁匠	2119	0	0	0	2.5	1		14			6	18	0	0	0	0																																										
4	4	Weapon Shop	5	49	蓝斯之矛	蓝斯	铁匠	2139	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
5	5	Weapon Shop	6	63	沾血匕首与刀刃	艾瑞其	铁匠	2146	0	0	0	3	2		21			6	18	0	0	0	0																																										
6	6	Weapon Shop	35	36	爱煞之斧	爱煞	铁匠	2130	0	0	0	4	2		28			6	18	0	0	0	0																																										
7	7	Weapon Shop	13	86	定作匕首	克理提雅斯	铁匠	2177	0	0	0	4	2		28			6	18	0	0	0	0																																										
8	8	Weapon Shop	0	0	Placeholder	Placeholder	铁匠	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
9	9	Weapon Shop	0	0	Placeholder	Placeholder	铁匠	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
10	10	Weapon Shop	0	0	Placeholder	Placeholder	铁匠	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
11	11	Weapon Shop	0	0	Placeholder	Placeholder	铁匠	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
12	12	Weapon Shop	0	0	Placeholder	Placeholder	铁匠	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
13	13	Weapon Shop	0	0	Placeholder	Placeholder	铁匠	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
14	14	Weapon Shop	0	0	Placeholder	Placeholder	铁匠	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
15	1	Armor Shop	1	7	皮革店	里斯那克	盔甲工匠	2110	0	0	0	1.5	1		7			6	18	0	0	0	0																																										
16	2	Armor Shop	2	50	打磨盾牌	瓦维斯	盔甲工匠	2140	0	0	0	1.5	1		14			6	18	0	0	0	0																																										
17	3	Armor Shop	3	21	盔甲之店	其那尔	盔甲工匠	2128	0	0	0	2.5	1		14			6	18	0	0	0	0																																										
18	4	Armor Shop	5	50	钢甲防御	巴尔佛	盔甲工匠	2140	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
19	5	Armor Shop	6	64	超凡皮革	波罗斯批罗	盔甲工匠	2147	0	0	0	3	1.5		21			6	18	0	0	0	0																																										
20	6	Armor Shop	35	37	连接锁子甲	戴李奥斯	盔甲工匠	2131	0	0	0	4	2		28			6	18	0	0	0	0																																										
21	7	Armor Shop	13	87	卡尔的战斗装备	卡尔	盔甲工匠	2173	0	0	0	4	2		28			6	18	0	0	0	0																																										
22	8	Armor Shop	0	0	Placeholder	Placeholder	盔甲工匠	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
23	9	Armor Shop	0	0	Placeholder	Placeholder	盔甲工匠	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
24	10	Armor Shop	0	0	Placeholder	Placeholder	盔甲工匠	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
25	11	Armor Shop	0	0	Placeholder	Placeholder	盔甲工匠	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
26	12	Armor Shop	0	0	Placeholder	Placeholder	盔甲工匠	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
27	13	Armor Shop	0	0	Placeholder	Placeholder	盔甲工匠	0	0	0	0	0	0		0			6	18	0	0	0	0																																										
