职业	描述	Notes
死灵法师	死灵法师是向邪恶诱惑低头的法师。他们是黑暗系魔法中专精于不死生物操弄的法师。虽然死灵法师本身没有什么特殊能力，而且能使用的武器和盔甲也都十分有限，但是只有他们可以完全发挥黑暗系魔法的威力。除此之外，他们也最擅长施展元素系的法术，包括了地水风火的能量都在他们驾驭之下。	Necromancer
巫妖	在经过了让死灵法师更能够和黑暗魔法融为一体的祭典之后，该名人物将被转化为一名巫妖：一种拥有强大法力的不死生物。巫妖们以肉体交换来的是最强大的法术等级和魔力。	Lich
牧师	牧师算是冒险界的施法圣人。在他们离开教派的圣域之前，牧师会先学习基础的战斗技巧以及应用的医疗法术。牧师最擅长施展魂、体和心系的魔法，是唯一能够施展顶级光明系法术的职业。他们是不错的战士，但是只能穿戴轻型的盔甲，只能用重击性武器来攻击敌人。	Cleric
光之主教	当牧师被升职为为光之主教的时候，他们崇高的地位将让他们可以施展最强力的魂系、体系、心系和光明系的法术。	Priest of Light
骑士	骑士是专精于武器使用的男与女。他们专长军事方面的技能，能够变成所有武器和盔甲的专家。在肉体的强韧度上他们只输给食人魔。另一方面来说，骑士们则无法学习任何一种的魔法。	Knight
英豪	英豪是骑士借着累积经验和完成任务所达到的终极职业。英豪能够在铠甲、盾牌和许多武器及格斗技能的使用上达到大宗师的水准。	Champion
食人魔	食人魔是拥有超强耐力和体力的种族。他们不只在一开始的时候升级可以获得最多的生命点数，而且再生的技能也是最好的。食人魔可以使用所有的武器（不过他们偏好使用重击性武器，通常可以达到大宗师的等级）。另外，他们还只能穿戴轻型的盔甲（他们的皮甲技能也能够达到大宗师等级），而且没有办法学到任何施法的能力。	Troll
百战食人魔	能够在无数的战斗中生存下来的食人魔就能够获得百战食人魔的称号。现在他们将可以在再生技能以及其它的战斗技能上成为大宗师。百战食人魔将会成为真正可怕的敌人。	War Troll
牛头人	牛头人的种族是经过魔法改造的强悍守卫后代。他们就像食人魔一样，是惊人的战斗机器，但是却没有食人魔出众的精力。虽然牛头人在耐力方面略逊于食人魔，但是他们却可以借着力量、智力和使用魔法的能力（体系、魂系和心系）来轻易弥补这方面的不足。牛头人可以使用任何种类的武器，但特别擅长使用长矛、重击武器以及斧头。另外，他们也可以使用除了头盔和盾牌之外的所有盔甲。	Minotaur
牛人王	只有展现出强烈勇气与荣誉感的牛头人才能够获选为牛人王。在这个等级，牛头人可以在感知力和用斧技能上成为大宗师。	Minotaur Lord
黑暗精灵	黑暗精灵是精灵种族的一个分支，他们在很久以前选择踏上黑暗的道路，沉浸在黑暗魔力的喜悦之中。演化至今，这个种族已经成为一半战士，一半法师的角色。他们是不错的剑客，超凡的射手，同时也拥有天赋的特殊魔法能力，在施展元素系魔法上也拥有独到之处。黑暗精灵专精于解除陷阱和商贾技能。虽然他们在黑暗界浸淫了数世纪之久，但却无法学习黑暗系魔法。他们也无法使用长矛或是斧头。黑暗精灵只能穿着锁子甲。	Dark Elf
暗精尊者	黑暗精灵通过了某些测验之后，就可以成为此种族中地位较高的集团成员，获得暗精尊者的称号。暗精尊者可以成为拥有强大力量的战法师。	Patriarch
吸血鬼	极少数的生物会选择成为吸血鬼，但是作出这种重大牺牲的人都会因为新的形体而获得新的强大力量。除了天赋的特殊能力之外，吸血鬼也可以成为心、魂、体系法术的厉害法师，更专擅于锋利武器的使用。当然，有得必有失，他们的武器和盔甲选择较为受限，而且也因为变成不死生物而在某些属性上有特殊的扣减。	Vampire
吸血圣王	吸血圣王是吸血鬼中最高阶的人物，他们获得了施展心、魂、体系所有法术的能力，只有最高阶的法术不在他们的掌握之中。经过一段时间的练习之后，吸血圣王将会学到把身躯转变为迷雾的能力。他们同时也能够在匕首的使用上达到大宗师的地位。	Nosferatu
飞龙	飞龙是万兽之王。他们拥有吐火、利用尖牙利爪战斗的能力，鳞甲能够反弹一般凡夫俗子所用的兵器。虽然飞龙不能够使用盔甲或是武器，但如果有只飞龙愿意加入您的队伍，您将不会再怀念这些人造的兵器！	Dragon
神龙	由于飞龙和这险恶世间的冲突实在太过频繁，只有极少数的飞龙可以活着成为神龙。能够幸存下来的只有龙类中最巨大、最睿智的成员。传说中曾经有装备完整的军队因为仅仅一名神龙的怒气而全军覆没。	Great Wyrm
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
Delete me	Delete me	Delete me
