属性名称	描述
力量	力量代表的是人物整体力量以及将力量应用在真正重要的地方的数值。拥有高力量数值的人物在战斗中可以造成更多的伤害。
智力	智力代表的是某个人物讲理、明白复杂、抽象问题的能力。高智力对于巫师、弓箭手、游侠、盗贼和督伊德的法力点数都有正面的影响。
人格	人格属性代表的是该名人物的意志力和个人的魅力。牧师、圣武士、游侠、僧侣以及督伊德都需要人格属性来决定他们的法力点数。
耐力	耐力是对于某个人物的肉体耐力和强韧度的衡量数值。高的耐力数值能够让冒险者拥有更多的生命点数。
精确度	精确度属性代表的是人物的瞄准能力和手眼协调度。高精确度可以让冒险者在战斗中更容易击中敌人。
速度	速度是衡量人物行动有多快的一个属性。高速度属性将会增加人物的防御等级和人物从攻击中恢复的速度。
幸运	幸运度这个属性会影响游戏中几乎每个场合人物的表现。但是，其中最明显的就是人物对于魔法的抵抗力和尽量闪躲陷阱所造成伤害的能力。
生命点数	生命点数表示的是在你的生物昏迷或是死亡之前能够承受多少的攻击。在人物的生命点数降低到零或以下之后，就会昏迷不醒。在八个小时不受干扰的休息之后，生命点数就会恢复到原来的最高值。
防御等级	防御等级是衡量敌人击中你难易度的一个数值。防御等级越高，闪躲攻击的可能性就越高。
法力点数	施展法术需要的是法力点数。每种法术在施展的时候都会从人物身上扣除一定数量的法力点数。在八个小时不受干扰的休息之后，法力点数将会完全恢复。
身体状况	身体状况显示的是你目前冒险者所受到最糟糕的影响，像是中毒、生病或是死亡。许多的身体状况会严重的影响到你的人物战斗的能力，应该要尽速要将它治好。
快速施法	当你在按下S键或是按下CTRL键再点选怪物之后会快速施展的法术。您按下C键可以打开魔法书，点选你想要设定的法术，然后就可以的法术，然后再按下法术书上的“设定法术”按钮。
年龄	年龄显示的是你目前人物的岁数。第一个数字是暂时性的年龄数字，第二个数字是目前真正的年龄。某些怪物或是法术有办法将你的暂时性年龄提升到超过真正的年龄。
等级	等级是表示你的人物所受过训练的一个数值。越高的等级代表会有越高的生命点数和法力点数。
经验	经验点数代表的是你的人物对于整个世界的了解。有了足够的经验点数之后（当然，还要有一些小钱），你可以在整座大陆上到处都有的训练场中训练你的人物，提升他们的等级，获得可以用来调整技能的技能点数。
攻击命中率	攻击命中率是所有变量（技能、法术、准确度）全部加总之后的总和。这可以影响你的人物用所配备的武器击中敌人的机率。
攻击伤害力	攻击伤害力是所有变量（力量、法术、某些武器技能的高低）的加总。这会影响你的冒险者用某种武器攻击敌人的伤害力。
射击命中率	射击命中率是所有变量（技能、法术、准确度等等）的总和，这会影响该名人物用装备好的弓箭射击敌人的命中率。
射击伤害力	射击伤害力是所有的变量（法术、武器命中率等等）加总之后的结果。这会影响到你的人物使用弓箭射击的伤害力。
火系攻击抵抗力	火系攻击抵抗力表示的是你的人物将火系攻击的伤害缩减到最低的能力。虽然较高的抵抗力可以减低火系攻击的伤害，但却不会让你完全免疫。
风系攻击抵抗力	风系攻击抵抗力表示的是你的人物将风系攻击的伤害缩减到最低的能力。虽然较高的抵抗力可以减低风系攻击的伤害，但却不会让你完全免疫。
水系攻击抵抗力	水系攻击抵抗力表示的是你的人物将水系攻击的伤害缩减到最低的能力。虽然较高的抵抗力可以减低水系攻击的伤害，但却不会让你完全免疫。
地系攻击抵抗力	地系攻击抵抗力表示的是你的人物将地系攻击的伤害缩减到最低的能力。虽然较高的抵抗力可以减低地系攻击的伤害，但却不会让你完全免疫。
心系攻击抵抗力	心系攻击抵抗力表示的是你的人物将心系攻击的伤害缩减到最低的能力。虽然较高的抵抗力可以减低心系攻击的伤害，但却不会让你完全免疫。
体系攻击抵抗力	体系攻击抵抗力表示的是你的人物将体系攻击的伤害缩减到最低的能力。虽然较高的抵抗力可以减低体系攻击的伤害，但却不会让你完全免疫。
技能点数	技能点数是每当你的人物升级的时候可以获得的奖赏。你随时都可以将技能点数花费在增加技能上。
