Global Text	

0	防御
1	精确
2	黑骑士
3	间谍
4	恐惧
5	年龄
6	风系抗性
7	炼金师
8	方尖塔记录
9	祝贺你！
10	时空之门
11	防御
12	防御等级
13	刺客
14	睡着
15	在%d的%s中判断失败
16	自动存档
17	经验值
18	攻击
19	可选
20	可选技能
21	僧侣
22	功绩
23	功绩：
24	御火奇术
25	余额
26	隐士
27	忍者
28	魔头
29	体系抗性
30	剩余属性点
31	嗯，味道就像鸡肉一样！
32	破损物品
33	每张地图上的笔记数量不得超过100个！
34	取消
35	时空之门至%s
36	%s不能这样使用 
37	时间总计：
38	施展魔法
39	选择目标
40	赏金猎人
41	职业
42	公务员
43	冰系
44	光明主教
45	状态
46	黑暗主教
47	状态
48	邪术师
49	巫妖
50	闪躲术
51	组建队伍
52	被诅咒
53	破坏力
54	暗黑
55	黎明
56	日
57	天
58	死亡
59	内部错误
60	存款
61	按ESC键
62	色彩数为16位色（32K或65K）时，魔法门8才能以窗口模式运行。
63	魔法门8载入文件出错。请重新安装游戏以修复该问题。注意：重新安装不会删除你的游戏存档。
64	详细物品栏切换
65	患病
66	破坏力
67	%s不会此技能
68	捐赠
69	喝醉
70	土系抗性
71	电系抗性
72	空
73	进入
74	结束谈话
75	耐力
76	灰飞烟灭
77	空手搏击术
78	日历
79	退出
80	离开此地
81	结束休息
82	你确定吗？再次单击可退出
83	经验值
84	知名度
85	药剂记录
86	购买%d天的食物，花费%d个金币
87	火系抗性
88	怪物鉴定术
89	武器使用术
90	偷窃术
91	星期五
92	满月
93	游戏选项
94	你的得分：%lu
95	炼金术
96	宗师
97	金币
98	健康
99	人类
100	守卫
101	矮人
102	弦月
103	精灵
104	治疗
105	医师
106	大耳怪
107	生命值
108	生命值
109	小时
110	小时
111	宗师
112	多少？
113	鉴定
114	神偷
115	导师
116	智力
117	痴狂
118	我们希望您玩此游戏的心情与我们当时制作此游戏的心情一样愉快。我们在魔法门8的安装目录下将此截屏存为了MM8_WIN.PCX图片文件，您可以把它打印出来作为您游戏成绩的见证。
119	神箭手
120	行囊
121	永久
122	加入
123	其他记录
124	狙击手
125	+2点技能点数！
126	你要离开%s吗？
127	无文字！
128	要花%d天才能旅行至%s。
129	%s 等级 %u %s
130	队员
131	等级
132	年
133	光明
134	购买标准物品
135	正在载入
136	运气
137	泉水记录
138	魔法
139	地图
140	你的行囊已经装满了！
141	先知记录
142	心系抗性
143	辅助
144	力量
145	星期一
146	月
147	你可以训练到%u级。
148	月
149	姓名
150	新月
151	祝贺你，冒险者。
152	购买特殊物品
153	无
154	自动摘要
155	你的金币不够
156	留在此地
157	(c) 2000 3DO公司。保留所有版权。3DO、New World Computing、魔法门、毁灭者之日、魔法门之英雄无敌、末日之刃、魔法门之十字军、维加斯游戏、魔幻牌以及它们的标志是3DO公司在美国和其他国家的商标和/或服务标记。所有其他商标均归其各自所有者所有。New World Computing是3DO公司的一个子机构。
158	布特雷格湾东部
159	显示行囊
160	学习技能
161	偷窃
