	Necromancer	Lich	Cleric	PriestLight	Knight	Champion	Troll	WarTroll	Minotaur	MinotaurLord	DarkElf	Patriarch	Vampire	Nosferatu	Dragon	GreatWyrm
Might	11/25	11/25	11/25	11/25	11/25	11/25	14/35	14/35	14/30	14/30	11/25	11/25	11/30	11/30	11/30	11/30
+ add	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1
Intellect	11/25	11/25	11/25	11/25	11/25	11/25	7/15	7/15	7/20	7/20	11/25	11/25	11/30	11/30	11/30	11/30
+ add	1	1	1	1	1	1	1/2	1/2	1/2	1/2	1	1	1	1	1	1
Personality	11/25	11/25	11/25	11/25	11/25	11/25	7/15	7/15	11/25	11/25	11/25	11/25	11/30	11/30	11/30	11/30
+ add	1	1	1	1	1	1	1/2	1/2	1	1	1	1	1	1	1	1
Endurance	11/25	11/25	11/25	11/25	11/25	11/25	14/35	14/35	11/25	11/25	7/20	7/20	11/30	11/30	11/30	11/30
+ add	1	1	1	1	1	1	2	2	1	1	1/2	1/2	1	1	1	1
Accuracy	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	14/30	14/30	11/30	11/30	11/30	11/30
+ add	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
Speed	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/30	11/30	11/30	11/30
+ add	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Luck	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/25	11/30	11/30	11/30	11/30
+ add	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
