GroupId	FrameIndex	Time	GroupStart
0	1	8	x
1	1	8	x
2	2	8	x
3	3	8	x
4	4	8	x
5	5	8	x
6	6	8	x
7	7	8	x
8	8	8	x
9	9	8	x
10	10	8	x
11	11	8	x
12	12	8	x
13	13	2	x
14	14	8	x
15	15	8	x
16	16	8	x
17	17	8	x
18	18	8	x
19	19	8	x
20	20	8	x
21	21	2	x
22	22	2	x
23	23	2	x
24	24	2	x
25	27	2	x
0	26	2	-
0	25	2	-
0	26	2	-
0	27	2	-
0	28	2	-
0	29	2	-
0	28	2	-
0	27	2	-
27	32	2	x
0	33	2	-
0	32	2	-
0	31	2	-
0	30	2	-
0	31	2	-
29	21	8	x
30	21	8	x
31	21	8	x
33	1	4	x
0	34	4	-
0	35	4	-
0	36	4	-
0	35	4	-
0	34	4	-
34	37	8	x
35	38	8	x
36	39	8	x
37	40	16	x
38	41	16	x
39	42	16	x
40	43	16	x
41	44	16	x
42	45	16	x
43	46	16	x
44	47	16	x
45	48	16	x
46	49	8	x
47	50	16	x
48	51	16	x
49	52	16	x
50	53	16	x
51	54	16	x
52	55	16	x
53	56	8	x
54	21	8	x
55	22	8	x
56	23	8	x
57	24	8	x
58	5	8	x
0	19	8	-
0	18	8	-
