Soundtype/Voicesetid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
Disarmed	5000	5100	5200	5300	5400	5500	5600	5700	5800	5900	6000	6100	6200	6300	6400	6500	6600	6700	6800	6900	7000	7100	7200	7300	7400	7500	7600	7700	7800	7900	7400	41036	40882	41108	40956	40429	40652	43330	43116	43384	43172	43439	43226	43694	43277	43493	43543	43594	43645	40295	40571	40364	40728	40505	40804	41461	41613	41538	41689	41768	41842	41173	41243	41319	41394	0
Disarmed	5001	5101	5201	5301	5401	5501	5601	5701	5801	5901	6001	6101	6201	6301	6401	6501	6601	6701	6801	6901	7001	7101	7201	7301	7401	7501	7601	7701	7801	7901	7401	41036	40883	41109	40957	40430	40653	43330	43111	43384	43172	43439	43226	43694	43277	43493	43543	43594	43645	40296	40572	0	40729	0	40805	41462	41614	41539	41690	41769	0	41174	41244	41320	41395	0
Closed1	5002	5102	5202	5302	5402	5502	5602	5702	5802	5902	6002	6102	6202	6302	6402	6502	6602	6702	6802	6902	7002	7102	7202	7302	7402	7502	7602	7702	7802	7902	7402	41037	40884	41110	40958	40431	40654	43314	43097	43368	43156	43423	43211	43679	43262	43477	43530	43579	43630	40297	40573	40365	40730	40506	40806	41463	41615	41540	41691	41770	41843	41175	41245	41321	41396	0
Closed2	5003	5103	5203	5303	5403	5503	5603	5703	5803	5903	6003	6103	6203	6303	6403	6503	6603	6703	6803	6903	7003	7103	7203	7303	7403	7503	7603	7703	7803	7903	7403	41038	40885	41110	40959	40432	40655	43314	43097	43368	43156	43423	43211	43679	43262	43477	43530	43579	43630	40298	40574	0	40731	0	40807	41464	41616	41541	41692	41771	41844	0	0	41322	0	0
FailedDisarm1	5004	5104	5204	5304	5404	5504	5604	5704	5804	5904	6004	6104	6204	6304	6404	6504	6604	6704	6804	6904	7004	7104	7204	7304	7404	7504	7604	7704	7804	7904	7404	41039	40886	41111	40960	40433	40656	43316	43099	43370	43158	43425	43213	43681	43264	43479	43532	43581	43632	40299	40575	40366	40732	40507	40808	41465	41617	41542	41693	41772	41845	41176	41246	41323	41397	0
FailedDisarm2	5005	5105	5205	5305	5405	5505	5605	5705	5805	5905	6005	6105	6205	6305	6405	6505	6605	6705	6805	6905	7005	7105	7205	7305	7405	7505	7605	7705	7805	7905	7405	41040	40887	41112	40961	40434	40657	43316	43099	43370	43158	43425	43213	43681	43264	43479	43532	43581	43632	40300	40576	0	40733	40508	40809	41466	41618	41543	41694	41773	41846	0	41247	41324	41398	0
ChooseMe1	5006	5106	5206	5306	5406	5506	5606	5706	5806	5906	6006	6106	6206	6306	6406	6506	6606	6706	6806	6906	7006	7106	7206	7306	7465	7565	7606	7706	7806	7906	7406	41042	40888	41113	40962	40435	40658	43356	43142	43410	43198	43464	43249	43716	43301	43518	43566	43617	43666	40301	40577	40367	40734	40509	40810	41467	41619	41544	41695	41774	41847	41177	41248	41325	41399	0
ChooseMe2	5007	5107	5207	5307	5407	5507	5607	5707	5807	5907	6007	6107	6207	6307	6407	6507	6607	6707	6807	6907	7007	7107	7207	7307	7462	7562	7607	7707	7807	7907	7407	41041	40889	41114	40963	40436	40659	43357	43143	43411	43199	43465	43250	43717	43302	43519	43567	43617	43667	40302	40578	40368	40735	40510	40811	41468	41620	41545	41696	41775	41848	41178	41249	41326	41400	0
BadItem1	5008	5108	5208	5308	5408	5508	5608	5708	5808	5908	6008	6108	6208	6308	6408	6508	6608	6708	6808	6908	7008	7108	7208	7308	7408	7508	7608	7708	7808	7908	7408	41043	40890	41115	40964	40437	40660	43311	43093	43365	43152	43420	43208	43676	43259	43473	43527	43576	43626	40303	40579	40369	40736	40511	40812	41469	41621	41546	41697	41776	41849	41179	41250	41327	41401	0
BadItem2	5009	5109	5209	5309	5409	5509	5609	5709	5809	5909	6009	6109	6209	6309	6409	6509	6609	6709	6809	6909	7009	7109	7209	7309	7409	7509	7609	7709	7809	7909	7409	41044	40890	41115	40965	40438	40661	43311	43093	43365	43152	43420	43208	43676	43259	43473	43527	43576	43626	40304	40580	0	40737	40512	40813	41470	41622	41547	41698	41777	41850	41180	41251	41328	41402	0
