	Archer	WarriorMage	MasterArcher	Sniper	Cleric	Priest	PriestLight	PriestDark	DarkElf	Patriarch	Dragon	GreatWyrm	Druid	GreatDruid	Warlock	ArchDruid	Knight	Cavalier	BlackKnight	Champion	Minotaur	MinotaurLord	Monk	Initiate	Master	Ninja	Paladin	Crusader	Hero	Villain	Ranger	Hunter	BountyHunter	RangerLord	Thief	Rogue	Assassin	Spy	Troll	WarTroll	Vampire	Nosferatu	Sorcerer	Wizard	Necromancer	Lich	ArchMage	Dark Archmage	Peasant	n/u	High Priest	Master Wizard	n/u
Staff	B	B	B	B	B	B	B	B	-	-	-	-	B	B	B	B	E	E	E	E	M	M	M	M	G	G	B	B	B	B	B	B	B	B	-	-	-	-	M	G	-	-	M	M	M	M	M	M	-	-	B	M	M
Sword	E	E	E	E	-	-	-	-	M	M	-	-	-	-	-	-	M	M	G	G	E	E	E	E	E	E	M	M	M	M	E	E	E	E	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-	-	-	-
Dagger	E	E	E	E	-	-	-	-	M	M	-	-	M	M	M	M	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	M	M	G	G	E	E	M	G	E	E	E	E	E	E	-	-	-	E	E
Axe	E	E	E	E	-	-	-	-	-	-	-	-	-	-	-	-	E	E	M	M	E	M	-	-	-	-	E	E	E	E	M	M	G	G	-	-	-	-	M	M	E	E	-	-	-	-	-	-	-	-	-	-	-
Spear	M	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	M	M	G	G	M	M	E	E	E	E	E	E	E	E	E	E	E	E	-	-	-	-	E	E	-	-	-	-	-	-	-	-	-	-	-	-	-
Bow	M	M	G	G	B	B	B	B	M	G	-	-	B	B	B	B	E	E	E	E	E	E	B	B	B	B	E	E	E	E	M	M	M	M	E	E	E	E	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
Mace	-	-	-	-	M	M	M	M	B	B	-	-	E	E	E	E	M	M	M	M	M	M	-	-	-	-	M	M	G	G	-	-	-	-	E	E	E	E	M	G	E	E	-	-	-	-	-	-	-	-	M	-	-
Blaster	G	G	G	G	G	G	G	G	G	G	-	-	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	B	B	G	G	G
Shield	-	-	-	-	M	M	M	M	E	E	-	-	E	E	E	E	M	M	G	G	-	-	-	-	-	-	M	M	G	G	E	E	E	E	B	B	B	B	-	-	M	M	-	-	-	-	-	-	-	-	M	-	-
Leather	M	M	M	M	E	E	E	E	M	M	-	-	E	E	E	E	M	M	M	M	E	E	M	M	M	M	E	E	E	E	M	M	M	M	M	M	G	G	M	G	M	M	E	E	E	E	E	E	B	B	E	E	E
Chain	M	M	G	G	E	E	E	E	M	G	-	-	-	-	-	-	M	M	M	M	M	M	-	-	-	-	E	E	E	E	M	M	M	M	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	E	-	-
Plate	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	M	G	G	M	M	-	-	-	-	M	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Fire	B	E	M	M	-	-	-	-	E	M	-	-	E	M	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B	E	E	-	B	B	B	-	-	-	-	E	M	M	G	G	G	-	-	-	G	G
Air	B	E	M	M	-	-	-	-	E	M	-	-	E	M	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B	E	E	-	B	B	B	-	-	-	-	E	M	M	G	G	G	-	-	-	G	G
Water	B	E	M	M	-	-	-	-	E	M	-	-	E	M	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B	E	E	-	B	B	B	-	-	-	-	E	M	M	G	G	G	-	-	-	G	G
Earth	B	E	M	M	-	-	-	-	E	M	-	-	E	M	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B	E	E	-	B	B	B	-	-	-	-	E	M	M	G	G	G	-	-	-	G	G
Spirit	-	-	-	-	E	M	G	G	-	-	-	-	E	M	G	G	-	-	-	-	B	E	-	B	E	B	B	E	M	M	-	B	E	E	-	-	-	-	-	-	E	M	-	-	-	-	-	-	-	-	G	-	-
Mind	-	-	-	-	E	M	G	G	-	-	-	-	E	M	G	G	-	-	-	-	B	E	-	B	E	B	B	E	M	M	-	B	E	E	-	-	-	-	-	-	E	M	-	-	-	-	-	-	-	-	G	-	-
Body	-	-	-	-	E	M	G	G	-	-	-	-	E	M	G	G	-	-	-	-	B	E	-	B	E	B	B	E	M	M	-	B	E	E	-	-	-	-	-	-	E	M	-	-	-	-	-	-	-	-	G	-	-
Light	-	-	B	-	-	-	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	G	-	-	-	M	M	M
