Spell	SpellPointsNormal	SpellPointsExpert	SpellPointsMaster	SpellPointsGM	DelayNormal	DelayExpert	DelayMaster	DelayGM	DamageAdd	DamageDiceSides
	0	0	0	0	0	0	0	0	0	0
Torch Light	1	1	1	1	60	60	60	40	0	0
Fire Bolt	2	2	2	2	110	110	100	90	0	3
Fire Resistance	3	3	3	3	120	120	120	120	0	0
Fire Aura	4	4	4	4	120	120	120	120	0	0
Haste	5	5	5	5	120	120	120	120	0	0
Fireball	8	8	8	8	100	100	90	80	0	6
Fire Spike	10	10	10	10	150	150	150	150	0	6
Immolation	15	15	15	15	120	120	120	120	0	6
Meteor Shower	20	20	20	20	100	100	100	90	8	1
Inferno	25	25	25	25	100	100	100	90	12	2
Incinerate	30	30	30	30	90	90	90	90	15	15
Wizard Eye	1	1	1	0	60	60	60	60	0	0
Feather Fall	2	2	2	2	120	120	120	100	0	0
Air Resistance	3	3	3	3	120	120	120	120	0	0
Sparks	4	4	4	4	110	100	90	80	2	1
Jump	5	5	5	5	90	90	70	50	0	0
Shield	8	8	8	8	120	120	120	120	0	0
Lightning Bolt	10	10	10	10	100	100	90	70	0	8
Invisibility	15	15	15	15	200	200	200	200	0	0
Implosion	20	20	20	20	100	100	100	90	10	10
Fly	25	25	25	25	250	250	250	250	0	0
Starburst	30	30	30	30	90	90	90	90	20	1
Awaken	1	1	1	1	60	60	60	20	0	0
Poison Spray	2	2	2	2	110	100	90	70	2	2
Water Resistance	3	3	3	3	120	120	120	120	0	0
Ice Bolt	4	4	4	4	110	100	90	80	0	4
Water Walk	5	5	5	5	150	150	150	150	0	0
Recharge Item	8	8	8	8	200	200	200	200	0	0
Acid Burst	10	10	10	10	100	100	90	80	9	9
Enchant Item	15	15	15	15	140	140	140	140	0	0
Town Portal	20	20	20	20	200	200	200	200	0	0
Ice Blast	25	25	25	25	80	80	80	80	12	6
Lloyd's Beacon	30	30	30	30	250	250	250	250	0	0
Stun	1	1	1	1	80	80	80	80	0	0
Slow	2	2	2	2	100	100	100	100	0	0
Earth Resistance	3	3	3	3	120	120	120	120	0	0
Deadly Swarm	4	4	4	4	110	100	90	80	5	3
Stone Skin	5	5	5	5	120	120	120	120	0	0
Blades	8	8	8	8	100	100	90	80	0	9
Stone to Flesh	10	10	10	10	140	140	140	140	0	0
Rock Blast	15	15	15	15	90	90	90	80	10	10
Telekinesis	20	20	20	20	150	150	150	150	0	0
Death Blossom	25	25	25	25	100	100	100	90	20	1
Mass Distortion	30	30	30	30	90	90	90	90	25	0
Detect Life	1	1	1	1	100	100	100	100	0	0
Bless	2	2	2	2	100	100	100	100	0	0
Fate	3	3	3	3	90	90	90	90	0	0
Turn Undead	4	4	4	4	120	120	120	120	0	0
Remove Curse	5	5	5	5	120	120	120	120	0	0
