Key map	Up	Side	Days	Down	Side	Days	Left	Side	Days	Right	Side	Days	StraightTravel	Notes	
7out02.odm	7out04.odm	down	5	out11.odm	up	5	7out03.odm	left	5	7out04.odm	down	7		Harmondale	
7out03.odm	7out05.odm	down	5	7out06.odm	up	5	7out13.odm	left	5	7out02.odm	right	5		Erathia	
7out04.odm	out14.odm	left	5	7out02.odm	up	5	7out05.odm	left	5					The Tularean Forest	
7out05.odm	7out04.odm	left	7	7out03.odm	up	5	7out03.odm	up	7	7out04.odm	right	5		Deja	
7out06.odm	7out03.odm	down	5							out11.odm	right	5		The Bracada Desert	
out11.odm	7out02.odm	down	5	7out06.odm	up	7	7out06.odm	left	5	7out02.odm	down	7		The Barrow Downs	
7out13.odm										7out03.odm	right	5		Tatalia	
out14.odm				7out04.odm	up	7				7out04.odm	up	5		Avlee	
outa1.odm				outa2.odm	up	5				outb1.odm	right	5	x	Sweet Water	
outa2.odm	outa1.odm	down	5	outa3.odm	up	5				outb2.odm	right	5	x	Paradise Valley	
outa3.odm	outa2.odm	down	5							outb3.odm	right	5	x	Hermit's Isle	
outb1.odm				outb2.odm	up	5	outa1.odm	left	5	outc1.odm	right	5	x	Kriegspire	
outb2.odm	outb1.odm	down	5	outb3.odm	up	5	outa2.odm	left	5	outc2.odm	right	5	x	Blackshire	
outb3.odm	outb2.odm	down	5				outa3.odm	left	5	outc3.odm	right	5	x	Dragonsand	
outc1.odm				outc2.odm	up	5	outb1.odm	left	5	outd1.odm	right	5	x	Frozen Highlands	
outc2.odm	outc1.odm	down	5	outc3.odm	up	5	outb2.odm	left	5	outd2.odm	right	5	x	Free Haven	
outc3.odm	outc2.odm	down	5				outb3.odm	left	5	outd3.odm	right	5	x	Mire of the Damned	
outd1.odm							outc1.odm	left	5				x	Silver Cove	
outd2.odm				outd3.odm	up	5	outc2.odm	left	5				x	Bootleg Bay	
outd3.odm	outd2.odm	down	5				outc3.odm	left	5	oute3.odm	right	5	x	Castle Ironfist	
oute1.odm													x	Eel Infested Waters	
oute2.odm													x	Misty Islands	
oute3.odm							outd3.odm	left	5				x	New Sorpigal	
7out15.odm	out14.odm	right	1	out14.odm	right	1	out14.odm	left	1	out14.odm	right	1		Shoals	
