Reagent Id	Item Id	Result item id	Notes
1	200	222	Widowsweep Berries
2	201	222	Wolf's Eye
3	202	222	Phial of Gog Blood
4	203	222	Ruby
5	204	222	Phoenix Feather
6	205	223	Phima Root
7	206	223	Meteor Fragment
8	207	223	Will O' Wisp Heart
9	208	223	Datura
10	209	223	Dragon Turtle Fang
11	210	224	Poppy Pod
12	211	224	Thornbark
13	212	224	Sulfur
14	213	224	Garnet
15	214	224	Unicorn Horn
16	215	221	Mushroom
17	216	221	Obsidian
18	217	221	Wasp Wing
19	218	221	Mercury
20	219	221	Philosopher's Stone
21	1002	222	Widowsweep Berries
22	1003	222	Crushed Rose Petals
23	1004	222	Vial of Troll Blood
24	1005	222	Ruby
25	1006	222	Dragon's Eye
26	1007	223	Phirna Root
27	1008	223	Meteorite Fragment
28	1009	223	Harpy Feather
29	1010	223	Moonstone
30	1011	223	Elvish Toadstool
31	1012	224	Poppysnaps
32	1013	224	Fae Dust
33	1014	224	Sulfur
34	1015	224	Garnet
35	1016	224	Vial of Devil Ichor
36	1017	221	Mushroom
37	1018	221	Obsidian
38	1019	221	Vial of Ooze Endoplasm
39	1020	221	Mercury
40	1021	221	Philosopher's Stone
41	1762	224	Poppysnaps
42	1763	223	Phirna Root
43	1764	222	Widoweeps Berries
