															
Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	Shape	Equip X	Equip Y	Notes
0															
1	lsword1	_(TRANS)_	50	Weapon	Sword	3d3	0	8	1	_(TRANS)_	1	4	499	8	_(TRANS)_
2	lsword2	_(TRANS)_	200	Weapon	Sword	3d3	3	8	3	_(TRANS)_	1	4	501	9	_(TRANS)_
3	lsword3	_(TRANS)_	350	Weapon	Sword	3d3	6	8	5	_(TRANS)_	1	4	506	10	_(TRANS)_
4	lsword4	_(TRANS)_	500	Weapon	Sword	3d3	9	8	7	_(TRANS)_	1	4	508	4	_(TRANS)_
5	lsword5	_(TRANS)_	650	Weapon	Sword	3d3	12	8	9	_(TRANS)_	1	4	502	8	_(TRANS)_
6	2hsword1	_(TRANS)_	400	Weapon2	Sword	4d5	0	8	1	_(TRANS)_	2	0	491	4	_(TRANS)_
7	2hsword2	_(TRANS)_	500	Weapon2	Sword	4d5	2	8	6	_(TRANS)_	2	0	492	21	_(TRANS)_
8	2hsword3	_(TRANS)_	800	Weapon2	Sword	4d5	8	8	8	_(TRANS)_	2	0	502	2	_(TRANS)_
9	brsword1	_(TRANS)_	100	Weapon	Sword	3d4	0	8	1	_(TRANS)_	3	0	505	14	_(TRANS)_
10	brsword2	_(TRANS)_	300	Weapon	Sword	3d4	4	8	4	_(TRANS)_	3	0	503	16	_(TRANS)_
11	brsword3	_(TRANS)_	600	Weapon	Sword	3d4	10	8	6	_(TRANS)_	3	0	503	1	_(TRANS)_
12	cutlass1	_(TRANS)_	40	Weapon	Sword	2d4	0	7	1	_(TRANS)_	4	0	504	5	_(TRANS)_
13	cutlass2	_(TRANS)_	290	Weapon	Sword	2d4	5	7	3	_(TRANS)_	4	0	507	15	_(TRANS)_
14	cutlass3	_(TRANS)_	590	Weapon	Sword	2d4	11	7	5	_(TRANS)_	4	0	501	13	_(TRANS)_
15	dagger1	_(TRANS)_	8	Weapon	Dagger	2d2	0	6	1	_(TRANS)_	5	2	504	81	_(TRANS)_
16	dagger2	_(TRANS)_	100	Weapon	Dagger	2d2	2	6	2	_(TRANS)_	5	2	509	75	_(TRANS)_
17	dagger3	_(TRANS)_	150	Weapon	Dagger	2d2	3	6	3	_(TRANS)_	5	2	506	70	_(TRANS)_
18	dagger4	_(TRANS)_	250	Weapon	Dagger	2d2	5	6	4	_(TRANS)_	5	2	511	82	_(TRANS)_
19	dagger5	_(TRANS)_	300	Weapon	Dagger	2d2	6	6	5	_(TRANS)_	5	2	504	79	_(TRANS)_
20	ldagger1	_(TRANS)_	15	Weapon	Dagger	2d3	0	7	1	_(TRANS)_	6	0	505	42	_(TRANS)_
21	ldagger2	_(TRANS)_	200	Weapon	Dagger	2d3	4	7	3	_(TRANS)_	6	0	506	48	_(TRANS)_
22	ldagger3	_(TRANS)_	350	Weapon	Dagger	2d3	7	7	5	_(TRANS)_	6	0	504	60	_(TRANS)_
23	axe1	_(TRANS)_	30	Weapon	Axe	4d2	0	5	1	_(TRANS)_	7	9	498	89	_(TRANS)_
24	axe2	_(TRANS)_	100	Weapon	Axe	4d2	2	5	2	_(TRANS)_	7	9	491	70	_(TRANS)_
25	axe3	_(TRANS)_	250	Weapon	Axe	4d2	5	5	4	_(TRANS)_	7	9	500	77	_(TRANS)_
26	axe4	_(TRANS)_	400	Weapon	Axe	4d2	8	5	5	_(TRANS)_	7	9	497	66	_(TRANS)_
27	axe5	_(TRANS)_	550	Weapon	Axe	4d2	11	5	6	_(TRANS)_	7	9	490	63	_(TRANS)_
28	2haxe1	_(TRANS)_	225	Weapon2	Axe	3d7	0	5	1	_(TRANS)_	8	0	482	88	_(TRANS)_
29	2haxe2	_(TRANS)_	450	Weapon2	Axe	3d7	3	5	5	_(TRANS)_	8	0	496	6	_(TRANS)_
30	2haxe3	_(TRANS)_	900	Weapon2	Axe	3d7	9	5	8	_(TRANS)_	8	0	492	1	_(TRANS)_
31	spear1	_(TRANS)_	15	Weapon1or2	Spear	1d9	0	6	1	_(TRANS)_	9	21	519	12	_(TRANS)_
32	spear2	_(TRANS)_	50	Weapon1or2	Spear	1d9	1	6	2	_(TRANS)_	9	21	517	20	_(TRANS)_
33	spear3	_(TRANS)_	250	Weapon1or2	Spear	1d9	5	6	3	_(TRANS)_	9	21	500	13	_(TRANS)_
34	spear4	_(TRANS)_	450	Weapon1or2	Spear	1d9	9	6	4	_(TRANS)_	9	21	510	10	_(TRANS)_
35	spear5	_(TRANS)_	650	Weapon1or2	Spear	1d9	13	6	6	_(TRANS)_	9	21	505	6	_(TRANS)_
36	halberd1	_(TRANS)_	200	Weapon1or2	Spear	3d6	0	6	1	_(TRANS)_	10	0	499	5	_(TRANS)_
37	halberd3	_(TRANS)_	400	Weapon1or2	Spear	3d6	4	6	4	_(TRANS)_	10	0	493	3	_(TRANS)_
38	halberd2	_(TRANS)_	700	Weapon1or2	Spear	3d6	10	6	8	_(TRANS)_	10	0	496	4	_(TRANS)_
39	trident1	_(TRANS)_	100	Weapon1or2	Spear	2d6	0	6	1	_(TRANS)_	11	21	494	10	_(TRANS)_
40	trident2	_(TRANS)_	400	Weapon1or2	Spear	2d6	6	6	3	_(TRANS)_	11	21	490	6	_(TRANS)_
41	trident3	_(TRANS)_	700	Weapon1or2	Spear	2d6	12	6	6	_(TRANS)_	11	21	492	2	_(TRANS)_
42	bow1	_(TRANS)_	100	Missile	Bow	5d2	0	3	1	_(TRANS)_	12	3	570	23	_(TRANS)_
43	bow2	_(TRANS)_	200	Missile	Bow	5d2	2	3	3	_(TRANS)_	12	3	569	34	_(TRANS)_
44	bow3	_(TRANS)_	300	Missile	Bow	5d2	4	3	5	_(TRANS)_	12	3	578	35	_(TRANS)_
